r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
fires,"ARNO repuls'd, with wounded pride retires,",cac95-l07715, And sought with nobler thoughts to quench his fires;,cac95-l07720,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
admires,"Good Bellmont from the town retires,",o5156-l33260,And artfully his taste admires.,o5156-l33275,/æəz/ | /æəz/,full,aa<b>b</b>cc<b>b</b>,pers00108,o5156-w0920
inspires," ""Why growling to his den retires",o4986-l02630,""" The sullen pard, while joy inspires",o4986-l02635,/æəz/ | /æəz/,full,<b>a</b><b>a</b>bccb,pers00237,o4986-w0030
aspires,"From that Attempt the Conscious Muse retires,",o3309-l00120,Nor to Inimitable Worth aspires;,o3309-l00125,/æəz/ | /æəz/,full,<b>a</b><b>a</b>a,pers00339,o3309-w0010
admires,"From that Attempt the Conscious Muse retires,",o3309-l00120,"But secretly Applauds, and silently Admires.",o3309-l00130,/æəz/ | /æəz/,full,<b>a</b>a<b>a</b>,pers00339,o3309-w0010
fires,"Thus said the Nymph; and now the Day retires,",pdi12-l02645, While sparkling Waves appear like kindled Fires. ,pdi12-l02650,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0070
expires,Back to its source our gelid blood retires;,o5156-l37460,"But as in full eclipse his light expires,",o5156-l37455,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00069,o5156-w1200
desires,"With pride's destructive train retires,",pro75-l01010,"Far from thy temple vain desires,",pro75-l01005,/æəz/ | /æəz/,full,aa<b>b</b><b>b</b>cc,pers00271,pro75-w0040
fires,"Reason's weak Light from noisome Fumes retires,",pdi22-l08725, And too much Fewel choaks the smother'd Fires. ,pdi22-l08730,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
aspires," Disease relents, and hov'ring death retires;",bhw18-l01200,"Lo, as the health-diffusing plant aspires,",bhw18-l01195,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
fires," Blind Rage, and Bigotry retires;",o3900-l01750," And Prudence guides, not damps its Fires. ",o3900-l01760,/æəz/ | /æəz/,full,a<b>b</b>a<b>b</b>,pers00309,o3900-w0090
fires,"Heedless of all their Censures He retires,",o4784-l06195, And in his Palace feeds his secret Fires;,o4784-l06200,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0140
fires," Whose light now gleams, and now retires,",bse96-l02755,"When extinct the tomb's blue fires,",bse96-l02750,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00282,bse96-w0040
expires,"The Mouse still urges, still the Frog retires,",o4106-l06690, And half in Anguish of the Flight expires:,o4106-l06695,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
desires,"Now ends the feast, each guest retires,",o5153-l26765,And with them all my soul desires,o5153-l26770,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00119,o5153-w0450
spires,Her philosophick step retires:,o5156-l00565,"When from gay throngs, and gilded spires,",o5156-l00555,/æəz/ | /aɪəz/,half-pararhyme,ababc<b>d</b>e<b>d</b>cceff,pers00035,o5156-w0010
fires,"Where France's fortune, with her sons, retires!",o5152-l08980,"And pushes on thro' midmost fires,",o5152-l08975,/æəz/ | /æəz/,full,aabbccdd<b>e</b><b>e</b>fffgghhiikllkl,pers00007,o5152-w0100
spires,"With ling'ring pace the parting day retires,",o5155-l33520,"And slowly leaves the mountain tops, and gilded spires.",o5155-l33525,/æəz/ | /aɪəz/,half-pararhyme,aabb<b>c</b><b>c</b>,pers00002,o5155-w0720
fires,"But see! The sick'ned glare of day retires,",o4039-l02080," The west faint glimmers with the saffron fires,",o4039-l02090,/æəz/ | /æəz/,full,<b>a</b>b<b>a</b>b,pers00288,o4039-w0090
fires, 'Till Shadwell from the Town retires,pmp18-l02080, (Choak'd up with Fame and Sea-coal Fires),pmp18-l02085,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0050
quires," The Fox obscene to gaping Tombs retires,",o3704-l00370, And Wolves with Howling fill the sacred Quires. ,o3704-l00375,/æəz/ | /aɪəz/,half-pararhyme,<b>a</b><b>a</b>,pers00012,o3704-w0010
inspires," Happy next him who to these Shades retires,",o3704-l01190," Whom Nature charms, and whom the Muse inspires,",o3704-l01195,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00012,o3704-w0010
fires,"There purple Vengeance bath'd in Gore retires,",o3704-l02090," Her Weapons blunted, and extinct her Fires:",o3704-l02095,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00012,o3704-w0010
spires,"From thence to Mamre's peaceful plain retires,",cer72-l01285, Where Kiriath-arba lifts her golden spires:,cer72-l01290,/æəz/ | /aɪəz/,half-pararhyme,<b>a</b><b>a</b>,pers00265,cer72-w0010
requires,"Here Jacob ends, and to his tent retires;",cer72-l02060, Their fleecy charge the parting swains requires. ,cer72-l02065,/æəz/ | /æəz/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
