r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
conceit, He seeks his royal sire's retreat;,ojg27-l04970,"Elate with flatt'ry and conceit,",ojg27-l04965,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0200
beat,"Place me, O heav'n, in some retreat",o5152-l18640,"There let the serious death-watch beat,",o5152-l18645,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00101,o5152-w0230
meet,"O! Goddess, in whose green retreat",bsb18-l10275," Mirth, youth, and laughter, love to meet,",bsb18-l10280,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0120
feet,O Far remov'd from my retreat,o4987-l09980, Be Avarice and Ambition's feet! ,o4987-l09985,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00209,o4987-w0300
seat,Nor with rude arts profane her latest best retreat.,o5153-l30200,"Ah! drive not the sweet wand'rer from her seat,",o5153-l30195,/iːt/ | /iːt/,full,abab<b>c</b><b>c</b>,pers00038,o5153-w0530
feet, That Autumn brings commands thee to retreat;,bao18-l04400, And the green sandals which adorn thy feet. ,bao18-l04410,/iːt/ | /iːt/,full,a<b>b</b>a<b>b</b>cdcdefefgg,pers00279,bao18-w0140
seat,"Was it for this I shun'd retreat,",o5089-l36665, And fix'd near man my social seat! ,o5089-l36670,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00166,o5089-w0780
seat, Tho' Hurd approve his indolent retreat. ,o4546-l00750,"Drive him, Ambition, from th' inglorious seat,",o4546-l00745,/iːt/ | /iːt/,full,ababccdd<b>e</b><b>e</b>,pers00304,o4546-w0010
sweet," IANTHE's eyes stream'd o'er the lov'd retreat,",cac95-l06335, Of all the world this spot alone seem'd sweet;,cac95-l06340,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
neat,"Then SELMO chose a more obscure retreat,",cac95-l06495," To build a humble mansion, plainly neat,",cac95-l06500,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
seat,"To woods and caves she never bade retreat,",o5154-l08700,Nor fix'd in cloyster'd monkeries her seat:,o5154-l08705,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
great,"FRom needless dangers timely to Retreat,",oat77-l06170,"Speaks not our Courage small, but Prudence Great.",oat77-l06175,/iːt/ | /eɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00344,oat77-w0350
meet," I to my Dearest Spouse retreat,",pco62-l03295, When I with any crosses meet,pco62-l03290,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00293,pco62-w0040
fate,O! quickly from her Shrine retreat;,pmp18-l02290, Or tremble for thy Darling's Fate. ,pmp18-l02295,/iːt/ | /eɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0080
great,While Decio's talents best adorn retreat.,o5152-l24910,Patrius it forms to shine in action great;,o5152-l24905,/iːt/ | /eɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00032,o5152-w0290
complete,'Tis conscious virtue crowns the blest retreat.,o5152-l25945,Yet cannot wisdom stamp our joys complete;,o5152-l25940,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
feet,Hail blest retirement! to this calm retreat,pik94-l03060, The sorrowing wretch may turn her weary feet;,pik94-l03065,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00327,pik94-w0120
feet," In vain They wou'd advance, in vain retreat:",pmp18-l06870," Broken They dash, and perish at her Feet. ",pmp18-l06875,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0225
fate," A gen'ral Rout befell, and a Retreat,",o4784-l23775, Was by the Vanquish'd now implor'd of Fate;,o4784-l23780,/iːt/ | /eɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0830
seat," And love, and friendship, make their sweet retreat. ",peh89-l08805," Where unmov'd constancy has fix'd her seat,",peh89-l08800,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00324,peh89-w0180
