r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
kneels," He rises, and his fleshless form reveals. ",pye85-l05215, Love dies — Lo! in yon corner down he kneels;,pye85-l05205,/iːlz/ | /iːlz/,full,a<b>b</b>a<b>b</b>,pers00256,pye85-w0140
dwells,"Too curious Search Death's hidden Stores reveals,",pdi22-l10895, How Fate in Plants and pois'nous Powder dwells. ,pdi22-l10900,/iːlz/ | /elz/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
feels," Then smiles again, while her flush'd cheek reveals",bhw18-l05335, The mingled tumult of delight she feels; —,bhw18-l05340,/iːlz/ | /iːlz/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
dales,"What eager Fire, their rapid March reveals! ",o4106-l05880,So the fierce Centaurs ravag'd o'er the Dales;,o4106-l05885,/iːlz/ | /eɪlz/,half-pararhyme,<b>a</b><b>a</b>,pers00294,o4106-w0090
steals," A Sigh, and all the Truth reveals. ",o5247-l03770, From my fond Breast reluctant steals,o5247-l03765,/iːlz/ | /iːlz/,full,aa<b>b</b><b>b</b>,pers00295,o5247-w0220
deals," They Tell the Secret first, which he Reveals:",pmp18-l20465,With the fond Maids in Palmistry he deals:,pmp18-l20460,/iːlz/ | /iːlz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0720
conceals, Nor one accusing word her fraud reveals. ,cer72-l05730,"He ceas'd, and still Sabrina's shame conceals,",cer72-l05725,/iːlz/ | /iːlz/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
tells, And all the faithless mystery reveals. ,cer72-l06820," To Potiphar the hidden truth she tells,",cer72-l06815,/iːlz/ | /elz/,half-pararhyme,<b>a</b><b>a</b>,pers00265,cer72-w0010
wheels," As Night's pale Queen her rising orb reveals,",o4671-l06475," And climbs the zenith with refulgent wheels,",o4671-l06480,/iːlz/ | /iːlz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
shells, The spangl'd Glories of the Plain reveals,pdi12-l00650," With Pebbles checquer'd, and with Azure Shells. ",pdi12-l00655,/iːlz/ | /elz/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi12-w0020
tells," Explores his Crimes, the Dauphin Wrath reveals:",o4885-l01800," The publick News his shameful Story tells,",o4885-l01795,/iːlz/ | /elz/,half-pararhyme,<b>a</b><b>a</b>,pers00300,o4885-w0010
tells," And to his list'ning Ears, each Circumstance reveals. ",o4885-l03055," With graceful Air, the whole Adventure tells,",o4885-l03050,/iːlz/ | /elz/,half-pararhyme,<b>a</b><b>a</b>,pers00300,o4885-w0010
tells,"The affrighted Boy, the Truth of all reveals,",o4885-l07490," His Lord's Commands, and secret Letter tells:",o4885-l07495,/iːlz/ | /elz/,half-pararhyme,<b>a</b><b>a</b>,pers00300,o4885-w0010
feels," And no fierce Light disturbs, whilst it reveals;",o4784-l24530," When a sedate Content the Spirit feels,",o4784-l24525,/iːlz/ | /iːlz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0860
hills,This setting sun reveals;,bed98-l10020,And Mona's magic hills.,bed98-l10030,/iːlz/ | /ɪlz/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00340,bed98-w0270
feels, 'Till use the latest strength reveals;,o3982-l06305,"Her vigorous wing she scarcely feels,",o3982-l06300,/iːlz/ | /iːlz/,full,<b>a</b><b>a</b>,pers00274,o3982-w0020
concease," And pitying Heaven her angel form reveals,",n22cs-l01135," Pensive I lay: When she whom Earth concease,",n22cs-l01125,/iːlz/ | /iːs/,half-vowelrhyme,abab<b>c</b>d<b>c</b>defefgg,pers00290,n22cs-w0150
conceals, And every treacherous arch the hideous gulph reveals. ,pmt18-l01205, Yet many a flowery sod its course conceals,pmt18-l01190,/iːlz/ | /iːlz/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0020
steals, And every treacherous arch the hideous gulph reveals. ,pmt18-l01205," Till secret ruin all corroding steals,",pmt18-l01200,/iːlz/ | /iːlz/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0020
conceals, All but what his Eyes reveals:,o5247-l00635," His Pain the lovely Youth conceals,",o5247-l00630,/iːlz/ | /iːlz/,full,<b>a</b><b>a</b>,pers00295,o5247-w0020
feels, My wond'ring Soul? an opening Cloud reveals,pmp18-l51570,And lo! what sees my ravish'd Eye? what feels,pmp18-l51565,/iːlz/ | /iːlz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
dwells,And from the mystick cloud reveals,o5155-l20165,"Where thron'd in majesty he dwells,",o5155-l20160,/iːlz/ | /elz/,half-pararhyme,aab<b>c</b><b>c</b>b,pers00045,o5155-w0250
feels, Why praise the timid worth his glance reveals;,bao18-l04610, Whose power to wound my aching bosom feels? ,bao18-l04620,/iːlz/ | /iːlz/,full,a<b>b</b>a<b>b</b>,pers00279,bao18-w0160
feels,"Another's pain to thee reveals,",bed98-l03985,And all thy soften'd bosom feels.,bed98-l03990,/iːlz/ | /iːlz/,full,<b>a</b><b>a</b>,pers00340,bed98-w0050
