r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
near," The hallow'd seat revere,",o4985-l36460,"Mortal, approaching near,",o4985-l36455,/ɪə/ | /ɪə/,full,aba<b>c</b><b>c</b>cbddeeffgghihkki,pers00057,o4985-w0550
here," The hallow'd seat revere,",o4985-l36460, Nor bring the loud tumultuous Passions here;,o4985-l36465,/ɪə/ | /ɪə/,full,abac<b>c</b><b>c</b>bddeeffgghihkki,pers00057,o4985-w0550
there, But these in our hearts we can never revere;,peh89-l11290, The worthy man only can hold a place there. ,peh89-l11295,/ɪə/ | /eə/,half-pararhyme,aa<b>b</b><b>b</b>,pers00324,peh89-w0370
infant-heir,"So Dolphins teem, whom Subject Fish revere,",pdi22-l05450, And show the smiling Seas their Infant-Heir. ,pdi22-l05455,/ɪə/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
air, Alike the Charms of Piety revere. ,pdi22-l05875,"All Kinds that move in Ocean, Earth, or Air",pdi22-l05870,/ɪə/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
bear,"Ev'n stormy Seas the juster Kinds revere,",pdi22-l12175, And Fishes some Respect to Virtue bear. ,pdi22-l12180,/ɪə/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
ear,Who should not honour'd eld with these revere:,o5152-l30190,Ne pompous title did debauch her ear;,o5152-l30165,/ɪə/ | /ɪə/,full,a<b>b</b>abbc<b>b</b>cc,pers00035,o5152-w0320
hear,Who should not honour'd eld with these revere:,o5152-l30190,"Or dame, the sole additions she did hear;",o5152-l30175,/ɪə/ | /ɪə/,full,aba<b>b</b>bc<b>b</b>cc,pers00035,o5152-w0320
dear,Who should not honour'd eld with these revere:,o5152-l30190,"Yet these he challeng'd, these she held right dear:",o5152-l30180,/ɪə/ | /ɪə/,full,abab<b>b</b>c<b>b</b>cc,pers00035,o5152-w0320
fair,"She taught me humbled goodness to revere,",pcm93-l08400," Taught me to think bright Virtue only fair,",pcm93-l08410,/ɪə/ | /eə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0170
dear," Commands her train the sentence to revere,",pmt18-l12900,Still in that tuneful form to Dian dear,pmt18-l12890,/ɪə/ | /ɪə/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0024
declare,"Now hear the God, whom Worlds revere,",pba35-l13510," What He decrees for Her, declare. ",pba35-l13515,/ɪə/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00261,pba35-w1000
tear,A faithful friend her mem'ry to revere.,pro75-l02750,"Her virtues still demand a generous tear,",pro75-l02740,/ɪə/ | /ɪə/,full,a<b>b</b>a<b>b</b>,pers00271,pro75-w0120
hear,""" So good a bird we must revere;",pik94-l06025," ""Wou'd he the voice of prudence hear,",pik94-l06020,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00327,pik94-w0280
dear, Shall many a heart with pious love revere:,o3555-l07765,"Farewel! thy cherish'd image, ever dear,",o3555-l07760,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00149,o3555-w0250
gear,"Then shall the world your matchless pow'r revere,",o5155-l13155,"And don more graceful and more costly gear,",o5155-l13130,/ɪə/ | /ɪə/,full,a<b>b</b>abbc<b>b</b>cc,pers00033,o5155-w0200
appear,"Then shall the world your matchless pow'r revere,",o5155-l13155,And in a samite garment streit appear.,o5155-l13140,/ɪə/ | /ɪə/,full,aba<b>b</b>bc<b>b</b>cc,pers00033,o5155-w0200
dear,"Then shall the world your matchless pow'r revere,",o5155-l13155,"Farewell, ye groves, which once I held so dear;",o5155-l13145,/ɪə/ | /ɪə/,full,abab<b>b</b>c<b>b</b>cc,pers00033,o5155-w0200
career," Surrounding throngs the demi-god revere,",o3794-l08590," View him at Paris in his last career,",o3794-l08585,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00269,o3794-w0030
year,"But hold, there's solid reason to revere;",o4198-l01400, His Lordship has six thousand pounds a year;,o4198-l01405,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00288,o4198-w0120
fear,"Do they their equal, sometimes less, revere?",o5154-l23395,"At once detest and serve, despise and fear?",o5154-l23400,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00106,o5154-w0360
peer," Still let her senates titled slaves revere,",o4984-l23780, Nor dare to know the patriot from the peer;,o4984-l23785,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00053,o4984-w0440
fear, Fond Italy shall yet revere. ,o4984-l14460, Thy relicts with religious fear,o4984-l14455,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00227,o4984-w0220
hear,"The realms around, who idol Gods revere,",cer72-l01245, Will this black deed with indignation hear;,cer72-l01250,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
forbear,"The great CREATOR to revere,",cbu86-l13960," But still the preaching cant forbear,",cbu86-l13970,/ɪə/ | /ɔːbeə/,half-pararhyme,<b>a</b>b<b>a</b>bcdcd,pers00307,cbu86-w0230
share, Thy Worth I'm destin'd to revere;,pba35-l14395,"Tho' I thy Favour shall not share,",pba35-l14390,/ɪə/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00087,pba35-w1110
spear,"Their sov'reign, whose behests they most revere,",o5153-l10015,"And wield with valour great the martial spear,",o5153-l10025,/ɪə/ | /ɪə/,full,a<b>b</b>a<b>b</b>bcbcc,pers00024,o5153-w0310
near,"Their sov'reign, whose behests they most revere,",o5153-l10015,So that their name is dreaded far and near.,o5153-l10030,/ɪə/ | /ɪə/,full,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
fear,"Their sov'reign, whose behests they most revere,",o5153-l10015,"Then need no Fairy-land their prowess fear,",o5153-l10040,/ɪə/ | /ɪə/,full,a<b>b</b>abbc<b>b</b>cc,pers00024,o5153-w0310
wear,"But chief the greatest should her laws revere,",o4984-l05030," Ennobling honours, which she bids them wear. ",o4984-l05035,/ɪə/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00218,o4984-w0040
sincere,"Despoil'd of all which you revere,",o5156-l04135,I know my Flavia's love sincere.,o5156-l04140,/ɪə/ | /ɪə/,full,aa<b>b</b><b>b</b>,pers00035,o5156-w0120
rear," The place's genius to revere,",o4984-l07440," And, as he bids, the structure rear. ",o4984-l07445,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00218,o4984-w0060
fear,"Enticing nations to revere,",o5155-l06520,And proudly vain of pagan fear;,o5155-l06525,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00089,o5155-w0040
severe,Still worth shall kindred worth revere.,bed98-l15335,"Or shone with aspect more severe,",bed98-l15330,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00340,bed98-w0360
there,"Those sacred Virgins whom the Bards revere,",o4106-l00615," Tun'd all her Voice, and shed a Sweetness there,",o4106-l00620,/ɪə/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00294,o4106-w0010
here," With pious awe their kindly love revere,",o5089-l30345, For know they ever shall inhabit here. ,o5089-l30350,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00033,o5089-w0650
sphere,Those lasting honors which the just revere.,pro75-l04360,"And move sublime in a distinguish'd sphere,",pro75-l04350,/ɪə/ | /ɪə/,full,a<b>b</b>a<b>b</b>,pers00271,pro75-w0190
