r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
time, Can pause one hour to read a serious rhime;,o3794-l13010," If bus'ness, constant as the wheels of time,",o3794-l13005,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
crime," Than what thou lately puttest into Rhime,",oae86-l01190,For wert thou guilty of no other crime,oae86-l01185,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
time," Making true Verse instead of spiteful Rhime,",oae86-l01475,And had my Antagonist spent his time,oae86-l01470,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
time,"Why shou'd I search my brains for rhime,",o5156-l15460,"WHY shou'd I thus employ my time,",o5156-l15450,/aɪm/ | /aɪm/,full,<b>a</b>b<b>a</b>b,pers00027,o5156-w0540
time,"Ev'n a Romance, a Tune, a Rhime",pmp18-l38525," Help Thee to pass the tedious Time,",pmp18-l38530,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
time,"But give, kind Dullness, Memory and Rhime,",o4600-l00995, We'll put off Genius till another time. ,o4600-l01000,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
time," Who boast no merit but mere knack of rhime,",o4110-l00405," Short gleams of sense, and satire out of time,",o4110-l00410,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
clime," Upon that State in high and lofty Rhime,",pco62-l04870, Bravely attempts Parnassus's Hill to Clime;,pco62-l04875,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00293,pco62-w0070
prime,"Misled I wander'd into rhime,",o5156-l28810,Indeed in youth's fantastic prime,o5156-l28805,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00134,o5156-w0800
thyme,"And more I fain would sing, disdaining here to rhime.",o5152-l30290,"The tufted Basil, pun-provoking Thyme,",o5152-l30275,/aɪm/ | /aɪm/,full,ababb<b>c</b>bc<b>c</b>,pers00035,o5152-w0320
climb,"And more I fain would sing, disdaining here to rhime.",o5152-l30290,The lowly Gill that never dares to climb;,o5152-l30285,/aɪm/ | /aɪm/,full,ababbcb<b>c</b><b>c</b>,pers00035,o5152-w0320
time,And trifle not in dogrel rhime;,o5156-l30415,"We'll rouse our thoughts, and take due time,",o5156-l30410,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00131,o5156-w0830
time,T' express my thoughts to you in rhime.,o5157-l35085,"You see, dear sir, I've found a time",o5157-l35080,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00115,o5157-w0720
time,"SINCEREST Critick of my Prose, or Rhime,",o5295-l00005,"Tell how thy pleasing STOWE employs thy Time,",o5295-l00010,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00339,o5295-w0010
time,"With Morals much, and now and then with Rhime,",o5295-l00370,In easy Contemplation soothing Time,o5295-l00365,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00339,o5295-w0010
time," ""Come, touch us up a sketch in rhime,",o4257-l00635,""" And shew your genius — now's the time. ",o4257-l00640,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00304,o4257-w0010
clime," In numbers rude, or flowing rhime,",o5280-l01110," Yet still in ev'ry age or clime,",o5280-l01105,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00277,o5280-w0030
time,"'Tis thus with him, who fond of rhime",o5156-l06530,"And tires his thoughts, and wastes his time",o5156-l06540,/aɪm/ | /aɪm/,full,<b>a</b>b<b>a</b>b,pers00035,o5156-w0240
prime, With beauteous Lips becoming sacred Rhime:,o4784-l21160," Ye Children, hast'ning to your Prime;",o4784-l21150,/aɪm/ | /aɪm/,full,a<b>b</b>a<b>b</b>b,pers00268,o4784-w0640
time, With beauteous Lips becoming sacred Rhime:,o4784-l21160," You Aged, give Him Praise for your encrease of Time. ",o4784-l21165,/aɪm/ | /aɪm/,full,aba<b>b</b><b>b</b>,pers00268,o4784-w0640
prime,"Demand whole volumes of immortal rhime,",o5156-l15335,"The painted gardens, in their flow'r prime,",o5156-l15330,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00086,o5156-w0530
sublime," We'll write to You, and make You write in Rhime:",pmp18-l26640," Rural, Pathetic, Narrative, Sublime,",pmp18-l26635,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>a,pers00314,pmp18-w0890
time," We'll write to You, and make You write in Rhime:",pmp18-l26640, Female Remarks shall take up all Your Time. ,pmp18-l26645,/aɪm/ | /aɪm/,full,a<b>a</b><b>a</b>,pers00314,pmp18-w0890
time,"But should, with ANNA's Verse, his hapless Rhime,",o4739-l07040," In future meet th' impartial eye of Time,",o4739-l07045,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00285,o4739-w0230
time,"Sir Freeport began with this verse, tho' no rhime —",o5157-l36440,"""The trees of the forest went forth on a time,",o5157-l36445,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00041,o5157-w0800
sublime,"Vouchsafe, at least, to pitch the key of rhime",o3794-l00990," To themes more pertinent, if less sublime. ",o3794-l00995,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
time," The clock-work tintinabulum of rhime,",o3794-l02695," Beating alternately, in measur'd time,",o3794-l02690,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
time, Who rashly ventures on a sea of Rhime. ,o3842-l00095,GREAT are his perils in this stormy time,o3842-l00090,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00155,o3842-w0010
time, In spinning Reason into harmless Rhime;,o3842-l02010, What if a man delight to pass his time,o3842-l02005,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00155,o3842-w0010
time," How often have we stray'd, whilst sportive Rhime",o3588-l01995," Deceiv'd the way, and clipp'd the wings of Time,",o3588-l02000,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00155,o3588-w0010
chime,"Nature indeed looks prettily in rhime,",o3794-l28100," Streams tinkle sweetly in poetic chime,",o3794-l28105,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00269,o3794-w0080
time," Away go the hours in kisses and rhime,",o4103-l19955, Spite of all the grave lectures of old father Time;,o4103-l19960,/aɪm/ | /aɪm/,full,aa<b>b</b><b>b</b>cc,pers00254,o4103-w0230
time," Fill's up a Ballad, made too great in Rhime,",o4299-l03520," Is fabl'd into Tale, and dies again by Time.",o4299-l03525,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00346,o4299-w0010
time," Curss'd be your Skill, you taught me then to Rhime:",pse03-l01840,"Happy I liv'd, for almost Eight years time,",pse03-l01835,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00272,pse03-w0040
chime, And put the Shrieks and Groans of Fiends in Rhime. ,pse03-l01900," There let her sit, with her Infernal Chyme,",pse03-l01895,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00272,pse03-w0040
crime," Of writing any thing, in jingling Rhime;",pse03-l01950," Light upon him, that does commit the Crime,",pse03-l01945,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00272,pse03-w0040
crime," Cannot attempt it e'en in Rhime,",o3552-l05970,"POETS themselves, without a crime,",o3552-l05965,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00155,o3552-w0010
time, Flounces and Furbelows in Rhime:,o3552-l06040," Our Story wants not at this time,",o3552-l06035,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00155,o3552-w0010
arnheim, Places that could not be reduc'd to Rhime? ,pmp18-l18045," What Work had We with Wageninghen, Arnheim,",pmp18-l18040,/aɪm/ | /ɑːnhaɪm/,half-vowelrhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0580
