r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
prime,"Just now I've taen the fit o' rhyme,",cbu86-l05395," My barmie noddle's working prime,",cbu86-l05400,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0080
sublime,"Just now I've taen the fit o' rhyme,",cbu86-l05395, My fancy yerket up sublime,cbu86-l05405,/aɪm/ | /aɪm/,full,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0080
time,"Just now I've taen the fit o' rhyme,",cbu86-l05395, Hae ye a leisure-moment's time,cbu86-l05415,/aɪm/ | /aɪm/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0080
clime, Thrice he traced the Runic rhyme;,o4986-l11595,"Facing to the northern clime,",o4986-l11590,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00039,o4986-w0260
clime,Thrice he traced the runic rhyme;,tgaen-l09160,"Facing to the northern clime,",tgaen-l09155,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00039,tgaen-wdooo
sublime, Still downward am I called to seek some stubborn rhyme. ,bjb18-l04975," Whene'er I aim at heights sublime,",bjb18-l04970,/aɪm/ | /aɪm/,full,aabb<b>c</b><b>c</b>,pers00287,bjb18-w0040
time,"As Fancy led, each form'd his Tale in Rhyme:",sap09-l02375,What should they do to pass the loit'ring Time? ,sap09-l02370,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00302,sap09-w0050
climb, And find a Hero worthy of my Rhyme:,o4741-l00380," I quickly would Parnassus' Summit climb,",o4741-l00375,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00091,o4741-w0010
crime," Dim in the gloom, and pale in the hoar rhyme,",bse96-l03680," In vernal airs, and hours, commits the crime",bse96-l03655,/aɪm/ | /aɪm/,full,a<b>b</b>baab<b>b</b>acdcdcd,pers00282,bse96-w0120
time," Dim in the gloom, and pale in the hoar rhyme,",bse96-l03680," Of sullenness to Nature; 'gainst the time,",bse96-l03660,/aɪm/ | /aɪm/,full,ab<b>b</b>aab<b>b</b>acdcdcd,pers00282,bse96-w0120
clime," Dim in the gloom, and pale in the hoar rhyme,",bse96-l03680," And aweless gazes on the faded Clime,",bse96-l03675,/aɪm/ | /aɪm/,full,abbaa<b>b</b><b>b</b>acdcdcd,pers00282,bse96-w0120
time, Is spent in trifling with a harmless Rhyme. ,o5125-l21640, Idly 'tis true: But guiltlesly the Time,o5125-l21635,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00154,o5125-w0520
time,"THOUGH each theatric wight, in prose or rhyme,",o5280-l06505, Condemns of course the drama of his time;,o5280-l06510,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00277,o5280-w0390
