r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
blows, Yet frail thy being as the op'ning rose,bhw18-l20350, When chill the rude wind blows. ,bhw18-l20355,/əʊz/ | /əʊz/,full,aa<b>b</b><b>b</b>,pers00276,bhw18-w0530
bestows," On the pale sky the blushing rose,",bsb18-l10400, To rise when ruddy morn bestows,bsb18-l10395,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0120
those," Which, while it decks the head with many a rose,",n22cs-l00035," But far, far happier is the lot of those",n22cs-l00025,/əʊz/ | /əʊz/,full,abab<b>c</b>d<b>c</b>defefgg,pers00290,n22cs-w0010
woes," Cherish'd the genial influence as it rose,",yfs88-l01725, Dispell'd their errors and reliev'd their woes. ,yfs88-l01730,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
prose,"To his stray'd Son, still as his Passion rose,",o4784-l23280, He rais'd his hasty Voice in clam'rous Prose:,o4784-l23285,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0800
chose,"British PALLADOUR then rose,",o5156-l24530,"From the goddess nam'd, who chose",o5156-l24535,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00146,o5156-w0710
repose,Tell me whence their sorrows rose:,o4986-l11880, Then I leave thee to repose. ,o4986-l11885,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00039,o4986-w0260
disclose, The Infant Earth to Being rose:,o4602-l00330," Her disunited Frame disclose,",o4602-l00320,/əʊz/ | /əʊz/,full,a<b>b</b>a<b>b</b>cc,pers00150;pers00151,o4602-w0010
woes," We slept together and as fondly rose,",o5125-l21195, The same our Pleasures and the like our Woes;,o5125-l21190,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
blows, I have no pleasure in the rose:,o4984-l35605," For me no vernal beauty blows,",o4984-l35610,/əʊz/ | /əʊz/,full,aab<b>c</b><b>c</b>b,pers00226,o4984-w0660
