r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
grove,"Say, dost thou in those meadows rove,",pcm93-l01025,"Or dost thou haunt that silent grove,",pcm93-l01035,/əʊv/ | /əʊv/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0020
grove, No longer thro' the forest rove;,o4987-l28365, Disturbs the stillness of the grove:,o4987-l28375,/əʊv/ | /əʊv/,full,a<b>b</b>a<b>b</b>,pers00189,o4987-w0790
grove," Or o'er the flowery mead, we rove;",o4987-l10045," When, joyous, thro' the leafy grove,",o4987-l10040,/əʊv/ | /əʊv/,full,<b>a</b><b>a</b>,pers00209,o4987-w0300
grove,"The little bat in giddy orbs doth rove,",o4985-l27430," Favonius gentle skims along the grove,",o4985-l27420,/əʊv/ | /əʊv/,full,ababb<b>c</b>b<b>c</b>c,pers00033,o4985-w0390
love,"The little bat in giddy orbs doth rove,",o4985-l27430," And loud the screech-owl shrieks, to rouse her blue-ey'd love. ",o4985-l27435,/əʊv/ | /ʌv/,half-pararhyme,ababbcb<b>c</b><b>c</b>,pers00033,o4985-w0390
love," Where stern Opression's hireling minions rove,",yfs88-l01305, To burst each tender tie of social love;,yfs88-l01310,/əʊv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00318,yfs88-w0020
grove," Arm lock'd in Arm with heedless Steps we rove,",o5125-l19025, Round the fair Borders of a blooming Grove;,o5125-l19030,/əʊv/ | /əʊv/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
jove, With air of distant awe we rove:,o4546-l00070, Daughter in hour sublime of Jove! ,o4546-l00060,/əʊv/ | /əʊv/,full,a<b>b</b>a<b>b</b>ccddee,pers00304,o4546-w0010
love," Thou bad'st me Fancy's wilds to rove,",o4739-l01235, And seek th' ecstatic bow'r of Love. ,o4739-l01240,/əʊv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00285,o4739-w0080
love,Where fetter'd Nature is forbid to rove,o5154-l09605,In the free commerce of productive Love:,o5154-l09610,/əʊv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00042,o5154-w0140
grove,"Near solemn rocks, with her to rove:",o5156-l08180,"In mossy cell, or maple grove.",o5156-l08190,/əʊv/ | /əʊv/,full,a<b>b</b>a<b>b</b>,pers00037,o5156-w0320
love, For while you thus with harlots rove,pco62-l03270," You never know the Sweets of love,",pco62-l03275,/əʊv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00293,pco62-w0040
love," Your Wife will hardly ever rove,",pco62-l03705," If you are constant in your love,",pco62-l03700,/əʊv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00293,pco62-w0040
grove,"Thro' your Versailles with Pleasure rove,",pba35-l06445," Admire the Gardens, and the Grove;",pba35-l06450,/əʊv/ | /əʊv/,full,<b>a</b><b>a</b>,pers00087,pba35-w0470
love," Untouch'd, and careless, now I wildly rove,",oar96-l09350," For through the Splendid Gallantrys of Love,",oar96-l09345,/əʊv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00265,oar96-w0490
grove," Sad by the crystal stream did rove,",pcm93-l07150,"She sought him through the cypress grove,",pcm93-l07140,/əʊv/ | /əʊv/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0080
grove," To no fictitious scenes the Muse shall rove,",o5280-l04520," Nor seek, by frenzy led, the Delphic grove;",o5280-l04525,/əʊv/ | /əʊv/,full,<b>a</b><b>a</b>,pers00277,o5280-w0330
grove,"BEHOLD, my fair, where'er we rove,",o5089-l25030," The naked hill, the leafless grove,",o5089-l25040,/əʊv/ | /əʊv/,full,<b>a</b>b<b>a</b>b,pers00029,o5089-w0540
love,"Alcon did never yet inconstant rove,",pdi12-l02565," Or break repeated Vows, or change his Love. ",pdi12-l02570,/əʊv/ | /ʌv/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi12-w0070
jove," Which round th' aëreal ocean rove,",o4984-l04200," The ravening kite, and bird of Jove,",o4984-l04195,/əʊv/ | /əʊv/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
grove,"Should love by chance invite your friend to rove,",peh89-l08860, I'd take a trip into the silent grove;,peh89-l08865,/əʊv/ | /əʊv/,full,<b>a</b><b>a</b>,pers00324,peh89-w0180
grove," 'Mid its mazes let me rove,",pcm93-l10330,"Lead me thro' yon waving grove,",pcm93-l10320,/əʊv/ | /əʊv/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0240
grove,"Let Phillis ne'er, ah never let her rove",o5125-l03325, From her first Virtue and her humble Grove. ,o5125-l03330,/əʊv/ | /əʊv/,full,<b>a</b><b>a</b>,pers00154,o5125-w0110
love,'Mutt'ring his wayward fancies he wou'd rove;,o5155-l00530,"'Or craz'd with care, or cross'd in hopeless love.",o5155-l00540,/əʊv/ | /ʌv/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00039,o5155-w0010
move,"Whene'er at morn or eve I rove,",o5156-l07855,More splendid scenes my rapture move;,o5156-l07865,/əʊv/ | /uːv/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00142,o5156-w0310
