r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
hand, Its thirsty Point lay shiver'd in the Sand:,o5125-l21135," The missive Death deceiv'd his bloody Hand,",o5125-l21130,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
strand, Whose rude o'erhanging cliffs and barren sand,o4987-l21265,"Now bear me, Clio, to that Kentish strand,",o4987-l21260,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
command,"High steepy Cliffs despise the lower Sand,",pdi22-l00975," O'erlook the Seas, and distant Views command. ",pdi22-l00980,/ænd/ | /ɑːnd/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
strand," Stretch out, and bask upon the wavy Sand. ",pdi22-l03295,"So the Grand Whale will court the weedy Strand,",pdi22-l03290,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
land, And leaves his Prints on all the furrow'd Sand;,pdi22-l04735,"Tir'd with the Strife the Serpent hies to Land,",pdi22-l04730,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
command, And boiling Floods turn up the working Sand. ,pdi22-l05325,"Insulting Winds it's shallow Depth command,",pdi22-l05320,/ænd/ | /ɑːnd/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
hand, Will give his Friend the Burial of the Sand:,pdi22-l12030, And hope that grateful Man with pious Hand,pdi22-l12025,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
hand, To shun the rocks and treach'rous sand;,ojg27-l04300,'Tis I direct the pilot's hand,ojg27-l04295,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0170
land,"But why these plaints? — amid his wastes of sand,",o4984-l30095," Far more the Indian in Columbus' land,",o4984-l30105,/ænd/ | /ænd/,full,<b>a</b>b<b>a</b>b,pers00250,o4984-w0520
bend," Thy sweepy tail involved in clouds of sand,",bjb18-l08590," Whilst low to earth thy curving haunches bend,",bjb18-l08585,/ænd/ | /end/,half-pararhyme,<b>a</b><b>a</b>,pers00287,bjb18-w0150
land,"Half bak'd by the sun, half blind by the sand.",o5157-l20475,"I wander alone in a barbarous land,",o5157-l20470,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00114,o5157-w0310
stand," Be said to Winds, or writ upon the Sand. ",pmp18-l19895," Henceforth shall in my Verse refuted stand,",pmp18-l19890,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0720
land," I see thee seek the sparkling sand,",bao18-l03400, That bears me to my native land. ,bao18-l03410,/ænd/ | /ænd/,full,a<b>b</b>a<b>b</b>,pers00279,bao18-w0080
hand, To guard his shaded face from scorching sand. ,o5089-l00960," A fan of painted feathers in his hand,",o5089-l00955,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00048,o5089-w0020
hand,"See, pil'd in mountains, on the sanguine sand",o4198-l03875, The blasted of the lightnings of thy hand. ,o4198-l03880,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00288,o4198-w0180
hand," A Stone up-rooted from the yielding Sand,",o5125-l22390,"Stung to the Soul, he with his frantick Hand",o5125-l22385,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0550
land," Where Showers seldom wet the burning Sand,",o5125-l14500,"Once on a time on Libya's thirsty Land,",o5125-l14495,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0390
hand,"Fitly, o'er Libya's horrid sand,",o4987-l17430, The javelin arms the Huntsman's hand. ,o4987-l17435,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00203,o4987-w0580
command, The exhausted Ocean leaves a Field of Sand;,oar96-l05185, Nor does vext Neptune one cool Wave command. ,oar96-l05190,/ænd/ | /ɑːnd/,half-pararhyme,<b>a</b><b>a</b>,pers00265,oar96-w0200
strand,""" A breathless corse is thrown upon the sand. ",pcm93-l06855,""" I hasten to explore the fatal strand:",pcm93-l06845,/ænd/ | /ænd/,full,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0070
strand," Heaves up huge ABYLA on Afric's sand,",o4671-l01755," Crowns with high CALPE Europe's saliant strand,",o4671-l01760,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
expand, And twilight swims upon the shuddering sand;,o4671-l05440," O'er ten square leagues her pennons broad expand,",o4671-l05435,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
hand," Arrest SIMOOM in his realms of sand,",o4671-l09375, The poisoned javelin balanced in his hand; —,o4671-l09380,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
strand,"— Erewhile, emerging from the brooding sand,",o4671-l11215," With Tyger-paw He prints the brineless strand,",o4671-l11220,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
land,"Polluted ooze, or heaps of barren sand.",o5157-l04725,"Neglected leave the once well-water'd land,",o5157-l04715,/ænd/ | /ænd/,full,a<b>b</b>a<b>b</b>,pers00038,o5157-w0070
command," He waits and watches the slow passing Sand,",o4885-l04450," Tho' bid retire, he minds not the Command;",o4885-l04455,/ænd/ | /ɑːnd/,half-pararhyme,<b>a</b><b>a</b>a,pers00300,o4885-w0010
hand," He waits and watches the slow passing Sand,",o4885-l04450, But still observes and grasps his feeble Hand. ,o4885-l04460,/ænd/ | /ænd/,full,<b>a</b>a<b>a</b>,pers00300,o4885-w0010
command,'Twou'd soon grow hateful as the barren Sand;,o4885-l06200," Tho' in a Palace where she bore Command,",o4885-l06195,/ænd/ | /ɑːnd/,half-pararhyme,<b>a</b><b>a</b>,pers00300,o4885-w0010
stand,"Like a new bruiser on Broughtonic sand,",o4984-l25320, Amid the lists our hero takes his stand;,o4984-l25325,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00053,o4984-w0450
hand," ""Eliza sleeps upon the dew-cold sand;",o4671-l19185," ""Speak low,"" he cries, and gives his little hand,",o4671-l19180,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
land," Contagion stalks along the briny sand,",o4671-l21710, And Ocean rolls his sickening shoals to land. ,o4671-l21715,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
withstand," Build on the Wave, or arch beneath the Sand? ",o3676-l03330,"Prescient, the Tydes or Tempests to withstand,",o3676-l03325,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00012,o3676-w0010
hand, And thus inscribes the Moral on the Sand. ,o4106-l01450," He wheels his Arrow with insulting Hand,",o4106-l01445,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00294,o4106-w0010
fanned,"But who's not pleas'd to walk on easy Sand,",pdi12-l04540," While waving Heaps are by the Zephyrs fann'd,",pdi12-l04545,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0130
hand, To guard his shaded face from scorching sand. ,o4985-l00390," A fan of painted feathers in his hand,",o4985-l00385,/ænd/ | /ænd/,full,<b>a</b><b>a</b>,pers00048,o4985-w0010
