r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
grave," If these, or any grace, had power to save",o5089-l25720, The best of wives and women from the grave:,o5089-l25725,/eɪv/ | /ɑːv/,half-pararhyme,<b>a</b><b>a</b>,pers00184,o5089-w0570
wave, (Good as Thou art and strong to save),o3900-l17885, Upborn by the unyielding Wave;,o3900-l17895,/eɪv/ | /eɪv/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w1000
wave, O'er the bent shrub they prop and save. ,bsb18-l10930,Who suffer not the winds to wave,bsb18-l10925,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0120
gave, And justice snatch the soul that mercy could not save. ,yfs88-l02240," Then will his wrath destroy the life he gave,",yfs88-l02235,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
grave, Extend thy ev'ry noble pow'r to save,yfs88-l02255, The wretch just tott'ring o'er an early grave;,yfs88-l02260,/eɪv/ | /ɑːv/,half-pararhyme,<b>a</b><b>a</b>,pers00318,yfs88-w0020
grave, Made Sin a sinful World to save;,o3900-l10570, The Rich supplied an Honour'd Grave? ,o3900-l10580,/eɪv/ | /ɑːv/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
have, (Tho' it ha'nt got the priviledge to save),oae86-l02805," Hypocrisie preheminence should have,",oae86-l02800,/eɪv/ | /æv/,half-pararhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
grave, From blasting tongues my hapless mem'ry save;,pyl90-l00980," When every grief sinks with me to the grave,",pyl90-l00975,/eɪv/ | /ɑːv/,half-pararhyme,<b>a</b><b>a</b>,pers00322,pyl90-w0040
enslave," Nought can the wretched Gazer save,",o5247-l02175,"Heedless thy charming Eyes enslave,",o5247-l02165,/eɪv/ | /eɪv/,full,<b>a</b>b<b>a</b>b,pers00295,o5247-w0110
grave,"(Wise but to get, and active but to save)",o5152-l25030,May scorn deserv'd still follow to the grave.,o5152-l25035,/eɪv/ | /ɑːv/,half-pararhyme,<b>a</b><b>a</b>,pers00032,o5152-w0290
brave, The pow'r to conquer and the will to save;,yfs88-l01040," They own the spirit to be tryly brave,",yfs88-l01035,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
grave," That Pow'r from life's dark danger form'd to save,",yfs88-l01155, And lift the eye of hope beyond the grave. ,yfs88-l01160,/eɪv/ | /ɑːv/,half-pararhyme,<b>a</b><b>a</b>,pers00317,yfs88-w0010
grave, Anxious his yet-lov'd daughter's life to save;,pcm93-l00710, Now by himself devoted to the grave. ,pcm93-l00720,/eɪv/ | /ɑːv/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0010
grave," With Cries, Intreaties, Tears, to save,",o3900-l23680, To snatch them from the gaping Grave. ,o3900-l23685,/eɪv/ | /ɑːv/,half-pararhyme,aa<b>b</b><b>b</b>,pers00310,o3900-w1260
grave, From cold oblivion's power to save;,bah18-l07370, The mournful story at her grave. ,bah18-l07380,/eɪv/ | /ɑːv/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00281,bah18-w0580
grave,""" While here, th' immortalizing muse shall save",o4987-l21940," ""Your darling names from dark Oblivion's grave;",o4987-l21945,/eɪv/ | /ɑːv/,half-pararhyme,<b>a</b><b>a</b>,pers00055,o4987-w0700
wave,Thou wilt not deign to save.,o5156-l02280,I plunge into the wave;,o5156-l02265,/eɪv/ | /eɪv/,full,<b>a</b>bb<b>a</b>,pers00035,o5156-w0050
