r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
aim, And give you an unerring Scheme,pba35-l03115,"Flavia, since Conquest is your Aim,",pba35-l03105,/iːm/ | /eɪm/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00087,pba35-w0210
dream,The Conj'rer thus explains his Scheme,pmp18-l31825," Thus Spirits walk, and Prophets dream:",pmp18-l31830,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
stream," Let me propose an Healing Scheme,",pmp18-l31965, And sail along the Middle Stream:,pmp18-l31970,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
esteem," Our self-importance ruins its own scheme,",o3794-l22565," For ever aiming at the world's esteem,",o3794-l22560,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
theme,"Where thro' one nobly simple scheme,",o5153-l25125,"ON Stow, the Muse's happy theme,",o5153-l25115,/iːm/ | /iːm/,full,<b>a</b>b<b>a</b>bcc,pers00119,o5153-w0410
supreme," Who form'd, in number, sign, and scheme,",psm63-l01000,Next Theta stands to the Supreme —,psm63-l00995,/iːm/ | /iːm/,full,<b>a</b><b>a</b>bccb,pers00254,psm63-w0010
seem,To contradict this all-uniting scheme:,o5152-l39845,"'Tis true, in some the seeds of discord seem",o5152-l39840,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
esteem,"But, happy in a visionary scheme,",o5156-l17625,Still sought companions worthy my esteem:,o5156-l17630,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00106,o5156-w0590
extreme, But long may England baffle every scheme,pcm93-l03950,"Let fickle France indulge each wild extreme,",pcm93-l03940,/iːm/ | /iːm/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0050
dream, They hang enraptured o'er the hideous scheme:,o4198-l01265," Their senses dosing a continual dream,",o4198-l01260,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00288,o4198-w0120
dream,And trace the flatt'ring scheme.,o5153-l24530,"Now wrapt in PLATO'S dream,",o5153-l24515,/iːm/ | /iːm/,full,aa<b>b</b>cc<b>b</b>,pers00119,o5153-w0380
dream," Ingenious Burnet, thine's a pleasing Scheme,",pmc36-l00480," A gay Delusion, if it be a Dream. ",pmc36-l00485,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00325,pmc36-w0010
dream,"Soft in his fancy drew a pleasing scheme,",o5152-l07250,And plan'd that landskip in a morning dream.,o5152-l07255,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00011,o5152-w0080
dream, A sleeping fancy's visionary scheme:,cer72-l08395,"What was his mighty crime? – a childish dream,",cer72-l08390,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
theme, And each to their own Fancy form'd the Scheme:,pmc36-l01875," And Love, and Wedlock; This our fav'rite Theme,",pmc36-l01870,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00325,pmc36-w0030
deem,"To execute th' important scheme,",bed98-l14440,Her labor lightly she shall deem;,bed98-l14445,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00340,bed98-w0360
dream,Till love inspir'd a bolder scheme.,o5153-l26500,"And sweetly sooth'd th' inchanting dream,",o5153-l26495,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00119,o5153-w0440
theme,And toil and probity their scheme:,o5156-l20160,"That virtue was their favourite theme,",o5156-l20155,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00025,o5156-w0650
stream," Serves a foundation for an airy scheme,",pcr18-l02005," The vital air, a pure and subtile stream,",pcr18-l02000,/iːm/ | /iːm/,full,<b>a</b><b>a</b>a,pers00275,pcr18-w0010
dream," Serves a foundation for an airy scheme,",pcr18-l02005," Assists the doctor, and supports his dream. ",pcr18-l02010,/iːm/ | /iːm/,full,a<b>a</b><b>a</b>,pers00275,pcr18-w0010
name,"She'll spoil the politician's scheme,",bjl92-l06470," For Sloth is the impostor's name,",bjl92-l06480,/iːm/ | /eɪm/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00338,bjl92-w0240
deem, Too lightly of so deep a scheme. ,o3552-l01890,BUT let not ev'ry Bungler deem,o3552-l01885,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00155,o3552-w0010
polypheme, To traffic in so vile a scheme!) ,o3552-l03175,"Whilst HE, our Letter'd POLYPHEME,",o3552-l03180,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00155,o3552-w0010
esteem, Exchang'd for the secure domestie scheme. ,o3795-l29765," And schools that have outlived all just esteem,",o3795-l29760,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
theme, For weary'd Nature find some apter Scheme:,pmp18-l43020, Health be thy Hope; and Pleasure be thy Theme:,pmp18-l43025,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
fame,At length her busy thought suggests a scheme,pcm93-l02045," Destructive to her peace and to her fame,",pcm93-l02050,/iːm/ | /eɪm/,half-pararhyme,<b>a</b><b>a</b>,pers00313,pcm93-w0030
theme,"Love's promis'd sweet, ambition's lofty scheme,",o5153-l21665,"The painter's image, and the poet's theme.",o5153-l21670,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00119,o5153-w0340
dream,Where heated fancy forms the flatt'ring scheme.,o5153-l22450,"Nor can this be some visionary dream,",o5153-l22445,/iːm/ | /iːm/,full,<b>a</b><b>a</b>,pers00119,o5153-w0340
frame," He sat with thee, and plann'd the mighty Scheme;",o4741-l06265, With thee adjusted the stupendous Frame;,o4741-l06270,/iːm/ | /eɪm/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0090
