r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
rule,"But should some upstart, train'd in Slavery's school,",o4986-l17820," Learn'd in the maxims of despotick rule,",o4986-l17825,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
rule," Grimly preside in Superstition's school,",o4986-l18570," And curse those kingdoms he could never rule,",o4986-l18575,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
rule,And only learn'd in custom's school;,o5153-l23520,"Great precept undefin'd by rule,",o5153-l23515,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
fool, Some other Lesson in his gloomy School. ,o5125-l05820, But Death will teach the silver-bearded Fool,o5125-l05815,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00154,o5125-w0180
rule, They would have all bred up in Venus School. ,oae86-l00930,"She that takes pious Precepts for her Rule,",oae86-l00920,/uːl/ | /uːl/,full,<b>a</b>a<b>a</b>,pers00272,oae86-w0010
fool, They would have all bred up in Venus School. ,oae86-l00930, Is thought by some a kind of ill-bred fool;,oae86-l00925,/uːl/ | /uːl/,full,a<b>a</b><b>a</b>,pers00272,oae86-w0010
dull,The letter'd Tyrant of a trembling school;,o5154-l08795,"See the pedantick Teacher, winking dull,",o5154-l08790,/uːl/ | /ʌl/,half-pararhyme,<b>a</b><b>a</b>,pers00042,o5154-w0140
rule,"There true philosophy erects her school,",o5152-l25555,"There plans her problem, and there forms her rule;",o5152-l25560,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
pole,"If, whilst a Boy, Jack run from Schole,",pmp18-l34910," Fond of his Hunting-horn, and Pole;",pmp18-l34915,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
fool," And when accomplished in her wayward school,",o3794-l23050, Calls gentleman whom she has made a fool. ,o3794-l23055,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
rule," To leave off all Writing, when Con. comes from School. ",pba35-l03870,"'Tis Time to conclude; for I make it a Rule,",pba35-l03865,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00087,pba35-w0280
soul, Learn'd many a lesson from thy moral school. ,o5089-l13170," The tuneful bard, whose philosophic soul",o5089-l13160,/uːl/ | /əʊl/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00169,o5089-w0170
rule,From hardy Virtue's emulative school,o5157-l05465,And by obeying nobly learnt to rule.,o5157-l05475,/uːl/ | /uːl/,full,a<b>b</b>a<b>b</b>,pers00038,o5157-w0073
rule,"And JOVE was hardly come from school,",o5154-l14955,"When SATURN first began to rule,",o5154-l14950,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00112,o5154-w0230
fool," The pert Son of dull Sire, discharg'd from School,",o3587-l00700,"All, from the Fiddle (on which ev'ry Fool,",o3587-l00695,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
soul, Learn'd many a lesson from thy moral school. ,o4984-l09270," The tuneful bard, whose philosophic soul,",o4984-l09260,/uːl/ | /əʊl/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00169,o4984-w0110
rule," Cyrus, long train'd in Wisdom's School,",pba35-l08155, And by Mandana form'd for Rule. ,pba35-l08160,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00087,pba35-w0580
fool, The porches of the Christian school,psm63-l01225, Thou shalt not call thy brother fool;,psm63-l01220,/uːl/ | /uːl/,full,aab<b>c</b><b>c</b>b,pers00254,psm63-w0010
fool,One that a month before was whipt at School,oau90-l00260,As much by Wine inspir'd to play the Fool:,oau90-l00255,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00350,oau90-w0010
fool,"In vain is Study, useless is the School,",oau90-l00435,Since every Art's abus'd by every Fool.,oau90-l00440,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00350,oau90-w0010
rule,"Eyes, limbs, and features, are all put to school.",pro75-l04060,"Each action has its fixt and settled rule,",pro75-l04055,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00271,pro75-w0180
rule,"BEHOLD the lordly pedant in his school,",o5156-l30885,"How stern his brow, how absolute his rule!",o5156-l30890,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00131,o5156-w0870
rule,"THE Wretch bred up in Method's drowsy school,",o4111-l00095," Whose only merit is to err by rule,",o4111-l00100,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
rule,"He, o'er mankind; all Athens was his school.",o5152-l40145,They o'er the stiff Lyceum form'd to rule;,o5152-l40140,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
rule,I learn'd my science in a painful school.,o5156-l17540,"Reluctant prov'd it, by too sure a rule,",o5156-l17535,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00106,o5156-w0590
rule,"Taught in Hippocrates' and Galen's school,",o5156-l18070,"When Mead and Freind have ransack'd ev'ry rule,",o5156-l18065,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00106,o5156-w0590
rule, And train'd in virtue's honest school! ,ojg27-l01950,"How vast his talents, born to rule,",ojg27-l01945,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0080
fool, To be chastis'd at School;,o5454-l02090, That calls his Brother Fool. ,o5454-l02100,/uːl/ | /uːl/,full,a<b>b</b>a<b>b</b>,pers00292,o5454-w0180
rule,"His court, the dissolute and hateful school",o3794-l03180," Of wantonness, where vice was taught by rule,",o3794-l03185,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
fool, Forgets the little which he learn'd at School;,o3591-l00220,"With prudent haste the worldly-minded fool,",o3591-l00215,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00155,o3591-w0010
fool,"Dissembling Wretch! hence to the Stoic school,",o3591-l01055," And there amongst thy breth'ren play the fool,",o3591-l01060,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00155,o3591-w0010
fool,"To keep from hurt, as children go to school.",o5154-l07645,"Man should be suffer'd thus to play the fool,",o5154-l07640,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00124,o5154-w0110
rule,"Rustling from the noisy school,",o5280-l01835," Heedless of the ferril's rule,",o5280-l01840,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00277,o5280-w0100
rule, To dream in her enchanted school;,o4985-l04095," Alluring from a safer rule,",o4985-l04090,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00048,o4985-w0100
rule," Not of the moral, but the dancing school,",o3794-l04860,"Rufillus, exquisitely form'd by rule,",o3794-l04855,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00269,o3794-w0020
rule,"'Tis planted first in wisdom's school,",bed98-l00710,And leads the mighty to their rule.,bed98-l00715,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00340,bed98-w0020
rule,"'Tis Liberty, 'tis nature's school,",bed98-l13050,Where virtue's unconfin'd to rule;,bed98-l13055,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00340,bed98-w0360
rule,"For Liberty and Nature's school,",bed98-l13120,Teach graces unattain'd by rule.,bed98-l13125,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00340,bed98-w0360
rule," Ungovern'd, rude, not bred in Reason's School;",ppo24-l17185,"The Passions still predominant will rule,",ppo24-l17180,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0190
fool," May when he pleases send us all to school,",o4002-l01610," If this here's suffer'd, and if that there fool",o4002-l01605,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00155,o4002-w0010
tool," And oft he put himself to Neptune's School,",o3818-l04040," Sometimes he ply'd the strong mechanic Tool,",o3818-l04030,/uːl/ | /uːl/,full,ababb<b>c</b>b<b>c</b>c,pers00020,o3818-w0010
pool," And oft he put himself to Neptune's School,",o3818-l04040, Fighting with Winds and Waves on the vext Ocean Pool. ,o3818-l04045,/uːl/ | /uːl/,full,ababbcb<b>c</b><b>c</b>,pers00020,o3818-w0010
fool,"And wilt thou at these Years begin to School,",oat77-l07065,(Dull Moralist!) the crazy doating Fool? ,oat77-l07070,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00344,oat77-w0440
rule,"The same our taste, the same our school,",o5156-l20445,Passion and appetite our rule.,o5156-l20450,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00025,o5156-w0650
pool, The playful children just let loose from school;,o5346-l02805," The noisy geese that gabbled o'er the pool,",o5346-l02800,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00174,o5346-w0020
rule, The village master taught his little school:,o5346-l03185," There, in his noisy mansion skill'd to rule,",o5346-l03180,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00174,o5346-w0020
rule, You'll make a Fortune by your School. ,pba35-l02590,Take my Advice; pursae that Rule;,pba35-l02585,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00087,pba35-w0140
rule,"DEAR Boys! — dismiss'd awhile from school,",bhw18-l18300," From sober learning's thorny rule, —",bhw18-l18305,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0430
rule," O thou! so tried in sad affliction's school,",pik94-l00475, That made the Christian Leader's life thy rule. ,pik94-l00480,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00327,pik94-w0020
fool," Late as it is, I put my self to school,",o3677-l00790," And feel some  comfort, not to be a fool. ",o3677-l00795,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00012,o3677-w0010
rule," Of nat'ral pity, send him not to school. ",o3795-l30600, Then only govern'd by the self-same rule,o3795-l30595,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
fool,"Thus the dull lad, too tall for school,",ojg27-l03835," With travel finishes the fool,",ojg27-l03840,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0150
rule," Nor all the pride of Wisdom's worldly school,",n27tc-l04220,"No! not the quaint remark, the sapient rule,",n27tc-l04215,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00316,n27tc-w0010
misrule," Should make brave, free-born men, like boys at school,",o3589-l01610," Born and bred Slaves, that They, with proud misrule,",o3589-l01605,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00155,o3589-w0010
fool, Another CHARLES succeeded; in the school,o3589-l02875," Of travel he had learn'd to play the fool,",o3589-l02880,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00155,o3589-w0010
fool," Resists the stormy lectures of the school,",o5398-l02100,"E'en thus the living clod, the stubborn fool,",o5398-l02095,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00278,o5398-w0010
corner-stool," The converse sharing, though in duty's school;",o5398-l06130," Who sits joint tenant of the corner-stool,",o5398-l06125,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00278,o5398-w0010
rule,"For this, hands, lips, and eyes are put to school,",o5153-l05020,And each instructive feature has its rule;,o5153-l05025,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00030,o5153-w0090
fool," Yet some think the Boy would be better at School,",o3364-l05805, But I hear Mrs DANGLECUB's not such a Fool,o3364-l05810,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
rule, This day we study in the Muse's school. ,o4986-l32505,"To steer thro' both by some unerring rule,",o4986-l32500,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00239,o4986-w0840
rule,Improve in virtues school.,pro75-l04520,"Make truth your constant rule,",pro75-l04505,/uːl/ | /uːl/,full,aa<b>b</b>cc<b>b</b>,pers00271,pro75-w0200
fool," Yet, as wise as we are, if we went to their School,",o5454-l03830," There's many a Sluggard, and many a Fool,",o5454-l03835,/uːl/ | /uːl/,full,aab<b>c</b><b>c</b>b,pers00292,o5454-w0380
fool," Wakes the loud horrors of the wrangling school,",o4985-l09190," Where Priscian bawls, and fool re-echoes fool. ",o4985-l09195,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00192,o4985-w0140
fool,"SABINA, fam'd in Wisdom's School,",pba35-l16505, Allows I write — but am a Fool:,pba35-l16510,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00087,pba35-w1320
rule,Remorseless was her rigid school.,bed98-l02680,"By terrors only skill'd to rule,",bed98-l02675,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00340,bed98-w0050
rule,"Then JOHNSON came, instructed from the school,",o5152-l24570,"To please in method, and invent by rule;",o5152-l24575,/uːl/ | /uːl/,full,<b>a</b><b>a</b>,pers00029,o5152-w0280
