r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
teemed, Almost a vision of his brain she seem'd,cac95-l06815, (Whose warmth indulg'd with thousand phantoms teem'd);,cac95-l06820,/iːmd/ | /iːmd/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
beamed,More sweet than health's fresh bloom the wan hue seemed,pmt18-l13985," Her placid eye, with dove-like softness beamed;",pmt18-l13995,/iːmd/ | /iːmd/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0024
deemed, If I a little partial seem'd,o5089-l20250,"But let it not be faulty deem'd,",o5089-l20240,/iːmd/ | /iːmd/,full,<b>a</b>b<b>a</b>b,pers00160,o5089-w0410
deemed,And judg'd of what men were by what they seem'd;,o5156-l17640,"The tongue, the heart's interpreter I deem'd,",o5156-l17635,/iːmd/ | /iːmd/,full,<b>a</b><b>a</b>,pers00106,o5156-w0590
esteemed,"""Ah how unlike the godlike man he seem'd",o5155-l16405,"""By the vile rabblement a saint esteem'd?",o5155-l16415,/iːmd/ | /iːmd/,full,<b>a</b>b<b>a</b>bbcbcc,pers00033,o5155-w0200
streamed,"The other like her sister seem'd,",prc90-l02870," From her mild eyes no raptures stream'd,",prc90-l02880,/iːmd/ | /iːmd/,full,<b>a</b>b<b>a</b>b,pers00328,prc90-w0160
deemed,"By motion, look and mien, he seemed",bjb18-l14430," Well struck with years, you might have deemed,",bjb18-l14440,/iːmd/ | /iːmd/,full,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0270
esteemed,"When to my Swain reserv'd I seem'd,",oat77-l02820,"I Lov'd him, Kist him Less esteem'd! ",oat77-l02825,/iːmd/ | /iːmd/,full,<b>a</b><b>a</b>,pers00344,oat77-w0160
gleamed," The rising moon a bloody meteor seem'd,",cac95-l02710," And, scarce observ'd, the muffled planets gleam'd;",cac95-l02715,/iːmd/ | /iːmd/,full,<b>a</b><b>a</b>,pers00301,cac95-w0070
esteemed," Flat and insipid all their Courtship seem'd,",ppo24-l05915," Little themselves, their Passions less esteem'd. ",ppo24-l05920,/iːmd/ | /iːmd/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0050
esteemed," His Residence, an artful Garden seem'd,",o4784-l02060," Adorn'd with all, that pleasant he esteem'd;",o4784-l02065,/iːmd/ | /iːmd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0040
