r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
released," The chilling frost his tender form had seiz'd,",bjl92-l04410," But Phoebus' beams the captive swain releas'd,",bjl92-l04415,/iːzd/ | /iːst/,half-vowelrhyme,<b>a</b><b>a</b>,pers00338,bjl92-w0150
pleased,"His Eyes a silky Slumber seiz'd,",o5354-l00395,"Or would have done, if Pug had pleas'd:",o5354-l00400,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00339,o5354-w0010
pleased,"Till by the soft oppression seiz'd,",o5154-l27865,"The list'ning multitude was pleas'd,",o5154-l27855,/iːzd/ | /iːzd/,full,aa<b>b</b>c<b>b</b>cdd,pers00124,o5154-w0460
teased," Each as he came th' infection seiz'd,",o4257-l00785, And by his friend behind was teaz'd,o4257-l00790,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00304,o4257-w0010
pleased, Straight with Convulsive Transports he was seiz'd,o4885-l03350," At the Surprize, alarm'd, disturb'd, and pleas'd. ",o4885-l03355,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00300,o4885-w0010
pleased,"I saw the tempting food, and seized —",pcr18-l25185," And, in the pilfer'd treasure pleased,",pcr18-l25195,/iːzd/ | /iːzd/,full,<b>a</b>b<b>a</b>b,pers00275,pcr18-w0080
pleased, For they're most Patient who the most are seiz'd. ,o4784-l11625,Ev'n with this Gust of Passion I am pleas'd;,o4784-l11620,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00268,o4784-w0340
pleased, And swift the envied station seiz'd;,pik94-l06860," At length the Kite the Eagle pleas'd,",pik94-l06855,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00327,pik94-w0290
unappeased," Once more the furies on her heart have seized,",pmt18-l01695," Of Venus unrelenting, unappeased:",pmt18-l01685,/iːzd/ | /iːzd/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0020
eased," Once more the furies on her heart have seized,",pmt18-l01695, But still she views the youth who all her sufferings eased. ,pmt18-l01700,/iːzd/ | /iːzd/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0020
teased," Nor spleen, nor passion, on me seiz'd:",o4899-l05095," By cares nor crosses was I teaz'd,",o4899-l05090,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
pleased,Her fav'rite Son the Volume seiz'd;,pba35-l00895," And, as he read, seem'd highly pleas'd;",pba35-l00900,/iːzd/ | /iːzd/,full,<b>a</b><b>a</b>,pers00087,pba35-w0050
