r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
exclaim,"Expose (nor blush) thy triumph and my shame,",o5155-l07975,"Cou'd I, at woman who so oft exclaim,",o5155-l07970,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00102,o5155-w0080
fame,And boldly prints and publishes her shame.,o5155-l36545,"Each harlot triumphs in her loss of fame,",o5155-l36540,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00142,o5155-w0870
frame, And do his errand of disgrace and shame,o3794-l11655, On the chief strength and glory of the frame. ,o3794-l11660,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
name, Shall I adjure thee not to court thy shame? ,o3794-l13260,How shall a verse impress thee? by what name,o3794-l13255,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
name, My CALEDON — oh hide me from my shame! ,pyl90-l00665,"Still must I kiss his dear unhappy name."" ",pyl90-l00670,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00322,pyl90-w0040
same," My nights are horror, and my days all shame. ",pyl90-l00830," To me all light or darkness is the same,",pyl90-l00825,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00322,pyl90-w0040
frame," He felt the other's baseness, while deep shame",cac95-l07605," Paints his own crimes, and glows througout his frame. ",cac95-l07610,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
blame,And break the Mirror that reflects their Shame.,o3309-l00050,"While Ignorance and Malice join to blame,",o3309-l00045,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00339,o3309-w0010
fame,The deeds of Athens and the Persian shame:,o5157-l01995,"But thou, O faithful to thy fame,",o5157-l02005,/eɪm/ | /eɪm/,full,ababcdcdeeffg<b>h</b>g<b>h</b>ikki,pers00047,o5157-w0020
came, And poor Miss Yaya dreads the Shame,pmp18-l35820, Of going back the Maid She came. ,pmp18-l35825,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
name, Acquainted with the woes that fear or shame,o3794-l23200," By fashion taught, forbade them once to name,",o3794-l23205,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
name,"Well spoken, Advocate of sin and shame,",o3794-l23660," Known by thy bleating, Ignorance thy name. ",o3794-l23665,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
name," Form, in its stead, a covenant of shame,",o3794-l24145,"Bad men, profaning friendship's hallow'd name,",o3794-l24140,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
same, Thy beauty justify'd the hero's shame. ,o4985-l09955,"Whene'er we view'd the Roman's sullied same,",o4985-l09950,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
name," No Cross I shun, I fear no Shame:",o3900-l23695,"For this let Men revile my Name,",o3900-l23690,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>bb,pers00310,o3900-w1260
flame, And bid defiance to all sense of shame:,o4600-l01240,"From her his features caught the gen'rous flame,",o4600-l01235,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
tame,Inhuman tyrant! was it not a shame,o4600-l03485, To fright a king so harmless and so tame? ,o4600-l03490,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
name, Is destin'd to redeem our race from shame. ,o4110-l02650," That Son, whose nature royal as his name,",o4110-l02645,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
flame,"To quench the blushes of ingenuous shame,",o5155-l00350,With incense kindled at the Muse's flame.,o5155-l00360,/eɪm/ | /eɪm/,full,a<b>b</b>a<b>b</b>,pers00039,o5155-w0010
name, By mercy screen'd from infamy and shame. ,o5280-l06610,"By Pity's tears embalm'd, still lives her name,",o5280-l06605,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00277,o5280-w0390
hame," And I fa' a greeting, though much I think shame;",bsb18-l26295,"Then the neighbours come in and they welcome him hame,",bsb18-l26290,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>bbccdd,pers00280,bsb18-w0520
fame," Delighted, spreads the tale of shame:",o4987-l29675," And, conscious of unclouded fame,",o4987-l29670,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00189,o4987-w0820
fame," Delighted, spreads the tale of shame:",o5089-l21935," And, conscious of unclouded fame,",o5089-l21930,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00189,o5089-w0450
name,"O never in these Veils of Shame,",o3900-l21270,Cloath with Salvation thro' thy Name,o3900-l21280,/eɪm/ | /eɪm/,full,<b>a</b>b<b>a</b>bcc,pers00310,o3900-w1120
same,"His conquest he forgets, and they their shame.",o5156-l22595,"Sleep's friendly office is to all the same,",o5156-l22590,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
fame,"Arm'd for that fight, which he declines with shame,",o5156-l22635,"Too fond of life, too negligent of fame;",o5156-l22640,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
flame,"A blaze that lights us to our shame,",o5154-l32570,And what is all this transient flame?,o5154-l32560,/eɪm/ | /eɪm/,full,<b>a</b>b<b>a</b>bcc,pers00108,o5154-w0600
name," Borrow'd from lawless Loves, and Pathick Shame. ",pdi22-l01030,"And He, unhappy in his hated Name",pdi22-l01025,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
claim,"The vanquisht Wretch must hide in pensive Shame,",pdi22-l04205," Forego his Pleasure, and renounce his Claim. ",pdi22-l04210,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
name,"But if you force me to avow my shame,",o5155-l08525,Behold it prefac'd with Monimia's name.,o5155-l08530,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00106,o5155-w0100
flame,Condemn'd this after-witness of my shame;,o5155-l08680,"Oft have I writ, and often to the flame",o5155-l08675,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00106,o5155-w0100
name,"Who indigent of honour, or of shame,",o5155-l08945,Glory in crimes which others blush to name;,o5155-l08950,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00106,o5155-w0100
flame," But soon their spirits, stung with gen'rous shame,",bhw18-l03325," Renounce each terror, and for vengeance flame;",bhw18-l03330,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
fame,But heavier far the weight of shame,o5154-l02070,That sunk Britannia's naval fame:,o5154-l02075,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>bbcddc,pers00031,o5154-w0060
name,"First, unrestrained by honour, faith; or shame,",o5154-l02120,"Confounding every sacred name,",o5154-l02125,/eɪm/ | /eɪm/,full,aa<b>b</b><b>b</b>cddc,pers00031,o5154-w0060
name,"He purchases disease, and servitude, and shame.",o5154-l02305,"Regardless of his faith, his country, or his name,",o5154-l02290,/eɪm/ | /eɪm/,full,aabccb<b>d</b>ee<b>d</b>,pers00031,o5154-w0060
flame,"GOLD can avert the sting of Shame,",o5156-l32750,In Winter's arms create a flame;,o5156-l32755,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00108,o5156-w0890
frame," Whose murder marks the fool with treble shame,",pye85-l06160,"The beauteous red-breast, tender in her frame,",pye85-l06155,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00256,pye85-w0170
fame," Was never theirs; instead, the fear of shame",pye85-l06345," Proves a strong bulwark, and secures their fame;",pye85-l06350,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00256,pye85-w0170
name,"Pride of thy country, Wilmot, and her shame! ",o4985-l18680,"Thy early fall how pitied! and thy name,",o4985-l18690,/eɪm/ | /eɪm/,full,<b>a</b>b<b>a</b>b,pers00217,o4985-w0280
dame," Are quick to censure, but are dead to shame! ",pcr18-l11065," Alas! what numbers, like this amorous dame,",pcr18-l11060,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
dame,"In spite of prudence, uncontroll'd by shame,",pcr18-l14720," The amorous senior woos the toothless dame,",pcr18-l14725,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
claim,"All, all, but she, the author of his shame,",o5152-l30905,"Yet hence the youth, and hence the flow'r, shall claim,",o5152-l30915,/eɪm/ | /eɪm/,full,ababb<b>c</b>b<b>c</b>c,pers00035,o5152-w0320
fame,"All, all, but she, the author of his shame,",o5152-l30905,"If so I deem aright, transcending worth and fame.",o5152-l30920,/eɪm/ | /eɪm/,full,ababb<b>c</b>bc<b>c</b>,pers00035,o5152-w0320
blame," Plot the dark scandal, or disperse the shame:",pjo50-l09790," Or worse, indulge the very crime you blame,",pjo50-l09785,/eɪm/ | /eɪm/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0390
name, Thy passion masks its inward shame;,o3776-l02540, In vain with friendship's flatt'ring name,o3776-l02535,/eɪm/ | /eɪm/,full,abab<b>c</b><b>c</b>c,pers00047,o3776-w0070
flame, Thy passion masks its inward shame;,o3776-l02540," Friendship, the treach'rous fuel of thy flame! ",o3776-l02545,/eɪm/ | /eɪm/,full,ababc<b>c</b><b>c</b>,pers00047,o3776-w0070
same, Rack'd with the poignant pangs of fear or shame:,o4984-l30120," And he, whom envy robs of hard-earn'd same:",o4984-l30130,/eɪm/ | /eɪm/,full,a<b>b</b>a<b>b</b>,pers00250,o4984-w0520
