r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
cares, And thus Heaven's high prerogative he shares. ,o4986-l17785," The ease of millions rests upon his cares,",o4986-l17780,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
cares," When thy dear, tender bosom shares",o4987-l10050, Thy faithful Delia's joys and cares;,o4987-l10055,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00209,o4987-w0300
tears,"Man's stubborn heart grief deeply shares,",bed98-l16900,"If nature gave to woman tears,",bed98-l16910,/eəz/ | /ɪəz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00340,bed98-w0470
cares,From social sympathy that shares,o5153-l23565,The publick loss or private cares;,o5153-l23570,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
glares," ""How mild the heifer with thee shares",o4986-l02620,""" How fierce the lurking tyger glares,",o4986-l02615,/eəz/ | /eəz/,full,aab<b>c</b><b>c</b>b,pers00237,o4986-w0030
cares,"And each the power, that rules him, shares;",o5157-l02295,"Where all are conscious of her cares,",o5157-l02290,/eəz/ | /eəz/,full,aa<b>b</b><b>b</b>ccdeed,pers00047,o5157-w0020
cares, But Her who in my Sorrow shares? ,pmp18-l09470,"To Whom in Song repeat my Cares,",pmp18-l09465,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0350
fears, My woe-struck soul in all your troubles shares;,pye85-l06575,"Ye bleating innocents! dispel your fears,",pye85-l06570,/eəz/ | /ɪəz/,half-pararhyme,<b>a</b><b>a</b>,pers00256,pye85-w0170
years,Swift fly th' inspiring moments friendship shares;,bed98-l06490,"Long as delightless, linger joyless years,",bed98-l06485,/eəz/ | /ɪəz/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0150
wears," That age which higher honor shares,",bmb97-l03220, And well becomes the wreath it wears. ,bmb97-l03225,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00315,bmb97-w0060
cares,"Who moves within the Middle Region, shares",ppo24-l08240," The least Disquiets, and the smallest Cares. ",ppo24-l08245,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0090
prepares," Her husband now the banquet shares,",bmb97-l07115,"His rural lass with glee prepares,",bmb97-l07105,/eəz/ | /eəz/,full,<b>a</b>b<b>a</b>b,pers00315,bmb97-w0170
prayer," The gift all nature shares,",pma99-l04935,Ah! why not hear my pray'r? ,pma99-l04945,/eəz/ | /eɪə/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00306,pma99-w0210
endears,"Who shares Orgilio's crimes, his fortune shares:",o5152-l23245,For what but social guilt the friend endears?,o5152-l23225,/eəz/ | /ɪəz/,half-pararhyme,<b>a</b><b>a</b>,pers00029,o5152-w0270
wars," (The Danube's great Increase) Britannia shares,",o3499-l01025," The Food of Armies, and Support of Wars:",o3499-l01030,/eəz/ | /ɔːz/,half-pararhyme,<b>a</b><b>a</b>,pers00150,o3499-w0010
bears, And the just prince aetherial honours shares. ,o5089-l30670," The part divine to heav'n the goddess bears,",o5089-l30665,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00033,o5089-w0650
state-affairs,"The World by them is parcel'd out in Shares,",o3818-l03150, (Old Inmates of the Place) but State-Affairs:,o3818-l03135,/eəz/ | /eəz/,full,a<b>b</b>ab<b>b</b>cbcc,pers00020,o3818-w0010
cares,"The World by them is parcel'd out in Shares,",o3818-l03150, And on their Brow sat every Nation's Cares. ,o3818-l03145,/eəz/ | /eəz/,full,aba<b>b</b><b>b</b>cbcc,pers00020,o3818-w0010
bears,"The World by them is parcel'd out in Shares,",o3818-l03150, And the sage Berry sun-burnt Mocha bears,o3818-l03160,/eəz/ | /eəz/,full,abab<b>b</b>c<b>b</b>cc,pers00020,o3818-w0010
prepares," Without their failings all their Virtue shares,",o4299-l04985, And Britains bright Imperial Joy prepares.,o4299-l04990,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00346,o4299-w0010
cares," ""The mind breaks forth, and nobler functions shares;",cac95-l03285,""" No more the appetites absorb our cares,",cac95-l03280,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00301,cac95-w0070
cares,Fate has divided all our shares,o4672-l07925, In Love the Comforts and the Cares,o4672-l07935,/eəz/ | /eəz/,full,<b>a</b>b<b>a</b>b,pers00292,o4672-w0410
cares, That from the Womb We take our fatal Shares,pmp18-l39215," Of Follies, Passions, Labors, Tumults, Cares;",pmp18-l39220,/eəz/ | /eəz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
affairs,"And who has greater Sense, but greater Sorrow shares? ",o4784-l09330,"And, in the Course of Life's Affairs,",o4784-l09315,/eəz/ | /eəz/,full,a<b>b</b>ab<b>b</b>,pers00268,o4784-w0220
cares,"And who has greater Sense, but greater Sorrow shares? ",o4784-l09330, Tho' it too often multiplies his Cares? ,o4784-l09325,/eəz/ | /eəz/,full,aba<b>b</b><b>b</b>,pers00268,o4784-w0220
