r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
head,""" And but for me, one tear be shed. ",o4091-l24850,""" Let peace, and glory, crown her head. ",o4091-l24840,/ed/ | /ed/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
head,"On all alike their influence freely shed,",o5156-l09695,As the bright orb that gilds thy mountain's head.,o5156-l09700,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00120,o5156-w0380
bed,"Of painted meads, of flowers that shed",o5153-l23175,Their odours round her fragrant bed.,o5153-l23180,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
spread," Whose glorious beams through tracts immense were shed,",cac95-l06675, And not one cloud o'er heaven's vast arch was spread:,cac95-l06680,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
dead," Full many a willing tear they 'll pensive shed,",o5280-l02625, And pay that mournful tribute to the dead. ,o5280-l02630,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00277,o5280-w0150
bed, And fruitless sorrow shed. ,o5089-l11400, Hung o'er his dying bed;,o5089-l11390,/ed/ | /ed/,full,x<b>a</b>x<b>a</b>,pers00180,o5089-w0140
dead," And unavailing Tears profusely shed,",sap09-l02855,"Then Colin loud lamented o'er the Dead,",sap09-l02850,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00302,sap09-w0050
head,As yet his Winters had not shed,o4106-l09765, Their silver Honours on his Head;,o4106-l09770,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00294,o4106-w0150
head," Each sun, that rises, rises but to shed",yfs88-l00375, Fresh streams of sorrow on his hapless head;,yfs88-l00380,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
head, She wakes the tear 'tis luxury to shed. ,bhw18-l15715," For then, while languid Nature droops her head,",bhw18-l15710,/ed/ | /ed/,full,ababcdcdefef<b>g</b><b>g</b>,pers00276,bhw18-w0190
fled," Gay bloom, whose transient glow can shed",bhw18-l17040, A charm like Summer when 'tis fled! —,bhw18-l17045,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0360
spread," Come fearless to my friendly shed,",bhw18-l17320," This careful hand the crumbs shall spread,",bhw18-l17325,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0360
head, Fresh Flow'rs their mingl'd Odors shed. ,pmp18-l35435, And round their lovely Breast and Head,pmp18-l35430,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
dead,'Tis not thy lays can teach us tears to shed;,o4985-l10830, What eye refrains! — for Woffington is dead! ,o4985-l10835,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
unmeasured,O'er me Affection loves to shed,pmt18-l20885," Her comforts full, unmeasured;",pmt18-l20890,/ed/ | /eʒəd/,half-pararhyme,<b>a</b><b>a</b>,pers00320,pmt18-w0340
arrayed, O'er the pale clime her direful influ'nce shed. ,pjo50-l03165,"Where death, in all her horrid pomp array'd,",pjo50-l03160,/ed/ | /eɪd/,half-pararhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0040
bed,"The swallow twittering from the straw-built shed,",o5155-l00090,No more shall rouse them from their lowly bed.,o5155-l00100,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>,pers00039,o5155-w0010
head,The gracious dew of heavenly peace to shed;,o5157-l27275,"Their offspring's steps, and hov'ring o'er her head,",o5157-l27270,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00070,o5157-w0410
spread,"When soothing Sleep her opiate dews had shed,",o5156-l27055,"WHEN black-brow'd Night her dusky mantle spread,",o5156-l27045,/ed/ | /ed/,full,<b>a</b>b<b>a</b>bcdcdee,pers00050,o5156-w0780
head," Blind to that form, the snow of age shall shed;",o4987-l21525,"O happy nymph, tho' winter o'er thy head,",o4987-l21520,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
head,"Then should the Muse her choicest influence shed,",o5154-l27805,And with eternal wreaths entwine my lofty head.,o5154-l27810,/ed/ | /ed/,full,abab<b>c</b><b>c</b>,pers00052,o5154-w0450
led," A show'r of roses round thee shed,",o4739-l01760," 'Tis thine, by blushing Summer led,",o4739-l01755,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00285,o4739-w0100
fled, While night a deeper horror shed,bhw18-l09775,"Though long the closing day was fled,",bhw18-l09765,/ed/ | /ed/,full,<b>a</b>b<b>a</b>b,pers00276,bhw18-w0080
said,"And with the drops despair will shed,",bhw18-l09995," ""I'll go,"" the hapless EDWIN said,",bhw18-l09985,/ed/ | /ed/,full,<b>a</b>b<b>a</b>b,pers00276,bhw18-w0080
dread,Such Plenteous Moysture shed;,oat77-l00170,Shame on thy Beard! That thou canst Bug-bears dread!,oat77-l00145,/ed/ | /ed/,full,<b>a</b>bbaa<b>a</b>acdcdbbd,pers00344,oat77-w0020
dead,Such Plenteous Moysture shed;,oat77-l00170,Thy self 'ith' Better Half already Dead! ,oat77-l00160,/ed/ | /ed/,full,abb<b>a</b>a<b>a</b>acdcdbbd,pers00344,oat77-w0020
head,Such Plenteous Moysture shed;,oat77-l00170,'Tis strange to see that Frozen Head,oat77-l00165,/ed/ | /ed/,full,abba<b>a</b><b>a</b>acdcdbbd,pers00344,oat77-w0020
fed,Such Plenteous Moysture shed;,oat77-l00170,Whence can this Stream be fed?,oat77-l00175,/ed/ | /ed/,full,abbaa<b>a</b><b>a</b>cdcdbbd,pers00344,oat77-w0020
fed,"The tear forgot as soon as shed,",tgaen-l03765,"Gay hope is theirs by fancy fed,",tgaen-l03755,/ed/ | /ed/,full,<b>a</b>b<b>a</b>bccdeed,pers00039,tgaen-wodec
head,Who for sev'n whole years hast shed,o5155-l30310,Thy balmy blessings o'er my head;,o5155-l30315,/ed/ | /ed/,full,aa<b>b</b><b>b</b>ccdd,pers00055,o5155-w0590
spread, With pious zeal the clear libation shed. ,bhw18-l01490," With careful hand the guiltless off'ring spread,",bhw18-l01485,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
dead," Fly, minister of good! nor ling'ring shed",bhw18-l03215, Those fruitless sorrows o'er th' unconscious dead;,bhw18-l03220,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
spread," Where summer's flowers humected odours shed,",bhw18-l03865," And wildly bloom, a waste by beauty spread. ",bhw18-l03870,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
fled, That o'er the morn of life enchantment shed;,bhw18-l04170,From him the dear illusions long had fled,bhw18-l04165,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
spread,"That woe, for which in vain would comfort shed",bhw18-l04325," Her healing balm, or time in pity spread",bhw18-l04330,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
head," Where some soft heart, some gentle hand will shed",bhw18-l04635, The drops of comfort on his hoary head. ,bhw18-l04640,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
head," Its odours soft the simple violet shed,",bhw18-l06295, The shrinking lily hung its drooping head;,bhw18-l06300,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
bled,"Tho' Tears, before, I for lost Clytus shed,",o4784-l08535," And wept more Drops, than the old Hero bled;",o4784-l08540,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00268,o4784-w0170
bed, And fruitless sorrow shed. ,o4984-l12130, Hung o'er his dying bed;,o4984-l12120,/ed/ | /ed/,full,x<b>a</b>x<b>a</b>,pers00180,o4984-w0180
bed,"Yet, ere my latest sand is shed,",bed98-l06835,"May filial duty, from this bed,",bed98-l06845,/ed/ | /ed/,full,<b>a</b>b<b>a</b>b,pers00340,bed98-w0160
head," Their rival radiance brighter shed,",o4987-l03080, Upon the youthful Victor's head. ,o4987-l03090,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>,pers00057,o4987-w0070
head," Shall pause a while, a sadder beam to shed,",o4739-l03010, Sprinkle light dews upon his hallow'd head. ,o4739-l03020,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>,pers00285,o4739-w0130
head, When lo! this hospitable shed,o4987-l29410,"Fast fell the rains upon my head,",o4987-l29400,/ed/ | /ed/,full,<b>a</b>b<b>a</b>b,pers00189,o4987-w0810
mead," The grove and the sequester'd shed,",o3794-l30275," That murmurs through the dewy mead,",o3794-l30270,/ed/ | /iːd/,half-pararhyme,aab<b>c</b><b>c</b>b,pers00269,o3794-w0150
dead,""" And cease these weak, desponding tears to shed;",bmb97-l00800,""" Which serve but to disturb the peaceful dead. ",bmb97-l00810,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>,pers00315,bmb97-w0010
bed, Nor mingled parting tears with those she shed. ,o4985-l18155," The monarch sated left the flowery bed,",o4985-l18145,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>,pers00217,o4985-w0280
dread," And widow-tears, in bitter anguish, shed;",pcr18-l16805," A wife's distress, a mother's pangs, may dread,",pcr18-l16800,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
dread, When thunders roar and forky fires are shed;,pcr18-l17140," Unlike to that which strikes the soul with dread,",pcr18-l17135,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
dead,""" What groans we utter'd and what tears we shed;",pcr18-l17290," ""How much we all deplored the noble dead,",pcr18-l17285,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
dead, When grief grew loud and bitter tears were shed,pcr18-l18745,"Slowly they bore, with solemn step, the dead;",pcr18-l18740,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
red," You robb'd the bashful rose, and shed",o4986-l23160," Its soft, refin'd, delicious red",o4986-l23165,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00083,o4986-w0510
fled, The healing Balm which for his Wounds was shed:,o4784-l06365,"The King this mark'd, and conscious wou'd have fled,",o4784-l06360,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00268,o4784-w0140
head,"But grant for once, th' officious Muse has shed",o5153-l27745,"Her gentlest influence on his infant head,",o5153-l27750,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00038,o5153-w0480
dead," Deep is the grief, sincere the tears we shed,",pma99-l03990," Garrick, alas! lies number'd with the dead. ",pma99-l03995,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00306,pma99-w0180
head, How guiltless blood for guilty man was shed;,cbu86-l10480, Had not on Earth whereon to lay His head:,cbu86-l10490,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>bcbcc,pers00307,cbu86-w0130
sped, How guiltless blood for guilty man was shed;,cbu86-l10480, How His first followers and servants sped;,cbu86-l10495,/ed/ | /ed/,full,a<b>b</b>ab<b>b</b>cbcc,pers00307,cbu86-w0130
banished, How guiltless blood for guilty man was shed;,cbu86-l10480," How he, who lone in Patmos banished,",cbu86-l10505,/ed/ | /ænɪʃt/,half-pararhyme,a<b>b</b>abbc<b>b</b>cc,pers00307,cbu86-w0130
spread," Such as expiring tapers transient shed,",pmt18-l09580," The unkindled hearth supplied, no table spread",pmt18-l09590,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0023
spread," While sleep its pleasing influence shed,",bmb97-l01800,BEFORE the fair Aurora spread,bmb97-l01790,/ed/ | /ed/,full,<b>a</b>b<b>a</b>b,pers00315,bmb97-w0050
bled," ""Alas! a peasant's humble shed,",bmb97-l02350," ""Who, while our hearts in anguish bled,",bmb97-l02360,/ed/ | /ed/,full,<b>a</b>b<b>a</b>b,pers00315,bmb97-w0050
head,There first the wren thy myrtles shed,o4985-l01835," On gentlest Otway's infant head,",o4985-l01840,/ed/ | /ed/,full,<b>a</b><b>a</b>bccb,pers00048,o4985-w0030
head,'Tis like the Oyl on Aaron shed,o4672-l03940, Down softly from his Reverend Head,o4672-l03950,/ed/ | /ed/,full,<b>a</b>b<b>a</b>b,pers00292,o4672-w0210
bled,Too much of British blood been shed,o5155-l33265,Too many gallant youths have bled;,o5155-l33260,/ed/ | /ed/,full,<b>a</b><b>a</b>bccb,pers00002,o5155-w0710
head," Resists the slumbers health would shed,",pmt18-l19655, And gently prop the aching head:,pmt18-l19665,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>,pers00320,pmt18-w0280
head, Shall o'er that couch her roses shed,pmt18-l19815, To twine around this throbbing head. ,pmt18-l19825,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>,pers00320,pmt18-w0280
head, Its opiate juices shed. ,bsb18-l16530," To calm this aching head,",bsb18-l16520,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>,pers00280,bsb18-w0220
head,Eternal Winter should his Horror shed?,o3778-l00305,"What is't to me, tho' on thy naked Head",o3778-l00300,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00339,o3778-w0010
made,What Show'rs of unavailing Tears ye shed;,o3778-l00435,"Well I remember what sad Signs ye made,",o3778-l00430,/ed/ | /eɪd/,half-pararhyme,<b>a</b><b>a</b>,pers00339,o3778-w0010
head,"Thick as the pearly Drops the Fair had shed,",o3778-l00810,The blowing Buds advanc'd their Purple Head;,o3778-l00815,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00339,o3778-w0010
head, And late old age with hand indulgent shed,o3555-l07660, Its mildest winter on thy favour'd head. ,o3555-l07665,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00149,o3555-w0250
fed," Born where a Cabin lifts its airy Shed,",o4106-l04940," With Figs, with Nuts, with vary'd Dainties fed. ",o4106-l04945,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
dead," Or on the withering limbs fresh beauty shed,",o4987-l08905," Or Chear the dark, dark mansions of the Dead? ",o4987-l08915,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>,pers00207,o4987-w0260
bed,Auspicious Match! — may Heav'n indulgent shed,pjo50-l09285, Its choicest blessings round the genial bed! ,pjo50-l09290,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0340
dread, And his assuasive balm benignly shed:,pmt18-l14315," The storms of fortune chill thy soul with dread,",pmt18-l14305,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0025
dread,"The tears capricious beauty loves to shed,",pmt18-l14480," May wake the impassioned lovers tender dread,",pmt18-l14490,/ed/ | /ed/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0025
fled," The bitter tears of absence thou must shed,",pmt18-l16665," When the long hours of sad regret are fled,",pmt18-l16675,/ed/ | /ed/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0025
compensated," The bitter tears of absence thou must shed,",pmt18-l16665, And in one dear embrace thy pains compensated! ,pmt18-l16680,/ed/ | /ɒmpənseɪtɪd/,half-pararhyme,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0025
fled," For those delicious tears she loves to shed,",bhw18-l15940," Feelings which ever seem too swiftly fled,",bhw18-l15935,/ed/ | /ed/,full,a<b>b</b><b>b</b>acddcefefgg,pers00276,bhw18-w0230
said, This day had blessings on me shed. ,bao18-l02140,"In fluttering, feeble words she said:",bao18-l02130,/ed/ | /ed/,full,x<b>a</b>x<b>a</b>,pers00279,bao18-w0020
led,"And now a softer light they seemed to shed,",pmt18-l06785," Her languid steps by winged boys are led,",pmt18-l06795,/ed/ | /ed/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0022
bed,"Waked by the tears which April shed,",bed98-l04905,"Gay Flora leaves her sleeping bed,",bed98-l04910,/ed/ | /ed/,full,abab<b>c</b><b>c</b>deed,pers00340,bed98-w0120
head,"Than I, when health her roses shed,",bed98-l05005,"Upon Amanda's drooping head,",bed98-l05010,/ed/ | /ed/,full,abab<b>c</b><b>c</b>deed,pers00340,bed98-w0120
bred, They'll leave you but few virtuous Tears to shed. ,ppo24-l10370," Perhaps you'll find them so genteely bred,",ppo24-l10365,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0120
fled," Thus drooping, should no cheering lustre shed;",o5137-l00090,Whilst I record the woes for which it fled. ,o5137-l00100,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>,pers00284,o5137-w0010
bed," The milky Cocoa richer juices shed,",bhw18-l16365,"THE Strawberry blooms upon its lowly bed,",bhw18-l16350,/ed/ | /ed/,full,<b>a</b>bb<b>a</b>abbacdcdcd,pers00276,bhw18-w0290
spread," The milky Cocoa richer juices shed,",bhw18-l16365, The white Guava lovelier blossoms spread —,bhw18-l16370,/ed/ | /ed/,full,abb<b>a</b><b>a</b>bbacdcdcd,pers00276,bhw18-w0290
fled," The milky Cocoa richer juices shed,",bhw18-l16365, Short calendar of joys for ever fled! ,bhw18-l16385,/ed/ | /ed/,full,abb<b>a</b>abb<b>a</b>cdcdcd,pers00276,bhw18-w0290
bed,"INMATE of smoaking cots, whose rustic shed,",o5157-l30030,"Within its humble bed,",o5157-l30035,/ed/ | /ed/,full,<b>a</b><b>a</b>bbccdeeeffgdg,pers00057,o5157-w0540
spread," There, gales which tender languors shed",bao18-l04165," ""There, spicy groves thick foliage spread",bao18-l04155,/ed/ | /ed/,full,<b>a</b>b<b>a</b>b,pers00279,bao18-w0130
head," Fill Thee with Heav'n, and ever shed",o3900-l24110, His choicest Blessings on thy Head. ,o3900-l24115,/ed/ | /ed/,full,abab<b>c</b><b>c</b>,pers00309,o3900-w1280
head," And rays of light from heaven are shed,",bjb18-l31145,"But hark, a voice! he turns his head;",bjb18-l31135,/ed/ | /ed/,full,<b>a</b>b<b>a</b>bcdcd,pers00287,bjb18-w0860
head," Such kindness through your heart is shed,",o4091-l26745,"When first the Storm burst o'er my head,",o4091-l26735,/ed/ | /ed/,full,<b>a</b>b<b>a</b>bccdd,pers00305,o4091-w0050
dead,"These merit all the Tears that you have shed,",clc03-l13405,"And could Complaints recall them from the Dead,",clc03-l13410,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00349,clc03-w0260
bed," On her meek worth God's grace is shed,",bjb18-l28235,"She tends the helpless stranger's bed,",bjb18-l28225,/ed/ | /ed/,full,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0650
fled," That palm was witness to the tears we shed,",o4987-l22600," When that fond hope, and all those joys were fled. ",o4987-l22605,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00220,o4987-w0740
bed,On Thanet Heav'n its happier Influence shed;,pba35-l10590, A num'rous Off-spring grac'd his nuptial Bed:,pba35-l10595,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00087,pba35-w0860
dead,"By mothers curs'd, when floods of tears they shed,",o5152-l00815,And scatter useless roses on the dead.,o5152-l00820,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00011,o5152-w0010
fled,"Freely by Heav'n on all thou'rt shed,",pma99-l04930, Why then from me so distant fled? ,pma99-l04940,/ed/ | /ed/,full,<b>a</b>b<b>a</b>b,pers00306,pma99-w0210
fled,In unavailing streams my tears are shed;,o4985-l35345, Sad Laura's bliss is with Lorenzo fled. ,o4985-l35350,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00057,o4985-w0520
head,"In vain for me a parent's tears were shed,",o4985-l35485, And to the grave descends his hoary head. ,o4985-l35490,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00057,o4985-w0520
head, Where shall I find some friendly shed,bjb18-l02990," ""THE night winds bellow o'er my head",bjb18-l02980,/ed/ | /ed/,full,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0030
led,O early lost! what Tears the River shed,o3704-l01370, When the sad Pomp along his Banks was led? ,o3704-l01375,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00012,o3704-w0010
bled," Oh Fact accurst! What Tears has Albion shed,",o3704-l01610," Heav'ns! what new Wounds, and how her old have bled? ",o3704-l01615,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00012,o3704-w0010
dead,"On his pale limbs its virtuous juice she shed,",o5152-l07090,"And murmur'd mystick numbers o'er the dead,",o5152-l07095,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00011,o5152-w0080
dread, While ev'ry star malignant influence shed. ,cer72-l06095,"The night was cover'd with unusual dread,",cer72-l06090,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
spread, How much more bright than e're proud Phoebus shed,oar96-l05425, Are those vast Rays the Eternal Sun does spread! ,oar96-l05430,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00265,oar96-w0210
bed,"The swallow twittering from the straw-built shed,",tgaen-l05485,No more shall rouse them from their lowly bed.,tgaen-l05495,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>,pers00039,tgaen-welcc
head," Some three-score years no blight hath shed,",bjb18-l13435,"But ah! proud beauty, on whose head",bjb18-l13430,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0250
dread, Since innocent blood here was shed. ,o4779-l00180, Should view these apartments with dread;,o4779-l00165,/ed/ | /ed/,full,aa<b>b</b>cc<b>b</b>,pers00319,o4779-w0010
deed, A brother's blood these hands have shed,bjb18-l21930," ""O father! I have done a deed",bjb18-l21920,/ed/ | /iːd/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0490
bed," Unveil thy charms, and perfume shed;",pmt18-l23055,"Shalt, from thy dark and lowly bed,",pmt18-l23045,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>,pers00320,pmt18-w0390
dead,"When the leaves from the trees are begun to be shed,",o4985-l11520," Either strew'd at the roots, shrivell'd, wither'd, and dead,",o4985-l11530,/ed/ | /ed/,full,<b>a</b>b<b>a</b>b,pers00167,o4985-w0180
laid,"The tears you shed,",o5400-l04335," On altars laid,",o5400-l04345,/ed/ | /eɪd/,half-pararhyme,ababb<b>c</b>d<b>c</b>dd,pers00345,o5400-w0010
head,The riches of thy blessings shed:,o5155-l30645,And still upon the royal head,o5155-l30640,/ed/ | /ed/,full,abab<b>c</b><b>c</b>dd,pers00043,o5155-w0600
bed,Soon as ev'ning clouds have shed,o5157-l18240,"Their wat'ry store on earth's soft bed,",o5157-l18245,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00146,o5157-w0200
head, Whose fragrant breath Arabian odor shed:,o5089-l36000, With blooming chaplets wove around their head. ,o5089-l36010,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>,pers00176,o5089-w0760
fed,"The tear forgot as soon as shed,",o5153-l30985,"Gay hope is theirs by fancy fed,",o5153-l30975,/ed/ | /ed/,full,<b>a</b>b<b>a</b>bccdeed,pers00039,o5153-w0560
fled, While night a deeper horror shed,o4668-l01345,"Tho' long the beaming day was fled,",o4668-l01335,/ed/ | /ed/,full,<b>a</b>b<b>a</b>b,pers00276,o4668-w0010
said," ""And with the drops despair will shed,",o4668-l01605," ""I'll go (the hapless EDWIN said)",o4668-l01595,/ed/ | /ed/,full,<b>a</b>b<b>a</b>b,pers00276,o4668-w0010
dead,For thee the tear be duly shed:,o5155-l07855,"And mourn'd, till Pity's self be dead.",o5155-l07865,/ed/ | /ed/,full,a<b>b</b>a<b>b</b>,pers00048,o5155-w0070
head, The fury of contagion shed? —,bhw18-l12875," The beams direct, that on each head",bhw18-l12870,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0150
head," Musk'd in the rose's lap fresh dews they shed,",o4671-l00515, Or breathe celestial lustres round her head. ,o4671-l00520,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
head, While cloudless suns meridian glories shed,o4671-l06705," From skies of silver round his hoary head,",o4671-l06710,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
bed," O'er his pale corse their pearly sea-flowers shed,",o4671-l09855, And strew'd with crimson moss his marble bed;,o4671-l09860,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
head,"Still to mankind a friend, I daily shed",o5153-l36470,My warmest blessings on his parent head;,o5153-l36475,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00123,o5153-w0730
head,"Join the fav'ring Muse, and shed",o5156-l16660,All thy influence on my head.,o5156-l16665,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00045,o5156-w0580
head,And when thou thy wrath hast shed,o5156-l17040,Turns it from the guiltless head.,o5156-l17045,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00045,o5156-w0580
spread,As o'er the pebble's form the waves had shed,bao18-l04035, So Fancy's hand delights in youth to spread,bao18-l04045,/ed/ | /ed/,full,<b>a</b>b<b>a</b>b,pers00279,bao18-w0120
head,"Thy poppies, cropt on Lethe's margin, shed",o5155-l32210,Around thy languid poet's head.,o5155-l32215,/ed/ | /ed/,full,aabbac<b>d</b><b>d</b>eecffghhg,pers00057,o5155-w0680
led,"He flesh'd his maiden sword, he shed,",o5155-l27180,"By his victorious Father led,",o5155-l27175,/ed/ | /ed/,full,aab<b>c</b><b>c</b>b,pers00027,o5155-w0470
led,"When young Eliza left her lonely shed,",pcm93-l02620," Not by a base desire of plunder led,",pcm93-l02630,/ed/ | /ed/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0040
fled," When for a Loss, like This, our Tears are shed",o4784-l13500,"For when to Shades of Death our Joys are fled,",o4784-l13495,/ed/ | /ed/,full,<b>a</b><b>a</b>a,pers00268,o4784-w0400
dead," When for a Loss, like This, our Tears are shed",o4784-l13500," None can revive the Heart, but who can raise the Dead. ",o4784-l13505,/ed/ | /ed/,full,a<b>a</b><b>a</b>,pers00268,o4784-w0400
head," On me be all their hateful Influence shed,",o4885-l02290," Showr all their Wrath on this poor destin'd Head,",o4885-l02295,/ed/ | /ed/,full,<b>a</b><b>a</b>a,pers00300,o4885-w0010
stead," On me be all their hateful Influence shed,",o4885-l02290," The Sufferer cry'd, I'll bear it in their Stead;",o4885-l02300,/ed/ | /ed/,full,<b>a</b>a<b>a</b>,pers00300,o4885-w0010
misled, With murd'rous Hands their Rival's Blood to shed? ,pco62-l02085,"How oft have wretched Mortals been misled,",pco62-l02080,/ed/ | /ed/,full,<b>a</b><b>a</b>,pers00293,pco62-w0020
