r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
permit,"We'll send you up another sheet,",o5156-l30395,"Soon then as business will permit,",o5156-l30390,/iːt/ | /ɜːmɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00131,o5156-w0830
beat,In taper find no winding sheet;,o5156-l19120,Nor sleepless mind the death-watch beat;,o5156-l19115,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00101,o5156-w0640
complete, As many rows as furnish up a sheet:,pcr18-l07395, As many lines as fill a row complete;,pcr18-l07390,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
meet," So here, compress'd within a single sheet,",pcr18-l07510," Great things and small, the mean and mighty meet,",pcr18-l07515,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
sweet, Rais'd just above the milk-white Sheet. ,pmp18-l08590," Nor glows so red, nor breathes so sweet. ",pmp18-l08600,/iːt/ | /iːt/,full,a<b>b</b>a<b>b</b>,pers00314,pmp18-w0310
wit, Counts Writers Merits by the Sheet. ,pmp18-l01675,"Tonson, who is himself a Wit,",pmp18-l01670,/iːt/ | /ɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0050
meet, And part my winding sheet? ,bjb18-l03355, And here we were to meet;,bjb18-l03345,/iːt/ | /iːt/,full,a<b>b</b>a<b>b</b>,pers00287,bjb18-w0030
meet,"""I in my winding sheet. """,o5152-l03345,"""The bridegroom blithe to meet;",o5152-l03335,/iːt/ | /iːt/,full,x<b>a</b>x<b>a</b>,pers00011,o5152-w0030
meet,She in her winding sheet.,o5152-l03365,The bridegroom blithe to meet;,o5152-l03355,/iːt/ | /iːt/,full,x<b>a</b>x<b>a</b>,pers00011,o5152-w0030
deceit," Or lay the landscape on the snowy sheet,",o3794-l29255," To teach the canvass innocent deceit,",o3794-l29250,/iːt/ | /iːt/,full,<b>a</b><b>a</b>,pers00269,o3794-w0080
meet," Is a corse's bloody sheet."" ",bjb18-l23715, With a vest of the crim'sy meet;,bjb18-l23705,/iːt/ | /iːt/,full,x<b>a</b>x<b>a</b>,pers00287,bjb18-w0540
