r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
clouds, That lurk in Midnight Shrouds:,o4784-l18985," From out the pitchy Clouds,",o4784-l18975,/aʊdz/ | /aʊdz/,full,a<b>b</b>a<b>b</b>,pers00268,o4784-w0600
clouds, Till where dark wood the hills slope surface shrouds;,o4987-l13540, Or the blue summit mingles with the clouds;,o4987-l13545,/aʊdz/ | /aʊdz/,full,<b>a</b><b>a</b>,pers00250,o4987-w0390
clouds, And night's thick veil the guilty mourner shrouds. ,bmb97-l00965, To pierce the heavy and umbrageous clouds;,bmb97-l00955,/aʊdz/ | /aʊdz/,full,a<b>b</b>a<b>b</b>,pers00315,bmb97-w0020
clouds," Piercing, with uprais'd eyes, each mist that shrouds,",bmb97-l00260, By airs etherial wafted from the clouds:,bmb97-l00270,/aʊdz/ | /aʊdz/,full,a<b>b</b>a<b>b</b>,pers00315,bmb97-w0010
clouds," The misty vapour often shrouds,",pcm93-l08945, Aspire to pierce the vagrant clouds! ,pcm93-l08955,/aʊdz/ | /aʊdz/,full,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0190
crouds," Command your slain, ye heroes, from their shrouds;",o4154-l00425,"Bring, ye bright fair, your love-attending crouds;",o4154-l00420,/aʊdz/ | /aʊdz/,full,<b>a</b><b>a</b>,pers00332,o4154-w0010
clouds,Redousa here magnificently shrouds,cer72-l02850, Its lofty head among surrounding clouds:,cer72-l02855,/aʊdz/ | /aʊdz/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
clouds,"While thus they pass, the Sun his Glory shrouds,",o4106-l11525, The changing Skies hang out their sable Clouds;,o4106-l11530,/aʊdz/ | /aʊdz/,full,<b>a</b><b>a</b>,pers00294,o4106-w0190
clouds," Where, nursed in night, incumbent Tempest shrouds",o4671-l04905," The seeds of Thunder in circumfluent clouds,",o4671-l04910,/aʊdz/ | /aʊdz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
clouds," Curtain'd with night the couch imperial shrouds,",o4671-l07455, And rests the crimson cushions upon clouds. —,o4671-l07460,/aʊdz/ | /aʊdz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
clouds,From mortal ken himself the Almighty shrouds,o4984-l02885, Pavilion'd in thick night and circumambient clouds. ,o4984-l02890,/aʊdz/ | /aʊdz/,full,ababcdcdefef<b>g</b><b>g</b>,pers00221,o4984-w0020
crouds,"All slow, and wan, and wrap'd with Shrouds,",o4106-l10525," They rise in visionary Crouds,",o4106-l10530,/aʊdz/ | /aʊdz/,full,<b>a</b><b>a</b>,pers00294,o4106-w0170
crowds,Wrapt in visionary shrouds;,o5155-l20480,"By me pass the ghastly crowds,",o5155-l20475,/aʊdz/ | /aʊdz/,full,<b>a</b><b>a</b>,pers00045,o5155-w0260
