r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
lip," Shall hapless from the cup delusion sip,",o4984-l08175," Whoe'er un'wares shall ply his thirsty lip,",o4984-l08165,/ɪp/ | /ɪp/,full,abab<b>c</b>d<b>c</b>dee,pers00050,o4984-w0090
lip,Nor let the blasting spoiler sip.,o5153-l26875,The fragrance of thy balmy lip!,o5153-l26880,/ɪp/ | /ɪp/,full,<b>a</b><b>a</b>,pers00119,o5153-w0450
lip,"And what the changeful fleeting crowd, who sip",bjb18-l14090," The unhonoured beverage with contemptuous lip,",bjb18-l14095,/ɪp/ | /ɪp/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0260
lip," Which the sportive muses sip,",pma99-l06235, Sweet as nectar to my lip. ,pma99-l06245,/ɪp/ | /ɪp/,full,a<b>b</b>a<b>b</b>,pers00306,pma99-w0280
lip," Who, mindless of the Feasting, went to sip",o4106-l08445, The balmy Pleasure of the Shepherd's Lip. ,o4106-l08450,/ɪp/ | /ɪp/,full,<b>a</b><b>a</b>,pers00294,o4106-w0120
lip,"No sweet dew of love from these roses I sip,",pmt18-l20355,Oh! where is the sweetness that dwells on that lip? ,pmt18-l20345,/ɪp/ | /ɪp/,full,<b>a</b>b<b>a</b>bb,pers00320,pmt18-w0320
ship," Boasting, while cans of cheering grog they sip,",bjb18-l21280," The varied fortunes of ""our gallant ship:""",bjb18-l21285,/ɪp/ | /ɪp/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0480
lip, Gay China's nymphs from pictur'd vases sip;,o4671-l12050," Each leaf, whose fragrant steam with ruby lip",o4671-l12045,/ɪp/ | /ɪp/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
lip, Imagination's sweets we sip. ,o3613-l00255, And lip in rapture glued to lip;,o3613-l00245,/ɪp/ | /ɪp/,full,a<b>b</b>a<b>b</b>,pers00304,o3613-w0010
lip, Ere I the magic draught could sip;,pcm93-l08165, She turn'd it from my eager lip. ,pcm93-l08175,/ɪp/ | /ɪp/,full,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0160
lip," Of which we guests so fondly sip,",bsb18-l21410," Handing the cup to Hope's sweet lip,",bsb18-l21405,/ɪp/ | /ɪp/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0290
lip," Taught from thy sparkling cup full joys to sip,",pmt18-l19860," And suck sweet poison from thy velvet lip,",pmt18-l19865,/ɪp/ | /ɪp/,full,<b>a</b><b>a</b>,pers00320,pmt18-w0290
lip," The thrilling joy he would for ever sip,",pmt18-l00995,"Then, with sweet pressure of her rosy lip,",pmt18-l00985,/ɪp/ | /ɪp/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0020
lip, That slumbering thus unconscious she may sip,pmt18-l01490,"A placid smile plays o'er each roseate lip,",pmt18-l01480,/ɪp/ | /ɪp/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0020
