r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
sirs," And nae great sight to see, sirs;",bsb18-l29715," Will never let me be, sirs. ",bsb18-l29725,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," Will never let me be, sirs. ",bsb18-l29725," And nae great sight to see, sirs;",bsb18-l29715,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," As gude as lass can be, sirs;",bsb18-l29735," Hae a' run wud for me, sirs. ",bsb18-l29745,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," Hae a' run wud for me, sirs. ",bsb18-l29745," As gude as lass can be, sirs;",bsb18-l29735,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," He thinks the day's his sin, sirs;",bsb18-l29755," He'd find himsel mista'en, sirs. ",bsb18-l29765,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," He'd find himsel mista'en, sirs. ",bsb18-l29765," He thinks the day's his sin, sirs;",bsb18-l29755,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," That I may guess the cause, sirs;",bsb18-l29775," Dumb Roger's hums and ha's, sirs. ",bsb18-l29785,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," Dumb Roger's hums and ha's, sirs. ",bsb18-l29785," That I may guess the cause, sirs;",bsb18-l29775,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," The blithest lad ye'll see, sirs;",bsb18-l29795," He'd laugh gin I did die, sirs. ",bsb18-l29805,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," He'd laugh gin I did die, sirs. ",bsb18-l29805," The blithest lad ye'll see, sirs;",bsb18-l29795,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," To talk wi' him is vain, sirs;",bsb18-l29815," He'd prove that it did rain, sirs. ",bsb18-l29825,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," He'd prove that it did rain, sirs. ",bsb18-l29825," To talk wi' him is vain, sirs;",bsb18-l29815,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," 'Bout sma' things makes a phrase, sirs;",bsb18-l29835," Ding o'er his joyfu' days, sirs. ",bsb18-l29845,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," Ding o'er his joyfu' days, sirs. ",bsb18-l29845," 'Bout sma' things makes a phrase, sirs;",bsb18-l29835,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," But gude kens wha's the best, sirs;",bsb18-l29855," And drums out a' the rest, sirs. ",bsb18-l29865,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," And drums out a' the rest, sirs. ",bsb18-l29865," But gude kens wha's the best, sirs;",bsb18-l29855,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," I've had them on their knee, sirs;",bsb18-l29875," And no to downright me, sirs. ",bsb18-l29885,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," And no to downright me, sirs. ",bsb18-l29885," I've had them on their knee, sirs;",bsb18-l29875,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," They may wear out the knee, sirs;",bsb18-l29895," But they shall ne'er get me, sirs. ",bsb18-l29905,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
sirs," But they shall ne'er get me, sirs. ",bsb18-l29905," They may wear out the knee, sirs;",bsb18-l29895,/ɜːz/ | /ɜːz/,identical,x<b>a</b>x<b>a</b>,pers00280,bsb18-w0680
