r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
rise," Spurns the base earth, and seems to reach the skies. ",o4986-l17425," So rapt, so charm'd, my soul begins to rise,",o4986-l17420,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
eyes, And call the Almighty witness from the skies! ,o4986-l18525,"What though the Bigot raise to Heaven his eyes,",o4986-l18520,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
rise, Ah! me! how weak to wish thee from the skies! ,pik94-l03950," Spite of religious aid my wishes rise,",pik94-l03945,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00327,pik94-w0180
eyes, With eager gaze she seeks the skies:,o4091-l25320, Whilst heavenly rapture fill'd her eyes. ,o4091-l25330,/aɪz/ | /aɪz/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
rise,"When Darkness intercepts the Skies,",o3900-l17910,"When high the Storms of Passion rise,",o3900-l17920,/aɪz/ | /aɪz/,full,<b>a</b>b<b>a</b>bcc,pers00309,o3900-w1000
rise," E'er yet his radiance left the skies,",bsb18-l10595, And dewy damps began to rise;,bsb18-l10600,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0120
rise," While bursting peals of thunder rend the skies,",yfs88-l01825," And o'er the deck the foaming billows rise,",yfs88-l01830,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
rise," In grateful incense, to the echoing skies;",yfs88-l02300," So shall the praise of ransom'd millions rise,",yfs88-l02295,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
eyes,Feel not joy in sunny skies;,o5156-l24735,Bitter change! their languid eyes,o5156-l24730,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00146,o5156-w0710
rise,And catch their dewy nectar from the skies;,o5156-l09680,"At his command, Malvern, thy mountains rise,",o5156-l09675,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00120,o5156-w0380
prise, While horns and hounds re-echo to the skies. ,bjl92-l04245,"Too soon Lothario gain'd the wish'd for prize,",bjl92-l04240,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0150
flies, The dreadful Crack alarms the Skies:,o4602-l00390," The bursting Earth asunder flies,",o4602-l00380,/aɪz/ | /aɪz/,full,a<b>b</b>a<b>b</b>cc,pers00150;pers00151,o4602-w0010
flies, Still calm and pleasant as the Ev'ning Skies:,o5125-l19440," When not a Breeze through the still Region flies,",o5125-l19445,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
eyes, And weeping turn'd them on the pitying Skies:,o5125-l20045," Then from the Ground she rais'd her beauteous Eyes,",o5125-l20040,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>a,pers00154,o5125-w0510
cries, And weeping turn'd them on the pitying Skies:,o5125-l20045," Assist me Heaven and heavenly Pow'r, she cries. ",o5125-l20050,/aɪz/ | /aɪz/,full,a<b>a</b><b>a</b>,pers00154,o5125-w0510
cries, And turn'd his Eye-balls on the glimm'ring Skies:,o5125-l20640," Then hear my Vow, the frantick Lover cries,",o5125-l20635,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
denies,"Content, fair daughter of the skies,",o4984-l35650," Or gives spontaneous, or denies,",o4984-l35655,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>bccb,pers00226,o4984-w0660
size,"That shook the vaulted skies,",o5155-l20970,And stretch'd their dwindled size.,o5155-l20980,/aɪz/ | /aɪz/,full,a<b>b</b>a<b>b</b>,pers00045,o5155-w0270
supplies," The fervor and the force of Indian skies,",o3794-l10045, Ambrosial gardens in which art supplies,o3794-l10040,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
arise," The graces of a life that wins the skies,",o3794-l10545," And faith, the root whence only can arise",o3794-l10540,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
devise, Are far too mean for him that rules the skies. ,o3794-l10675," And tricks and turns that fancy may devise,",o3794-l10670,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
eyes," Had pour'd the day, and clear'd the Roman skies;",o3794-l11125,Philosophy indeed on Grecian eyes,o3794-l11120,/aɪz/ | /aɪz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
