r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
train, But mostly Iphis Brother of the slain;,o5125-l20790," This piteous Sight enrag'd the vicious Train,",o5125-l20785,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
vain," The mourning Victor bending o'er the slain,",o5125-l21385," Essay'd to raise him, but essay'd in vain:",o5125-l21390,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
plain, While the pale phantoms of the slain,o5089-l34295, Glide nightly o'er the silent plain. ,o5089-l34300,/eɪn/ | /eɪn/,full,aabbcc<b>d</b><b>d</b>,pers00185,o5089-w0720
train, Has thousands and ten thousands slain. ,o3555-l08715, The meanest foe of all the train,o3555-l08710,/eɪn/ | /eɪn/,full,aa<b>b</b><b>b</b>,pers00149,o3555-w0300
complain, O that by savage hands she had been slain! ,bjl92-l04585," In fault'ring accents, I of Fate complain? ",bjl92-l04575,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0160
gain,"From hecatombs by heroes slain,",o5153-l23980,"From heaps of ill-collected gain,",o5153-l23975,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00119,o5153-w0360
pain,"War urg'd the slaughter, tho' she wept the slain,",o5157-l05390,"War taught contempt of death, contempt of pain,",o5157-l05380,/eɪn/ | /eɪn/,full,<b>a</b>b<b>a</b>b,pers00038,o5157-w0073
again," Vice seems already slain,",o3794-l30340, And it revives again. ,o3794-l30350,/eɪn/ | /en/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00269,o3794-w0160
plain," Fly swift; and flying, fear their Mate is slain. ",o4741-l08335," Both, diverse, thro' the wide ethereal Plain",o4741-l08330,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
plain, And swell the heep of slain:,bhw18-l09640, That on the hostile plain,bhw18-l09630,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>,pers00276,bhw18-w0080
again,"Like young Patroclus, Dormer shall be slain,",o5156-l23935,And great Achilles' soul be shock'd again.,o5156-l23940,/eɪn/ | /en/,half-pararhyme,<b>a</b><b>a</b>,pers00103,o5156-w0690
obtain,A laurel wreath for thousands slain;,o5155-l30445,He only panted to obtain,o5155-l30440,/eɪn/ | /eɪn/,full,aabb<b>c</b><b>c</b>dd,pers00055,o5155-w0590
plain," At length reviv'd, 'mid rising heaps of slain,",bhw18-l02065, She prest with hurried step the crimson plain;,bhw18-l02070,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
obtain," ""Again to triumph, and again be slain. ",bmb97-l00430,""" The just reward of valour to obtain;",bmb97-l00420,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>,pers00315,bmb97-w0010
chain," Her generals baffled, and her warriors slain;",o4985-l18785, No longer to impose but wear the chain. ,o4985-l18795,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>,pers00217,o4985-w0280
again, Till by fierce Ammon's Sword they saw the Victim slain. ,o4784-l06230," Nor to his Rescue e'er return'd again,",o4784-l06225,/eɪn/ | /en/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0140
plain," Fierce, how he climbs the Mountains of the Slain",o4672-l12035," Trace him Apelles, o're the Belgian Plain,",o4672-l12030,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>a,pers00292,o4672-w0620
campaign," Fierce, how he climbs the Mountains of the Slain",o4672-l12035, Scattering Just Vengeance thro' the Red Campaign. ,o4672-l12040,/eɪn/ | /eɪn/,full,a<b>a</b><b>a</b>,pers00292,o4672-w0620
maintain,And heap'd fam'd Blenheim's field with mountains of the slain.,o5155-l33375,And equal rights of empire to maintain.,o5155-l33360,/eɪn/ | /eɪn/,full,aa<b>b</b>cc<b>b</b>,pers00002,o5155-w0710
plain," Their hapless Prince by Physignathus slain,",o4106-l05630, Extends incumbent on the watry Plain. ,o4106-l05635,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
plain, And raise their glorious Trophies of the slain. ,o4106-l05775," The Frogs triumphant tread the conquer'd Plain,",o4106-l05770,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
plain," But great Artophagus aveng'd the slain,",o4106-l06250," And big Seutlaeus tumbling loads the Plain,",o4106-l06255,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
campaign,What Seas of Blood I view! what Worlds of slain! ,o4106-l06820,An Iliad rising from a Day's Campaign! ,o4106-l06825,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
à-la-reine," Now picking ortolans, and chicken slain,",o4039-l04060, To form the whimsies of an à-la-reine:,o4039-l04065,/eɪn/ | /iː/,half-pararhyme,<b>a</b><b>a</b>,pers00288,o4039-w0180
disdain,The maiming register of sense once slain?,o5152-l38785,"And can even patience hear, without disdain,",o5152-l38780,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
plain,"See, where at Audenard, with heaps of slain,",o5152-l08795,"Mowing across, bestrews the plain,",o5152-l08805,/eɪn/ | /eɪn/,full,<b>a</b>b<b>a</b>bccdcdeffeggghhiikkllmnmn,pers00007,o5152-w0100
wane,And choak Tibiscus with the slain;,o5152-l09435,"How he should make the Turkish crescent wane,",o5152-l09430,/eɪn/ | /eɪn/,full,abba<b>c</b><b>c</b>deed,pers00007,o5152-w0100
feign," Countries preserv'd, and Monsters slain,",o4741-l13780,Thus great ALCIDES (Poets feign),o4741-l13770,/eɪn/ | /eɪn/,full,<b>a</b>b<b>a</b>b,pers00091,o4741-w0310
vain, Not in glorious battle slain. ,o5089-l18930," Think what thousands fell in vain,",o5089-l18920,/eɪn/ | /eɪn/,full,ababc<b>d</b>c<b>d</b>,pers00173,o5089-w0360
vain," Near Acre's wall was slain."" ",bjb18-l27100, Hath framed a story vain;,bjb18-l27090,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>,pers00287,bjb18-w0650
plain, Choked up with grizzly slain. ,bjb18-l27520," With champion on the plain,",bjb18-l27510,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>,pers00287,bjb18-w0650
plain, Their valiant Chief was slain;,bjb18-l28050, And bore it from the plain. ,bjb18-l28060,/eɪn/ | /eɪn/,full,a<b>b</b>a<b>b</b>,pers00287,bjb18-w0650
plain,"Let us return, and strip the reeking slain",o4198-l03815, Leaving the bodies on the burning plain. ,o4198-l03820,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00288,o4198-w0180
plain,"Bavaria's fall, and Danube choak'd with slain?",o5152-l00030,"Who hath not read of fam'd Ramilia's plain,",o5152-l00025,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00011,o5152-w0010
pain,"On mines exhausted, and on millions slain.",o5152-l00290,"On glory past reflects with secret pain,",o5152-l00285,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00011,o5152-w0010
plain,"Augustus! He! who striding o'er the Slain,",o3868-l00650, Hunted thy New Ally o'er Flandria's Plain:,o3868-l00655,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00296,o3868-w0010
reign," 'Mid hosts o'erthrown, and myriads slain,",o4984-l15015, On Britain fix his iron reign;,o4984-l15020,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00227,o4984-w0220
reign,No wonder Savages or Subjects slain,o3704-l00300, Were equal Crimes in a Despotick Reign;,o3704-l00305,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00012,o3704-w0010
stain, Without compassion let them both be slain. ,cer72-l08885," If any negligence my honour stain,",cer72-l08880,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
plain," Scorch'd by the one, and by the other Slain? ",pse03-l12575," But let them wander o're th' unbounded Plain,",pse03-l12570,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00272,pse03-w0570
reign,"A bed incestuous, and a father slain.",o5155-l07125,"Or paint the curse, that mark'd the Theban's reign,",o5155-l07120,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00048,o5155-w0060
plain,'Tho' thy choice Herds are by his Arrows slain;,o5125-l14900," 'Yes, haughty Sylvius triumphs o'er the Plain,",o5125-l14895,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00154,o5125-w0390
plain, And his worst Foes insulting o'er the Slain:,o5125-l15160,"Now cold and breathless on the dewy Plain,",o5125-l15155,/eɪn/ | /eɪn/,full,<b>a</b><b>a</b>,pers00154,o5125-w0390
