r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
grave,""" He priz'd his birthright, nor would live a slave. ",o4986-l18735," ""Here RUSSEL lies, enfranchis'd by the grave,",o4986-l18730,/eɪv/ | /ɑːv/,half-pararhyme,<b>a</b><b>a</b>,pers00210,o4986-w0400
brave,Hence endless Wars engage the earth-born Slave:,pdi12-l01320," This whets their Rage, and ever makes 'em brave. ",pdi12-l01325,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0040
have," Not thy Lover, but thy Slave;",o4784-l15335,Ev'ry Shepherd thou wou'd'st have,o4784-l15330,/eɪv/ | /æv/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0460
knave,"A ribband and a pension buy the slave,",o5154-l20460,"This bribes the fool about him, that the knave.",o5154-l20465,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00112,o5154-w0310
grave,"Alive though stain'd by every abject slave,",o5152-l04280,"Secure of fame, and justice in the grave.",o5152-l04285,/eɪv/ | /ɑːv/,half-pararhyme,<b>a</b><b>a</b>,pers00011,o5152-w0060
brave,"How weak a Multitude, where each a Slave!",o5154-l09175,"When arm'd for LIBERTY, a Few how brave!",o5154-l09170,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
grave," The Monarch justled by the saucy slave,",pjo50-l07740, And next a Queen's perhaps a Milk-maid's grave;,pjo50-l07745,/eɪv/ | /ɑːv/,half-pararhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0280
gave," Who do's not seek to be thy Slave,",o4784-l02215,"To Phillis he an Angle gave,",o4784-l02200,/eɪv/ | /eɪv/,full,<b>a</b>ba<b>a</b>b,pers00268,o4784-w0050
have," Who do's not seek to be thy Slave,",o4784-l02215," For sure, quoth he, each Fish must have,",o4784-l02210,/eɪv/ | /æv/,half-pararhyme,ab<b>a</b><b>a</b>b,pers00268,o4784-w0050
crave, And be propitious to your humble Slave. ,o4741-l00570,"Then, Sir, adieu: Accept what you did crave,",o4741-l00565,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00091,o4741-w0010
knave,"Thou, Fortune! who so oft hast been the Slave,",o4091-l22525," Of many a Miser, Dastard, Fool, and Knave,",o4091-l22530,/eɪv/ | /eɪv/,full,<b>a</b><b>a</b>,pers00305,o4091-w0010
