r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
weep, Where my cold ashes sleep. ,bah18-l06820," I see thee sit and weep,",bah18-l06810,/iːp/ | /iːp/,full,a<b>b</b>a<b>b</b>,pers00281,bah18-w0510
deep," How, in her Circling Bosom sleep",o4602-l00335," Th' imprison'd Seas, and Bounded Deep. ",o4602-l00340,/iːp/ | /iːp/,full,abab<b>c</b><b>c</b>,pers00150;pers00151,o4602-w0010
deep," 'Ere nature rose from her eternal sleep,",o3794-l13170,"So then — as darkness overspread the deep,",o3794-l13165,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
sweep,"At night he walks the woods, stole hours from sleep,",cac95-l06765, To give his thoughts a large unbounded sweep;,cac95-l06770,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
weep," Where her poor WERTER, and his sorrows — sleep. ",n22cs-l01810," Yes! CHARLOTTE o'er the mournful spot shall weep,",n22cs-l01805,/iːp/ | /iːp/,full,ababcdcdefef<b>g</b><b>g</b>,pers00290,n22cs-w0240
weep, Though now entomb'd in peace your ashes sleep;,o5280-l02560,"YE sister Queens, who early learn'd to weep,",o5280-l02555,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00277,o5280-w0150
deep," Where subterranean thunders sleep,",o4984-l02910," From sulph'rous damps in caverns deep,",o4984-l02905,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
weep," Long her strains in sorrow sleep,",o4986-l11400,"Long his loss shall Eirin weep,",o4986-l11390,/iːp/ | /iːp/,full,<b>a</b>b<b>a</b>b,pers00039,o4986-w0250
sheep,"At home the shepherd's cur may sleep,",o5089-l33875, While I secure his master's sheep. ,o5089-l33880,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00141,o5089-w0710
deep,"As thus I mus'd, oppresive Sleep",o4984-l16305," Oblivion's veil. The watry Deep,",o4984-l16315,/iːp/ | /iːp/,full,<b>a</b>b<b>a</b>b,pers00045,o4984-w0260
creep," And seem themselves to own the power of sleep,",o4110-l00690," Where slowly winding the dull waters creep,",o4110-l00685,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
heap,The rude Forefathers of the hamlet sleep.,o5155-l00080,"Where heaves the turf in many a mould'ring heap,",o5155-l00070,/iːp/ | /iːp/,full,a<b>b</b>a<b>b</b>,pers00039,o5155-w0010
steep,When harrass'd Nature sinks in turbid sleep),o5157-l05795,"Of some broad torrent, or some headlong steep,",o5157-l05785,/iːp/ | /iːp/,full,a<b>b</b>a<b>b</b>,pers00038,o5157-w0074
keep, Pass the long hours once given to sleep:,bao18-l07825, But let me still the secret keep:,bao18-l07815,/iːp/ | /iːp/,full,a<b>b</b>a<b>b</b>,pers00279,bao18-w0320
keep, The lazy sabbath of a half-year's sleep. ,o3555-l03490,"Not so the Insect race, ordain'd to keep",o3555-l03485,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00149,o3555-w0070
deep," Conceal'd from human eyes, ye sleep,",o4987-l29585," From these moss'd elms, where, prison'd deep,",o4987-l29580,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00189,o4987-w0820
deep," Conceal'd from human eyes, ye sleep,",o5089-l21845," From these moss'd elms, where prison'd deep,",o5089-l21840,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00189,o5089-w0450
weep," ""He's gone, and here his ashes sleep —",bhw18-l10325, His child a father does not weep —,bhw18-l10335,/iːp/ | /iːp/,full,<b>a</b>b<b>a</b>b,pers00276,bhw18-w0080
keep," Now Thou art empty, I shall sleep. ",pjo50-l08905,"Well then, my Purse, thy sabbaths keep;",pjo50-l08900,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0300
sheep,Whose murmur invites one to sleep;,o5155-l38735,And my hills are white-over with sheep.,o5155-l38745,/iːp/ | /iːp/,full,a<b>b</b>a<b>b</b>cdcd,pers00035,o5155-w0950
weep," No mattins here disturb the morning sleep,",o5280-l04100, No lovelorn maids forsake their couch to weep;,o5280-l04105,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00277,o5280-w0280
keep,"The grateful Sounds compos'd my Cares to sleep,",oat77-l06595,Which o're me now no Watch appear'd to keep.,oat77-l06600,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00344,oat77-w0410
deep," Loves the hard Earth, and courts forbidden Sleep. ",pdi22-l01330,"Th' inconstant Wretch too curious leaves the Deep,",pdi22-l01325,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
creep, And thoughtless on the breezy Hillocks sleep. ,pdi22-l03315," Glad to th' unequal dusty Ridges creep,",pdi22-l03310,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
heap,"Sunk Waves supine on the smooth Surface sleep,",pdi22-l05280, And Warmth impregnates all the jelly'd Heap. ,pdi22-l05285,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
deep," Or where calm Waters in their Bason sleep,",pdi22-l06750," While chalky Cliffs o'erlook the shaded Deep,",pdi22-l06755,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
keep, Nor one unguarded Moment give to Sleep. ,pdi22-l12210,"All the Night long they constant Watches keep,",pdi22-l12205,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
weep, Soft on this bed of leaves my child shall sleep —,bhw18-l05745," Close to his mother's corse, he will not weep! ",bhw18-l05750,/iːp/ | /iːp/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
