r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
dew,Oft to the woods in frantic rage I slew,o4987-l32190, To cool my bosom with the falling dew;,o4987-l32195,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00224,o4987-w0880
knew,"Incessant joys around her slew,",o5153-l34880,"WHEN fair SERENA fair I knew,",o5153-l34870,/uː/ | /uː/,full,<b>a</b>b<b>a</b>b,pers00147,o5153-w0670
withdrew," He sent; and as He fled, He slew. ",pmp18-l04035, And from the Hostile Camp withdrew;,pmp18-l04025,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>,pers00314,pmp18-w0170
flew, And brave Lychenor with a Javelin slew. ,o4106-l06185,"First to the Fight the large Hypsiboas flew,",o4106-l06180,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
threw," High o'er his rival's head it whistling slew,",o4039-l04465," His bursting arm the missive weapon threw,",o4039-l04460,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00288,o4039-w0180
flew," And old and young, without distinction, slew. ",cer72-l01135," Fierce Simeon thro' the bright apartments flew,",cer72-l01130,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
knew," The foremost rank, the swift invaders slew,",cer72-l01655, And soon the waking pris'ners heard and knew,cer72-l01660,/uː/ | /uː/,full,<b>a</b><b>a</b>a,pers00265,cer72-w0010
flew," The foremost rank, the swift invaders slew,",cer72-l01655," Their active friends, that to their succor flew. ",cer72-l01665,/uː/ | /uː/,full,<b>a</b>a<b>a</b>,pers00265,cer72-w0010
knew,"He, Anna's darling slew.",o5155-l16770,Who ne'er compassion knew?,o5155-l16760,/uː/ | /uː/,full,a<b>b</b>a<b>b</b>,pers00033,o5155-w0210
due,"For shrines they've plunder'd, or some wretch they slew.",o5154-l07995,"Bad men, no doubt; perhaps 'tis vengeance due",o5154-l07990,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00124,o5154-w0120
view,"Then, as St. George the dragon slew,",o5152-l14015,"Spleen pierc'd, trod down, and dying view;",o5152-l14020,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00101,o5152-w0180
crew,"The Last was He, whose Thunder slew",o4226-l00685," The Titan-race, a Rebel Crew,",o4226-l00690,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00150,o4226-w0020
true,"But from my sight he slew,",oau90-l06895,Found Love's Revenge was true;,oau90-l06905,/uː/ | /uː/,full,ababc<b>d</b>c<b>d</b>eee,pers00350,oau90-w0220
crew," ""The sacrilegious wretch Minerva slew."" ",o4987-l27535, This moral curb'd th' infatuated crew —,o4987-l27530,/uː/ | /uː/,full,<b>a</b><b>a</b>,pers00255,o4987-w0780
