r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
beguile,"Sometimes (delusion strong) I see thee smile,",pik94-l03955," I hear thy lisping voice my cares beguile,",pik94-l03960,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00327,pik94-w0180
while,Now thy Envy makes me smile. ,o4784-l15420,That indeed were worth his while:,o4784-l15425,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00268,o4784-w0460
while," Can o'er her cheek prolong the smile,",bsb18-l10715," Though balmy zephyrs play the while,",bsb18-l10720,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0120
beguile, My Errors cherish'd Hope to smile,o4106-l10095,"My Ignorance cou'd once beguile,",o4106-l10085,/aɪl/ | /aɪl/,full,<b>a</b>b<b>a</b>b,pers00294,o4106-w0160
toil," Serene, they saw each peaceful morning smile,",yfs88-l01545, Joy led their hours and plenty bless'd their toil;,yfs88-l01550,/aɪl/ | /ɔɪl/,half-pararhyme,<b>a</b><b>a</b>,pers00318,yfs88-w0020
isle, O'er whose gay plains fair Plenty deigns to smile;,yfs88-l01570,"Sovereign, yet parent, of this happy isle,",yfs88-l01565,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
isle,"Britain, where science, peace, and plenty, smile,",yfs88-l01905," Virtue's bright seat, and freedom's favour'd isle! ",yfs88-l01910,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
soil, Or bade contented labour calmly smile,yfs88-l02085, O'er the rich prospect of his native soil. ,yfs88-l02090,/aɪl/ | /ɔɪl/,half-pararhyme,<b>a</b><b>a</b>,pers00318,yfs88-w0020
pile, Till he on Hoder's corse shall smile,o4986-l11830, Flaming on the funeral pile. ,o4986-l11835,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00039,o4986-w0260
while, Grins at his Cloe with a ghastly Smile. ,o5125-l05800,The Preacher reads: But Acamas the while,o5125-l05795,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00154,o5125-w0180
guile, On Cynthio's Friendship or on Clara's Smile:,o5125-l05840," On Silia's Tongue so aptly hung with Guile,",o5125-l05835,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00154,o5125-w0180
isle, Is she not cloath'd with a perpetual smile? ,o3794-l10005,"From side to side of her delightful isle,",o3794-l10000,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
awhile," They stood the test of her ensnaring smile,",o3794-l10375," There, proof against prosperity, awhile",o3794-l10370,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
pile,Till he on Hoder's corse shall smile,tgaen-l09395,Flaming on the funeral pile.,tgaen-l09400,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00039,tgaen-wdooo
while, And mount to my lip with a smile. ,bsb18-l24340, Yet thy cheek grows the paler the while;,bsb18-l24330,/aɪl/ | /aɪl/,full,a<b>b</b>a<b>b</b>,pers00280,bsb18-w0370
toil, Wi' gloomy smile. ,cbu86-l01430, At's weary toil;,cbu86-l01420,/aɪl/ | /ɔɪl/,half-pararhyme,aaa<b>b</b>a<b>b</b>,pers00307,cbu86-w0020
guile,"Propitious thou wilt' deign to smile,",pro75-l05550,"From malice, envy, care, and guile.",pro75-l05560,/aɪl/ | /aɪl/,full,a<b>b</b>a<b>b</b>,pers00271,pro75-w0280
toil," All, all appear; on me they grateful smile,",o4984-l23090, The well-earn'd prize of every virtuous toil,o4984-l23095,/aɪl/ | /ɔɪl/,half-pararhyme,<b>a</b><b>a</b>,pers00051,o4984-w0430
beguile, If they catch but a look or a smile. ,o4987-l10955," While passions their reason beguile,",o4987-l10945,/aɪl/ | /aɪl/,full,ababc<b>d</b>c<b>d</b>,pers00179,o4987-w0330
isle," With gentle Liberty's enchanting smile,",yfs88-l00140,"All bounteous heav'n, that bless'd my native isle",yfs88-l00135,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
toil," With fainting heart he sees the morning smile,",yfs88-l00485," And goes, reluctant, to his wonted toil;",yfs88-l00490,/aɪl/ | /ɔɪl/,half-pararhyme,<b>a</b><b>a</b>,pers00317,yfs88-w0010
while," ""Grin horribly a ghastly smile,""",o4984-l03230, His Aethiopian teeth the while,o4984-l03225,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
isle," At his Right-hand fair Liberty shall smile,",pba35-l11150, Protected by the Guardian of our Isle;,pba35-l11155,/aɪl/ | /aɪl/,full,<b>a</b><b>a</b>,pers00087,pba35-w0880
guile,"A Lucia's face forbear to smile,",o5152-l18080,"It made a virgin put on guile,",o5152-l18070,/aɪl/ | /aɪl/,full,<b>a</b>b<b>a</b>b,pers00101,o5152-w0200
toil,"To him whose favors on me smile,",bed98-l22310,"Still now the busy hand of toil,",bed98-l22300,/aɪl/ | /ɔɪl/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00340,bed98-w0820
