r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
dear,"Here stop'd her short, and with a sneer,",o5153-l29500,"My PRITCHARD, if you please, my dear!",o5153-l29505,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00038,o5153-w0500
fear,"What means the sly wink, the satyrical sneer,",pma99-l08815,"Poor girls, ye have sadly mistaken, I fear,",pma99-l08825,/ɪə/ | /ɪə/,full,abab<b>c</b>d<b>c</b>d,pers00306,pma99-w0490
near,"Th' embroider'd colonel flatters with a sneer,",o5154-l20635,"For this she listens to each fop that's near,",o5154-l20630,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>a,pers00112,o5154-w0320
ear,"Th' embroider'd colonel flatters with a sneer,",o5154-l20635,And the cropt ensign nuzzles in her ear.,o5154-l20640,/ɪə/ | /ɪə/,full,a<b>a</b><b>a</b>,pers00112,o5154-w0320
fear," Lest fops should censure us, and fools should sneer;",o3794-l21635," The fear of tyrant custom, and the fear",o3794-l21630,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
fear,"With just disdain of ev'ry paltry sneer,",o4600-l01625," Stranger alike to Flattery and Fear,",o4600-l01630,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
fear, Or hesitate to give him sneer for sneer;,o3585-l00700," Nor yet so low, that I my Lord should fear,",o3585-l00695,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
here,"At this the haughty Courtiers sneer,",pba35-l15570," And cry, What Bus'ness have you here? ",pba35-l15575,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00087,pba35-w1220
chair," And twitching her fan-sticks, affected a sneer. ",peh89-l05625,"Her Ladyship drew herself up in her chair,",peh89-l05620,/ɪə/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00324,peh89-w0030
appear,"Surveys mine work; and levels many a sneer,",o5152-l31095,"And, sour'd by age, profound he shall appear,",o5152-l31085,/ɪə/ | /ɪə/,full,ababb<b>c</b>b<b>c</b>c,pers00035,o5152-w0320
here,"Surveys mine work; and levels many a sneer,",o5152-l31095,"And furls his wrinkly front, and cries ""What stuff is here?""",o5152-l31100,/ɪə/ | /ɪə/,full,ababbcb<b>c</b><b>c</b>,pers00035,o5152-w0320
bear,"The wise man's censure, and the vain man's sneer?",o5153-l27695,"If now condemn'd, my riper lays must bear",o5153-l27690,/ɪə/ | /eə/,half-pararhyme,<b>a</b><b>a</b>,pers00038,o5153-w0480
hear," Tho' saucy Wits shou'd tell them with a Sneer,",o5125-l06845,"The Wise will seldom credit all they hear,",o5125-l06840,/ɪə/ | /ɪə/,full,<b>a</b><b>a</b>,pers00154,o5125-w0220
