r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
gold," That Maids are Merchandise, and may be sold",o5125-l19655, For charming Eloquence and mighty Gold. ,o5125-l19660,/əʊld/ | /əʊld/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
told,"Still sold returns, and still is to be sold.",o5156-l34260,"But she a better bargain proves, I'm told;",o5156-l34255,/əʊld/ | /əʊld/,full,aa<b>b</b><b>b</b>,pers00108,o5156-w1239
behold,"'At last I to a Smith was sold,",o5125-l12010, 'And all folk despise me that behold;,o5125-l12005,/əʊld/ | /əʊld/,full,<b>a</b><b>a</b>,pers00154,o5125-w0340
fold," The Bag, the Bottle, and the Hurdles sold;",o4784-l09525," To Merchandize converted is the Fold,",o4784-l09520,/əʊld/ | /əʊld/,full,<b>a</b><b>a</b>,pers00268,o4784-w0230
gold," Would sell their God, as once their King they sold;",o4110-l02190," Branded as traitors, who, for love of gold,",o4110-l02185,/əʊld/ | /əʊld/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
gold," There too, strange merchandize! he pardons sold,",o4984-l08335," And treason would absolve, and murder purge with gold. ",o4984-l08340,/əʊld/ | /əʊld/,full,ababcdcd<b>e</b><b>e</b>,pers00050,o4984-w0090
gold,"Hearts pair'd in Heaven, not meanly sold,",o4987-l29760, Law-licens'd prostitutes for gold:,o4987-l29765,/əʊld/ | /əʊld/,full,<b>a</b><b>a</b>,pers00189,o4987-w0820
gold,"Hearts pair'd in heaven, not meanly sold,",o5089-l22020, Law-licens'd prostitutes for gold:,o5089-l22025,/əʊld/ | /əʊld/,full,<b>a</b><b>a</b>,pers00189,o5089-w0450
gold," One asks, for what the Negro may be sold;",o4741-l09215," Then bids a Price, and shews the tempting Gold:",o4741-l09220,/əʊld/ | /əʊld/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
gold," And dead to all Remorse, the Dame he sold. ",o4741-l09310,"He added not; for now, intent on Gold,",o4741-l09305,/əʊld/ | /əʊld/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
gold," ""Curs'd be myself, and doubly curs'd, who sold",o4741-l09720,""" A faithful Friend, to gain that fatal Gold! —",o4741-l09725,/əʊld/ | /əʊld/,full,<b>a</b><b>a</b>,pers00091,o4741-w0100
hold,"And took thee, destin'd to be sold,",pjo50-l08800," My lawful Purse, to have and hold? ",pjo50-l08805,/əʊld/ | /əʊld/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0300
old,JESUS for you to Death was sold;,o3900-l12130, Ye Ruffians fell in Murders old;,o3900-l12120,/əʊld/ | /əʊld/,full,a<b>b</b>a<b>b</b>cc,pers00309,o3900-w0650
behold,O worthy price of beauty sold! ,o3776-l01260," This chaste, harmonious pair behold;",o3776-l01235,/əʊld/ | /əʊld/,full,a<b>b</b>abcc<b>b</b>,pers00047,o3776-w0040
gold,O worthy price of beauty sold! ,o3776-l01260, Of all who barter vows for gold. ,o3776-l01245,/əʊld/ | /əʊld/,full,aba<b>b</b>cc<b>b</b>,pers00047,o3776-w0040
gold,"See him by thee to ruin sold,",o5156-l33040,"And curse thyself, and curse thy GOLD.",o5156-l33045,/əʊld/ | /əʊld/,full,<b>a</b><b>a</b>,pers00108,o5156-w0890
told, What ponds he emptied and what pikes he sold;,pcr18-l16255,"His own exploits with boastful glee he told,",pcr18-l16250,/əʊld/ | /əʊld/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
gold," Paint forth the Knaves that have the Nation sold,",o4672-l12420, And tinge their greedy Looks with sordid Gold. ,o4672-l12425,/əʊld/ | /əʊld/,full,<b>a</b><b>a</b>,pers00292,o4672-w0620
