r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
tongue, That I may raise a lofty Song,o4672-l02090,"SOME Seraph, lend your Heavenly Tongue,",o4672-l02080,/ɒŋ/ | /ʌŋ/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00292,o4672-w0110
sprung, Have been the pleasing Subjects of my Song:,pmp18-l00580,"What Charms You have, from what high Race You sprung,",pmp18-l00575,/ɒŋ/ | /ʌŋ/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0020
young,Eliza's Glory lives in Spencer's Song;,pmp18-l00635, And Cowley's Verse keeps Fair Orinda young. ,pmp18-l00640,/ɒŋ/ | /ʌŋ/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0020
throng, Enraptur'd with thy matin song;,bsb18-l10880," And let the nymphs around thee throng,",bsb18-l10875,/ɒŋ/ | /ɒŋ/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0120
along, Your Heifers graze: And I to hear your song,sap09-l02935," And here below, the banky Shore along,",sap09-l02930,/ɒŋ/ | /ɒŋ/,full,<b>a</b><b>a</b>,pers00302,sap09-w0060
wrong,"Begin then, Boys, and vary well your Song;",sap09-l02980," Nor fear, from Geron's upright Sentence, Wrong. ",sap09-l02985,/ɒŋ/ | /ɒŋ/,full,<b>a</b><b>a</b>,pers00302,sap09-w0060
among,For tho' to mirth and festal song,o5153-l30245,"But now no bards thy woods among,",o5153-l30235,/ɒŋ/ | /ʌŋ/,half-pararhyme,<b>a</b>b<b>a</b>bcc,pers00038,o5153-w0530
along,"You who can frame a tuneful song,",o5156-l05700,And hum it as you ride along;,o5156-l05705,/ɒŋ/ | /ɒŋ/,full,<b>a</b><b>a</b>,pers00035,o5156-w0170
wrong," To blame is not the Purpose of my Song,",o5125-l05515, But warn our Sisters not to place it wrong. ,o5125-l05520,/ɒŋ/ | /ɒŋ/,full,<b>a</b><b>a</b>,pers00154,o5125-w0180
wrong, And many Proofs she drew from sacred Song:,o5125-l19080," Of Innocence oppress'd by mightier Wrong,",o5125-l19075,/ɒŋ/ | /ɒŋ/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
wrong," Attentive only to the Linnets Song,",o5125-l19785," No ill she thought of, and she fear'd no Wrong:",o5125-l19790,/ɒŋ/ | /ɒŋ/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
strong,"All blended in the swelling song,",bjb18-l30585," Are wise and simple, weak and strong,",bjb18-l30590,/ɒŋ/ | /ɒŋ/,full,aaab<b>c</b><b>c</b>cbdddb,pers00287,bjb18-w0810
tongue,"All blended in the swelling song,",bjb18-l30585," Sweet woman's voice and Infant's tongue,",bjb18-l30595,/ɒŋ/ | /ʌŋ/,half-pararhyme,aaab<b>c</b>c<b>c</b>bdddb,pers00287,bjb18-w0810
along," Had all been thine; and love, and rapt'rous song,",bhw18-l16925, Had led the circle of thy life along. ,bhw18-l16935,/ɒŋ/ | /ɒŋ/,full,a<b>b</b>a<b>b</b>,pers00276,bhw18-w0350
along,Attentive to the well-known song,cac95-l11305," Blushing she heard, and sped along,",cac95-l11315,/ɒŋ/ | /ɒŋ/,full,<b>a</b>b<b>a</b>b,pers00301,cac95-w0190
belong, The glories of immortal song! ,o4546-l00370,Shakespear! to whom shall still belong,o4546-l00360,/ɒŋ/ | /ɒŋ/,full,a<b>b</b>a<b>b</b>ccddee,pers00304,o4546-w0010
belong,"And if she praise thy matin song,",o5156-l04330,To Damon's native plains belong.,o5156-l04340,/ɒŋ/ | /ɒŋ/,full,a<b>b</b>a<b>b</b>,pers00035,o5156-w0123
tongue,Or did the heavenly music of his song,cac95-l06365, Infuse its warmth to urge her glowing tongue? ,cac95-l06370,/ɒŋ/ | /ʌŋ/,half-pararhyme,<b>a</b><b>a</b>,pers00301,cac95-w0130
tongue," He added force, and wrote th' extatic song;",cac95-l06570," Celestial was the music of her tongue,",cac95-l06565,/ɒŋ/ | /ʌŋ/,half-pararhyme,<b>a</b><b>a</b>,pers00301,cac95-w0130
hung, While strong expression mark'd each feeling song;,cac95-l06590," Mute on his burning lips love trembling hung,",cac95-l06585,/ɒŋ/ | /ʌŋ/,half-pararhyme,<b>a</b><b>a</b>,pers00301,cac95-w0130
strong," The visionary ROBERT, friend of song,",cac95-l08025," Rapt in wild dreams, fanatic, rash, and strong;",cac95-l08030,/ɒŋ/ | /ɒŋ/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
belong,"Ye mighty spirits of the song,",bjb18-l05280," To whom the poet's prayers belong,",bjb18-l05285,/ɒŋ/ | /ɒŋ/,full,<b>a</b><b>a</b>bbcc,pers00287,bjb18-w0040
belong,But whither wanders the licentious song?,o5153-l31945,Such joyous notes to happier days belong!,o5153-l31950,/ɒŋ/ | /ɒŋ/,full,<b>a</b><b>a</b>bccbdeedfgghhf,pers00040,o5153-w0590
along,Now aid my feeble song;,o5153-l32040,ISIS! whose argent waters glide along,o5153-l32030,/ɒŋ/ | /ɒŋ/,full,a<b>b</b>a<b>b</b>cddceeffgg,pers00040,o5153-w0590
