r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
afraid,Says Ned to Sal — I lead a spade;,o5156-l05420,Why don't ye play? — the girl's afraid —,o5156-l05425,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00035,o5156-w0170
trade,"As Adam here had us'd his primitive Spade,",oau90-l16620,And from his Marker has just learnt the Trade.,oau90-l16625,/eɪd/ | /eɪd/,full,aabbcc<b>d</b><b>d</b>,pers00350,oau90-w0570
made,'So early quite as Adam's Spade;,o5125-l11785,'I must confess I was not made. ,o5125-l11780,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00154,o5125-w0340
made,"Waits not for me yon' sexton on his spade,",o4985-l35785, Blythe whistling o'er the grave his toil has made? ,o4985-l35790,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00057,o4985-w0520
glade," Whate'er employs the labourer's spade,",o4984-l06835," Each level walk, each shelving glade,",o4984-l06830,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00218,o4984-w0050
made,"I Rob Thee not; for, tho My delving Spade",oat77-l01855,"Dislodge thy Mould, yet there's no Trespass made:",oat77-l01860,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00344,oat77-w0070
shade,And sways alike the scepter and the spade. ,o5154-l37280,"Haunts the proud city, and the lowly shade,",o5154-l37275,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00036,o5154-w0680
made," At last, of stone we form'd a sort of spade,",bsb18-l03290," Broad at the end, and sharp, for cutting made;",bsb18-l03295,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0010
made," For tedious are the labours of the spade,",bsb18-l03375," Yet something like one with delight I made,",bsb18-l03370,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0010
laid," But, gently borne on goodman's spade,",bjb18-l16680, Beneath the decent sod be laid;,bjb18-l16685,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0320
aid, Falls undistinguish'd by the Victor Spade! ,o3695-l01780," Sad Chance of War! now, destitute of Aid,",o3695-l01775,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00012,o3695-w0010
laid,"MATTHEW, whose skilful hand and well-worn spade",o4987-l05515, And form'd of dust again in dust be laid;,o4987-l05530,/eɪd/ | /eɪd/,full,<b>a</b>bb<b>a</b>abbacdecde,pers00016,o4987-w0170
made,"MATTHEW, whose skilful hand and well-worn spade",o4987-l05515,"Near, but not in the Church of God, be made",o4987-l05535,/eɪd/ | /eɪd/,full,<b>a</b>bba<b>a</b>bbacdecde,pers00016,o4987-w0170
fade,"MATTHEW, whose skilful hand and well-worn spade",o4987-l05515," We're equall all, and vain distinctions fade:",o4987-l05550,/eɪd/ | /eɪd/,full,<b>a</b>bbaabb<b>a</b>cdecde,pers00016,o4987-w0170
shade," Exchang'd the imperial fasces for a spade,",o4986-l21080, And left court sunshine for the sylvan shade;,o4986-l21085,/eɪd/ | /eɪd/,full,<b>a</b><b>a</b>,pers00230,o4986-w0480
