r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
ears, The noise of Battle and the clash of Spears;,o5125-l20480," And now shrill Cries invade his wond'ring Ears,",o5125-l20475,/ɪəz/ | /ɪəz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
bears," To shun our Hunters Darts, and missive Spears;",o4741-l08215," Sure not so fearful fly the trembling Bears,",o4741-l08210,/ɪəz/ | /eəz/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0100
fears,"The little Prawn, tho' arm'd with pointed Spears,",pdi22-l07825," Yet weak and slow, unequal Combat fears. ",pdi22-l07830,/ɪəz/ | /ɪəz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
rears," Plowshares his swords, and pruning hooks his spears;",o4671-l05070," High o'er his foes his hundred arms He rears,",o4671-l05065,/ɪəz/ | /ɪəz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
ears, And soon beneath him shone a Grove of Spears:,o5125-l23490," But hostile Shouts invade his frighted Ears,",o5125-l23485,/ɪəz/ | /ɪəz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0570
wars,"Bright Swords, and crested Helms, and pointed Spears",pmp18-l25285," And Shields indented deep in ancient Wars,",pmp18-l25295,/ɪəz/ | /ɔːz/,half-pararhyme,<b>a</b>b<b>a</b>bcdcdee,pers00314,pmp18-w0730
ears," ""Did ye not hear the clash of hostile spears? ",o4987-l03755," ""What groan was that which pierc'd these fearful ears? ",o4987-l03765,/ɪəz/ | /ɪəz/,full,<b>a</b>b<b>a</b>b,pers00176,o4987-w0080
fears," Abroad begirt with Men, and Swords, and Spears;",pmp18-l49395, His very State acknowledging his Fears:,pmp18-l49400,/ɪəz/ | /ɪəz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
wears,"The hinds are seen in arms, and glittering spears",o4986-l00580," Fanatic rage the plowman's visage wears,",o4986-l00590,/ɪəz/ | /eəz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00237,o4986-w0010
grenadiers," Sent forth a Troop with Caps and Spears,",o5125-l03745," Much like Parnassian Granadiers,",o5125-l03750,/ɪəz/ | /iəz/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0130
