r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
tell," Amaist as soon as I could spell,",cbu86-l15510,"But first an' foremost, I should tell,",cbu86-l15505,/el/ | /el/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0270
fell," Amaist as soon as I could spell,",cbu86-l15510," I to the crambo-jingle fell,",cbu86-l15515,/el/ | /el/,full,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0270
sell," Amaist as soon as I could spell,",cbu86-l15510," Yet crooning to a body's sel,",cbu86-l15525,/el/ | /el/,full,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0270
yell, The Father of the powerful spell. ,o4986-l11545," And long pursues, with fruitless yell,",o4986-l11540,/el/ | /el/,full,<b>a</b><b>a</b>,pers00039,o4986-w0260
well," So dimly writ or difficult to spell,",o3794-l11540,"Is adverse providence when ponder'd well,",o3794-l11535,/el/ | /el/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
hell," Nay, make the Name a kind of Magick Spell,",oae86-l00330, As if 'twould censure married Men to Hell. ,oae86-l00335,/el/ | /el/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
yell,The father of the powerful spell.,tgaen-l09110,And long pursues with fruitless yell,tgaen-l09105,/el/ | /el/,full,<b>a</b><b>a</b>,pers00039,tgaen-wdooo
reveal, Which All must grant; tho' Few can spell. ,pmp18-l36585," Who does his Mind in Words reveal,",pmp18-l36580,/el/ | /iːl/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
tell," Which Folks perceive, who cannot spell? ",pmp18-l39060,"What need of Books these Truths to tell,",pmp18-l39055,/el/ | /el/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
well,To some it were a potent spell;,bed98-l07535,"And ignorance, I know it well,",bed98-l07545,/el/ | /el/,full,<b>a</b>b<b>a</b>b,pers00340,bed98-w0160
bell," Or stop the clerk, th' engraven scrolls to spell,",pcr18-l11665, Or keep the sexton from the sermon bell. ,pcr18-l11670,/el/ | /el/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
well,Forget the poet's use; the powerful spell,o5153-l28145,"Of magic verse, which SIDNEY paints so well,",o5153-l28150,/el/ | /el/,full,<b>a</b><b>a</b>,pers00038,o5153-w0480
knell," Assails his ear, and like conjurer's spell",pma99-l07680,But now the college clock with gloomy knell,pma99-l07675,/el/ | /el/,full,<b>a</b><b>a</b>,pers00306,pma99-w0370
tell," Of foul magicians and of wizard spell,",pmt18-l09770," Of ambushed foes and unseen pits they tell,",pmt18-l09760,/el/ | /el/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0023
tell, And triumph o'er the mighty spell,o4987-l07910,"For he of joys divine shall tell,",o4987-l07900,/el/ | /el/,full,abab<b>c</b>d<b>c</b>d,pers00207,o4987-w0250
unchangeable, Nor e'er might be renewed that sacred spell,pmt18-l12200," Her wondrous robe, bade it unchangeable",pmt18-l12190,/el/ | /eɪndʒəbl/,half-pararhyme,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0024
tell," Who scorned the enchantress, and her mystic spell,",pmt18-l12565," Of wanton Circe's baffled arts they tell,",pmt18-l12555,/el/ | /el/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0024
repel," Who scorned the enchantress, and her mystic spell,",pmt18-l12565, And all the Syrens' arts could gloriously repel. ,pmt18-l12570,/el/ | /el/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0024
swell," Punishing thy daring spell,",bse96-l02405," Lest their force around thee swell,",bse96-l02400,/el/ | /el/,full,<b>a</b><b>a</b>,pers00282,bse96-w0040
compel," Within your verses' flow'ry spell,",o4739-l03875, Which barb'rous! dares my pen compel. ,o4739-l03880,/el/ | /el/,full,<b>a</b><b>a</b>,pers00284,o4739-w0170
well, Thee and thy train weave many a spell,bsb18-l16565,"Come, Elfin Puck, I know thee well;",bsb18-l16555,/el/ | /el/,full,<b>a</b>b<b>a</b>b,pers00280,bsb18-w0220
fell, To hang upon his spell;,bsb18-l16970, The wind to whispers fell;,bsb18-l16960,/el/ | /el/,full,a<b>b</b>a<b>b</b>,pers00280,bsb18-w0220
dwell, And weaves the Lover's spell! ,bsb18-l17070, Where Happiness can dwell? ,bsb18-l17060,/el/ | /el/,full,a<b>b</b>a<b>b</b>,pers00280,bsb18-w0220
well, I wrought a wonderous spell. ,bsb18-l17690, And who lov'd far too well;,bsb18-l17680,/el/ | /el/,full,a<b>b</b>a<b>b</b>,pers00280,bsb18-w0220
