r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
friend,Then why shou'd We our Days in Wishes spend,o4784-l11265," In the same Grave, intended for his Friend. ",o4784-l11260,/end/ | /end/,full,<b>a</b><b>a</b>a,pers00268,o4784-w0320
end,Then why shou'd We our Days in Wishes spend,o4784-l11265," Which, ere we see fulfill'd, are often at an End",o4784-l11270,/end/ | /end/,full,a<b>a</b><b>a</b>,pers00268,o4784-w0320
friend,"You'll ask, my Lord, how time I spend?",o5154-l15490,"I answer, with a book, or friend:",o5154-l15495,/end/ | /end/,full,<b>a</b><b>a</b>,pers00112,o5154-w0230
bend,In pastry kings and queens th' allotted mite to spend.,o5152-l31235,"Some to the standing lake their courses bend,",o5152-l31220,/end/ | /end/,full,ababb<b>c</b>bc<b>c</b>,pers00035,o5152-w0320
tend,In pastry kings and queens th' allotted mite to spend.,o5152-l31235,"Thilk to the huxter's sav'ry cottage tend,",o5152-l31230,/end/ | /end/,full,ababbcb<b>c</b><b>c</b>,pers00035,o5152-w0320
end," Hoping the morn in ease and rest to spend,",cbu86-l09925," This night his weekly moil is at an end,",cbu86-l09915,/end/ | /end/,full,ababb<b>c</b>b<b>c</b>c,pers00307,cbu86-w0130
bend," Hoping the morn in ease and rest to spend,",cbu86-l09925," And weary, o'er the moor, his course does hameward bend. ",cbu86-l09930,/end/ | /end/,full,ababbcb<b>c</b><b>c</b>,pers00307,cbu86-w0130
tend,"""Reserving woes for age their prime they spend;",o5154-l01495,"""With sorrow to the verge of life they tend.",o5154-l01505,/end/ | /end/,full,ababc<b>d</b>c<b>d</b>ee,pers00031,o5154-w0050
friend," ""Call thee in wars thy youth to spend,",pcm93-l05150," ""Say, dearest brother, only friend! ",pcm93-l05140,/end/ | /end/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0060
end,Fond man! here cheerful may'st thou spend,o4986-l32390," Thy swift-wing'd life, nor fear thy end;",o4986-l32395,/end/ | /end/,full,<b>a</b><b>a</b>,pers00213,o4986-w0830
commend," That Time in praising thee they spend,",o4784-l24215, And thy protecting Pow'r commend:,o4784-l24220,/end/ | /end/,full,<b>a</b><b>a</b>,pers00268,o4784-w0850
friend," In chace of Pleasure the gay moments spend,",o4987-l11425, And grieve for nothing but your absent Friend. ,o4987-l11435,/end/ | /end/,full,a<b>b</b>a<b>b</b>,pers00102,o4987-w0350
end, On Brass and Iron we our Strength must spend;,pco62-l01080," Alas! our Labours never know no End,",pco62-l01075,/end/ | /end/,full,<b>a</b><b>a</b>,pers00293,pco62-w0010
lend," In blissful Ease, and Satisfaction spend. ",ppo24-l00020," And all those Hours propitious Fate should lend,",ppo24-l00015,/end/ | /end/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0010
friend,"As much as I could moderately spend,",ppo24-l00175," A little more, sometimes t' Oblige a Friend. ",ppo24-l00180,/end/ | /end/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0010
descend,"Whole hours at the looking-glass spend,",o5157-l18670,Shall sovereign beauty descend,o5157-l18660,/end/ | /end/,full,<b>a</b>b<b>a</b>bcdcd,pers00146,o5157-w0210
end,"""Some their whole lives in expectation spend,",o5152-l21545,"""As life were not begun, or ne'er would end;",o5152-l21550,/end/ | /end/,full,<b>a</b><b>a</b>,pers00111,o5152-w0250
send," They, in his Quarrel, even their Blood do spend,",pco62-l01695," When into foreign Lands he doth them send,",pco62-l01690,/end/ | /end/,full,<b>a</b><b>a</b>a,pers00293,pco62-w0020
attend," They, in his Quarrel, even their Blood do spend,",pco62-l01695, And fight till Vict'ry doth on them attend;,pco62-l01700,/end/ | /end/,full,a<b>a</b><b>a</b>,pers00293,pco62-w0020
end, His sole and first ambition what? — to spend. ,o4984-l24795,"Of each fond frolic what the source and end,",o4984-l24790,/end/ | /end/,full,<b>a</b><b>a</b>,pers00053,o4984-w0450
attend," Who more than fate allows them, dare to spend. ",pjo50-l00235,I have no bus'ness there. Let those attend,pjo50-l00225,/end/ | /end/,full,<b>a</b>a<b>a</b>,pers00273,pjo50-w0010
friend," Who more than fate allows them, dare to spend. ",pjo50-l00235," The courtly Levee, or the courtly Friend,",pjo50-l00230,/end/ | /end/,full,a<b>a</b><b>a</b>,pers00273,pjo50-w0010
friend,"My ev'nings all I would with sharpers spend,",o5152-l37030,And make the thief-catcher my bosom friend.,o5152-l37035,/end/ | /end/,full,<b>a</b><b>a</b>,pers00143,o5152-w0340
friend,She knows with strictest Prudence how to spend;,pmc36-l03685," Still frugal to herself, and noble to her Friend. ",pmc36-l03690,/end/ | /end/,full,<b>a</b><b>a</b>,pers00325,pmc36-w0110
