r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
admires," Nor thinks of Castles, Towns, and shining Spires;",o5125-l19565,"Polyphon now the wavering Nymph admires,",o5125-l19560,/aɪəz/ | /æəz/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0510
desires,"The marble palaces, and glittering spires,",o4986-l14090," Ah! how unequal to my fond desires,",o4986-l14100,/aɪəz/ | /æəz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00219,o4986-w0340
fires," Proudly he mounts upon his folded Spires,",pdi22-l04615,Now his red Eye-balls glow with doubled Fires;,pdi22-l04610,/aɪəz/ | /æəz/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
fires," Boldly went up, and roll'd their guilty Spires. ",pdi22-l12330,In circling Wreaths to Heav'n their impious Fires,pdi22-l12325,/aɪəz/ | /æəz/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
requires,"Fall, vain Ambition's pile, and lofty spires,",o4987-l02045, Soft pity sure such innocence requires;,o4987-l02055,/aɪəz/ | /æəz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00057,o4987-w0040
retires,"When from gay throngs, and gilded spires,",o5156-l00555,Her philosophick step retires:,o5156-l00565,/aɪəz/ | /æəz/,half-pararhyme,ababc<b>d</b>e<b>d</b>cceff,pers00035,o5156-w0010
retires,"And slowly leaves the mountain tops, and gilded spires.",o5155-l33525,"With ling'ring pace the parting day retires,",o5155-l33520,/aɪəz/ | /æəz/,half-pararhyme,aabb<b>c</b><b>c</b>,pers00002,o5155-w0720
fires, While human victims feed the ruddy spires. ,cer72-l00375," On seven high altars rise polluted fires,",cer72-l00370,/aɪəz/ | /æəz/,half-pararhyme,<b>a</b><b>a</b>,pers00265,cer72-w0010
retires, Where Kiriath-arba lifts her golden spires:,cer72-l01290,"From thence to Mamre's peaceful plain retires,",cer72-l01285,/aɪəz/ | /æəz/,half-pararhyme,<b>a</b><b>a</b>,pers00265,cer72-w0010
cottage-fires," Towns, villages, and pointed spires,",o4984-l06560," And smoak thick-wreath'd from cottage-fires,",o4984-l06565,/aɪəz/ | /æəz/,half-pararhyme,<b>a</b><b>a</b>,pers00218,o4984-w0050
acquires," The tender skeins, and wraps in rising spires;",o4671-l15705," Slow, with soft lips, the whirling Can acquires",o4671-l15700,/aɪəz/ | /æəz/,half-pararhyme,<b>a</b><b>a</b>,pers00337,o4671-w0020
enquires, If he has seen its gilded Spires. ,psw11-l00825,"Another, of the Thames enquires,",psw11-l00820,/aɪəz/ | /æəz/,half-pararhyme,<b>a</b><b>a</b>,pers00148,psw11-w0040
fires,"Rushing from the woods, the spires",o5152-l26500,Seem from hence ascending fires!,o5152-l26505,/aɪəz/ | /æəz/,half-pararhyme,<b>a</b><b>a</b>,pers00019,o5152-w0300
fires, E'er while that stood o'er Taio's hundred spires,o4984-l02560," With boiling sulphur fraught, and smouldering fires;",o4984-l02550,/aɪəz/ | /æəz/,half-pararhyme,a<b>b</b>a<b>b</b>cdcdefefgg,pers00221,o4984-w0020
fires,"Now glaring Fiends, and Snakes on rolling Spires,",o3695-l02565," Pale Spectres, gaping Tombs, and Purple Fires:",o3695-l02570,/aɪəz/ | /æəz/,half-pararhyme,<b>a</b><b>a</b>,pers00012,o3695-w0010
desires,"To painted Roofs, and shining Spires",pmp18-l10365, (Uneasie Seats of high Desires),pmp18-l10370,/aɪəz/ | /æəz/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0430
