r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
toil, England's Great Charter made a russian's spoil;,o4986-l18005,"Tamely behold that fruit of glorious toil,",o4986-l18000,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
toil,"Thus with proud Trophies made o'th' Spoyl,",oat77-l02230,"But now grown weary with her Toyl,",oat77-l02220,/ɔɪl/ | /ɔɪl/,full,<b>a</b>b<b>a</b>b,pers00344,oat77-w0100
toil,"All sciences, all arts his spoil,",o5157-l19200,But grant our heroe's hope long toil,o5157-l19190,/ɔɪl/ | /ɔɪl/,full,<b>a</b>b<b>a</b>b,pers00006,o5157-w0240
guile,"The wretch, who fatten'd on his neighbour's spoil,",pjo50-l07820," Now crawls a spider, swoln with fraud and guile:",pjo50-l07825,/ɔɪl/ | /aɪl/,half-pararhyme,<b>a</b><b>a</b>,pers00273,pjo50-w0280
toil," Fit but ""for stratagem and spoil,""",bhw18-l17120," Mischief his pleasure and his toil,",bhw18-l17125,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0360
toil, And Ocean glut with frequent spoil;,o5280-l02670," Who mock the seaman's fruitless toil,",o5280-l02665,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00277,o5280-w0160
smile,"Kind nature lavish'd all her spoil,",bed98-l15710,"Her graceful form, her heavenly smile,",bed98-l15700,/ɔɪl/ | /aɪl/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00340,bed98-w0390
soil, He would in time put in for Spoil. ,pba35-l15525," Well knowing, should he tread that Soil,",pba35-l15520,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00087,pba35-w1220
toil," Victorious, with a conquer'd Nation's Spoil;",pdi22-l01635,As when some Prince returns from martial Toil,pdi22-l01630,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
toil," Thin set, nor made to seize the doubtful Spoil. ",pdi22-l07970,"Few are their Teeth, unfit for martial Toil,",pdi22-l07965,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
toil,To it's long taper Shaft the fishy Spoil,pdi22-l11015," The Goddess joyns, and fits for martial Toil. ",pdi22-l11020,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
toil,"The Messenger's arriv'd; the harmless Spoil,",o4784-l06610," Unus'd to fly, runs Bleating to the Toil:",o4784-l06615,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00268,o4784-w0140
soil,"""Won by the soldier thou shalt share the spoil:",o5154-l00955,"""Let the laborious hind subdue the soil:",o5154-l00945,/ɔɪl/ | /ɔɪl/,full,ababc<b>d</b>c<b>d</b>ee,pers00031,o5154-w0050
toil," From varying nature cull th' innoxious spoil,",o5089-l15755," And, whilst amusement sooths the generous toil,",o5089-l15760,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00038,o5089-w0240
oil,"My flow'ry Wreaths they petulantly spoil,",o4106-l05970, And rob my chrystal Lamps of feeding Oil. ,o4106-l05975,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00294,o4106-w0090
oil," Glows brighter red, the glory of the spoil. ",o4039-l04685," His India waistcoat reeking with the oil,",o4039-l04680,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00288,o4039-w0180
smile,But let not such grave fops your laughter spoil;,o5152-l38870,Ne'er frown where sense may innocently smile.,o5152-l38875,/ɔɪl/ | /aɪl/,half-pararhyme,<b>a</b><b>a</b>,pers00130,o5152-w0350
toil, And no inglorious part of Foreign Spoil. ,pmp18-l20045," With a new Mark, the Witness of his Toil;",pmp18-l20040,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0720
soil, On loaded asses bearing off thy spoil;,o4198-l01755," If Mahomet with slaughter drench'd thy soil,",o4198-l01750,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00288,o4198-w0120
toil, I stripid his carcase of the furry spoil,o4198-l04050," He fell, he dy'd — spent in the fiery toil,",o4198-l04045,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00288,o4198-w0180
soil,Is this the fair invested with my spoil,o5155-l19185,"Ungen'rous Europe, let me fly thy soil,",o5155-l19195,/ɔɪl/ | /ɔɪl/,full,<b>a</b>b<b>a</b>b,pers00116,o5155-w0230
moil,And slumb'ring peace enjoy the luscious spoil;,o5153-l10525,"And for them thousands and ten thousands moil,",o5153-l10510,/ɔɪl/ | /ɔɪl/,full,a<b>b</b>ab<b>b</b>cbcc,pers00024,o5153-w0310
while,And slumb'ring peace enjoy the luscious spoil;,o5153-l10525,"For them, who in soft indolence the while",o5153-l10520,/ɔɪl/ | /aɪl/,half-pararhyme,aba<b>b</b><b>b</b>cbcc,pers00024,o5153-w0310
toil,And slumb'ring peace enjoy the luscious spoil;,o5153-l10525," Forespent with labour and incessant toil,",o5153-l10535,/ɔɪl/ | /ɔɪl/,full,abab<b>b</b>c<b>b</b>cc,pers00024,o5153-w0310
smile, But pampers fidlers with the tradesman's spoil. ,o4984-l05640,"Their bounty never bids Affliction smile,",o4984-l05635,/ɔɪl/ | /aɪl/,half-pararhyme,<b>a</b><b>a</b>,pers00218,o4984-w0040
broil,"Yet let him go, and safe return with Spoile,",oac95-l01140," Our Greif, alas! prevents a Civil Broil,",oac95-l01145,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00333,oac95-w0010
soil, And cools his palate with the spoil. ,ojg27-l11740," With delving snout he turns the soil,",ojg27-l11735,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0490
toil," Gleans up the refuse of the general spoil,",o3794-l34125," Plies all the sinews of industrious toil,",o3794-l34120,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00269,o3794-w0410
soil," In withering heaps collects the flowery spoil,",o4671-l13745, And each chill insect sinks beneath the soil;,o4671-l13750,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
toil,"Already had we shar'd the fancy'd spoil,",o5156-l13820,(Imaginary trophies crown'd our toil),o5156-l13825,/ɔɪl/ | /ɔɪl/,full,<b>a</b><b>a</b>,pers00086,o5156-w0520
