r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
sheds,"Wide from the throne the blest contagion spreads,",o4986-l17790," O'er all the land its gladdening influence sheds,",o4986-l17795,/edz/ | /edz/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
beds, Nor all the flow'rets Nature spreads,bsb18-l10705," On her green lap in leafy beds,",bsb18-l10710,/edz/ | /edz/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0120
meads," Some unknown channel lend, where Nature spreads",o4984-l23470," Inglorious vales, and unfrequented meads,",o4984-l23475,/edz/ | /iːdz/,half-pararhyme,<b>a</b><b>a</b>,pers00051,o4984-w0430
feeds,"Till soon thro' all the deadly Gangrene spreads,",pdi22-l07865, And putrid Bane the fretting Ulcer feeds. ,pdi22-l07870,/edz/ | /iːdz/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
heads," In Spots around the scarlet Venom spreads,",pdi22-l10510, And rising Pustules show their ruddy Heads;,pdi22-l10515,/edz/ | /edz/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
meads,"Plenty around her various Mantle spreads,",pdi22-l12435," O'er flow'ry Pastures, and unforrag'd Meads. ",pdi22-l12440,/edz/ | /iːdz/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
heads, While each broad leaf an ample shadow spreads;,bhw18-l01160," The Palms fling high in air their feather'd heads,",bhw18-l01155,/edz/ | /edz/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
beds,Where the rising forest spreads,o5089-l37290,"To their high built airy beds,",o5089-l37300,/edz/ | /edz/,full,<b>a</b>b<b>a</b>b,pers00168,o5089-w0800
sheds,"Her brightest beams where Emulation spreads,",o5155-l29745,"Her kindliest dews where Science sheds,",o5155-l29750,/edz/ | /edz/,full,<b>a</b><b>a</b>,pers00051,o5155-w0570
shreds,"""Ere earth, whose spacious tract unmeasur'd spreads,",o5154-l05070,"""Was slic'd by acres and by roods to shreds;",o5154-l05075,/edz/ | /edz/,full,<b>a</b><b>a</b>,pers00022,o5154-w0080
meads,"Lo! where Poussin his magic colours spreads,",o5156-l10770,"Rise tower'd towns, rough rocks, and flow'ry meads:",o5156-l10775,/edz/ | /iːdz/,half-pararhyme,<b>a</b><b>a</b>,pers00118,o5156-w0420
treads, Or where the whitening Snow-bird spreads,bhw18-l21390,"Where the sharp rock the Chamois treads,",bhw18-l21380,/edz/ | /edz/,full,<b>a</b>b<b>a</b>b,pers00276,bhw18-w0600
meads," Some unknown channel lend, where nature spreads",o5089-l35645," Inglorious vales, and unfrequented meads,",o5089-l35650,/edz/ | /iːdz/,half-pararhyme,<b>a</b><b>a</b>,pers00051,o5089-w0750
heads," By Heav'n's command a sudden vapour spreads,",cer72-l01615," O'er all the host, and clouds their drowsy heads;",cer72-l01620,/edz/ | /edz/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
treads, Its baneful berries spreads. ,pcm93-l05835," Through pathless wilds she treads,",pcm93-l05825,/edz/ | /edz/,full,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0060
sheds," Where pain her poignant venom spreads,",bmb97-l09335," The balm of tenderness she sheds,",bmb97-l09340,/edz/ | /edz/,full,<b>a</b><b>a</b>,pers00315,bmb97-w0300
beds," The first green leaf that nature spreads,",bsb18-l22835," The first flowers rising from their beds,",bsb18-l22840,/edz/ | /edz/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0320
heads," Wide o'er the fields the billowy tumult spreads,",o4671-l03165, And rustling harvests bow their golden heads. ,o4671-l03170,/edz/ | /edz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
threads,"Soft cobweb clouds transparent Onyx spreads,",o4671-l04235, And playful Agates weave their colour'd threads;,o4671-l04240,/edz/ | /edz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
threads," O'er each red cell, and tissued membrane spreads",o4671-l08855, In living net-work all its branching threads;,o4671-l08860,/edz/ | /edz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
cobweb-threads," The Brain's fine floating tissue swells, and spreads;",o4671-l11180, First in translucent lymph with cobweb-threads,o4671-l11175,/edz/ | /edz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
sheds, Her living carpet Nature spreads;,o4986-l27630, In showers its fragrant foliage sheds. ,o4986-l27640,/edz/ | /edz/,full,a<b>b</b>a<b>b</b>,pers00044,o4986-w0600
recedes," Life's purple Current o'er the Body spreads,",o4741-l03645," While Death, repuls'd, ingloriously recedes. ",o4741-l03650,/edz/ | /iːdz/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0040
sheds," When Night her dewy curtain spreads,",o4984-l15390, And Cynthia silver glimmerings sheds,o4984-l15395,/edz/ | /edz/,full,aab<b>c</b><b>c</b>b,pers00227,o4984-w0230
meads," Green baulks and furrow'd lands, the stream that spreads",o3794-l27370," Its cooling vapour o'er the dewy meads,",o3794-l27375,/edz/ | /iːdz/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0080
