r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
king,From whose green years maturest blessings spring;,o4986-l18355,"Behold the Prince, perhaps thy future king! ",o4986-l18350,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
sing,"Around my love, ye violets spring,",pro75-l04785,"In plaintive notes, ye warblers sing,",pro75-l04790,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>bb,pers00271,pro75-w0220
bring,"Each green, that decks the verdant spring,",pro75-l04810,"Ye little Cupids, quickly bring,",pro75-l04805,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>bb,pers00271,pro75-w0220
sing, Prepare to welcome in the gawdy Spring. ,sap09-l03045, The Pastures change; the warbling Linnets sing:,sap09-l03040,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00302,sap09-w0060
sing,"It is the Cuckoo that announceth Spring,",o4985-l26900," Mean while the Finches harmless ditties sing,",o4985-l26910,/ɪŋ/ | /ɪŋ/,full,<b>a</b>b<b>a</b>bbcbcc,pers00033,o4985-w0390
wing, And fair the fading flow'rs of fortune spring;,yfs88-l01420," For you gay Pleasure spreads her gladsome wing,",yfs88-l01415,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
wing, And liberty's enchanting blossoms spring;,yfs88-l01580," Where spotless peace extends her azure wing,",yfs88-l01575,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
sing,"No more would poets their Pierian spring,",o5156-l09885,But Malvern spa in loftier numbers sing;,o5156-l09890,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00120,o5156-w0380
thing,Ye mind 'tis only i' the spring,bsb18-l30905,Sure marriage is a dreadfu' thing! ,bsb18-l30900,/ɪŋ/ | /ɪŋ/,full,aaabcccb<b>d</b><b>d</b>db,pers00280,bsb18-w0740
sing,Ye mind 'tis only i' the spring,bsb18-l30905," That little birdies chirp and sing,",bsb18-l30910,/ɪŋ/ | /ɪŋ/,full,aaabcccbd<b>d</b><b>d</b>b,pers00280,bsb18-w0740
sing,"WHEN approach'd by the fair dewy fingers of Spring,",o4985-l10840," When the birds on the boughs by their mates sit and sing,",o4985-l10850,/ɪŋ/ | /ɪŋ/,full,<b>a</b>b<b>a</b>b,pers00167,o4985-w0160
ring, Fetch water from the spring:,o5089-l17770, And soon her knell they ring. ,o5089-l17780,/ɪŋ/ | /ɪŋ/,full,a<b>b</b>a<b>b</b>,pers00099,o5089-w0310
fling, His Cheeks were fresher than the dawning Spring;,o5125-l19395," Rays quick and fierce their subtle Light'nings fling,",o5125-l19390,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
wing, Fresh from its chilly caverns spring. ,o4739-l00150," There zephyr touch! — then, with new wing",o4739-l00145,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00284,o4739-w0020
sing," Ah! what are the beauties, the glories of spring! ",o4039-l06185,"And yet, if my charmer should frown when I sing,",o4039-l06180,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>bb,pers00288,o4039-w0210
bring,"Thine be the promise of the early Spring,",pcm93-l10690,"To thee may Autumn fruits maturest bring,",pcm93-l10700,/ɪŋ/ | /ɪŋ/,full,<b>a</b>b<b>a</b>bcc,pers00313,pcm93-w0270
bring,"Or what, the needless pride of spring?",o5156-l04440,What bliss to me can seasons bring?,o5156-l04435,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>bb,pers00035,o5156-w0124
sing,And all the ills that from their vices spring;,o5154-l10435,"Thus have I try'd of Kings and Priests to sing,",o5154-l10430,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
wing," ""Come, taste the Pleasures of the Spring;",pmc36-l02550," ""Remember Time is on the Wing."" ",pmc36-l02560,/ɪŋ/ | /ɪŋ/,full,a<b>b</b>a<b>b</b>,pers00325,pmc36-w0060
bring,"Ah! yet a little — and propitious Spring,",n22cs-l03110," But no gay change revolving seasons bring,",n22cs-l03120,/ɪŋ/ | /ɪŋ/,full,ababcdcd<b>e</b>f<b>e</b>fgg,pers00290,n22cs-w0420
string,"Come, plaintive goddess of the Cyrrhan spring,",o5153-l31760,And now our sorrows ask a sadder string;,o5153-l31755,/ɪŋ/ | /ɪŋ/,full,aabb<b>c</b><b>c</b>deedffgghihikk,pers00040,o5153-w0590
fling," Loading with fragrance the soft gales of Spring,",pmt18-l17570, As she was wont with glowing hand to fling,pmt18-l17565,/ɪŋ/ | /ɪŋ/,full,abbac<b>d</b><b>d</b>cefefef,pers00320,pmt18-w0120
thing," Whose mind's as fertile as the teeming Spring, —",bsb18-l13335, Like Autumn rich in every virtuous thing;,bsb18-l13340,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0180
bring,Such are the fruits which from retirement spring;,o5152-l25810,These blessings ease and learned leisure bring.,o5152-l25815,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
bring, And hang fresh trophies o'er my honour'd spring. ,o4984-l23105," To me with filial reverence they bring,",o4984-l23100,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00051,o4984-w0430
sing, And by his Notes invite the lagging Spring. ,sap09-l02425," Young Colin Clout; who well could pipe and sing,",sap09-l02420,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00302,sap09-w0050
bring, Ah! Why has Happiness — no second Spring? ,n22cs-l00160,Another May new buds and flow'rs shall bring;,n22cs-l00155,/ɪŋ/ | /ɪŋ/,full,ababcdcdefef<b>g</b><b>g</b>,pers00290,n22cs-w0020
