r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
age, To find that Love dares venture on the Stage;,pba35-l14595,"You look surpriz'd, in this deriding Age,",pba35-l14590,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00261,pba35-w1150
age,"But my Distress had never reach'd the Stage,",pba35-l14750, Had Heav'n reserv'd me to the present Age:,pba35-l14755,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00261,pba35-w1150
age,Hail! father of the British stage! ,o4546-l00355," Thro' each successive wond'ring age,",o4546-l00365,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b>b<b>a</b>bccddee,pers00304,o4546-w0010
age,Tho' FALSTAFF should forsake the stage.,o5153-l29595,"And real humour charm the age,",o5153-l29590,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00038,o5153-w0500
wage,"No longer shall she Toil upon the Stage,",o3309-l00025,And fruitless War with Vice and Folly wage;,o3309-l00030,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00339,o3309-w0010
engage," And hopes, like Murphy, to adorn the stage. ",o5280-l04940,"The Drama now his constant thoughts engage,",o5280-l04930,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b>a<b>a</b>,pers00277,o5280-w0330
page," And hopes, like Murphy, to adorn the stage. ",o5280-l04940," With eager eye he rifles Shakspeare's page,",o5280-l04935,/eɪdʒ/ | /eɪdʒ/,full,a<b>a</b><b>a</b>,pers00277,o5280-w0330
age, She makes the Head her latest Stage. ,pmp18-l32080," From thence, compell'd by Craft and Age,",pmp18-l32075,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
age," That Children tread this Worldly Stage,",pmp18-l32215,"Now mark, Dear Richard, from the Age",pmp18-l32210,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
presage," 'Tis like a parcel sent you by the stage,",o3794-l22250," Some handsome present, as your hopes presage,",o3794-l22255,/eɪdʒ/ | /esɪdʒ/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0070
age," God's work may serve an ape upon a stage,",o3794-l24405,"No — shame upon a self-disgracing age,",o3794-l24400,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
rage, Again thy spirit fill the comic stage. ,o4985-l09795,Again thy looks might grace the tragic rage;,o4985-l09790,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
age, The second Oldfield of a sinking stage! ,o4985-l10765,"Farewel the glory of a wondering age,",o4985-l10760,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
rage,"And all the world is Folly's stage,",o5156-l16570,"Weak Reason yields to Phrenzy's rage,",o5156-l16565,/eɪdʒ/ | /eɪdʒ/,full,aab<b>c</b><b>c</b>b,pers00097;pers00044,o5156-w0570
rage,The buskin'd heroes of the mimic stage,o4600-l00035," No longer whine in love, and rant in rage;",o4600-l00040,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
age, Cash hath been rudely banish'd from the stage;,o4600-l00120,WHAT can an actor give? in ev'ry age,o4600-l00115,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
age,"By Fortune thrown on any other stage,",o4600-l01175," He might, perhaps, have pleas'd an easy age;",o4600-l01180,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
rage," Whet their small stings, and buzz about the stage. ",o4600-l01560," At once they rise with impotence of rage,",o4600-l01555,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
rage,"FORM'D for the tragic scene, to grace the stage,",o4600-l02285," With rival excellence of Love and Rage,",o4600-l02290,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
age," The grand minute reformers of the stage,",o4600-l02570,"THE nice punctilio-mongers of this age,",o4600-l02565,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
age," Who, having lost all relish for the stage,",o4600-l03045," See not their own defects, but lash the age,",o4600-l03050,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
rage,"Heavy and phlegmatic he trod the Stage,",o4600-l03225," Too proud for tenderness, too dull for rage. ",o4600-l03230,/eɪdʒ/ | /eɪdʒ/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
