r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
air, The Fortune-hunters do so stare;,o4784-l08855,"But I ne'er let them take the Air,",o4784-l08850,/eə/ | /eə/,full,<b>a</b><b>a</b>a,pers00268,o4784-w0200
are, The Fortune-hunters do so stare;,o4784-l08855, And Heiresses indeed they are. ,o4784-l08860,/eə/ | /ɑː/,half-pararhyme,a<b>a</b><b>a</b>,pers00268,o4784-w0200
air,"Bright eyes were intended to languish, not stare,",o5155-l19295,"What means the cock'd hat, and the masculine air,",o5155-l19285,/eə/ | /eə/,full,abab<b>c</b>d<b>c</b>d,pers00038,o5155-w0240
chair," Fix on the wainscot a distressful stare,",o3794-l21305," I twirl my thumbs, fall back into my chair,",o3794-l21300,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
ware," Having unloaded and made many stare,",o3794-l21875,"A great retailer of this curious ware,",o3794-l21870,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
there," As at some Ghost affrighted, start and stare,",o4110-l00325, And ask the meaning of her coming there;,o4110-l00330,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
elbow-chair," With an insipid kind of stupid stare,",o3585-l00040," And lolling backward in his Elbow-chair,",o3585-l00035,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00155,o3585-w0010
fair,"With musing-deep, astonish'd stare,",cbu86-l07310, I view'd the heavenly-seeming Fair;,cbu86-l07315,/eə/ | /eə/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0100
bear,"With musing-deep, astonish'd stare,",cbu86-l07310, A whisp'ring throb did witness bear,cbu86-l07320,/eə/ | /eə/,full,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0100
air,"With musing-deep, astonish'd stare,",cbu86-l07310, When with an elder Sister's air,cbu86-l07330,/eə/ | /eə/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0100
declare, Which made us aft wi' wonder stare. ,bjl92-l10405," Did truth in mystic terms declare,",bjl92-l10400,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0440
