r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
feel,No Lion's force; not temper'd steel,o4091-l24280,Forgive the guilt thou ne'er canst feel! ,o4091-l24290,/iːl/ | /iːl/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
feel," Whose hearts stern av'rice strove in vain to steel,",yfs88-l01255, And bless'd with souls disdaining not to feel;,yfs88-l01260,/iːl/ | /iːl/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
feel," Grief sharper than the tyrants steel,",o4546-l00030,A soul by nature form'd to feel,o4546-l00025,/iːl/ | /iːl/,full,abab<b>c</b><b>c</b>ddee,pers00304,o4546-w0010
feel," Devouring flames, and murd'ring steel! ",o5089-l34340, The naked and forlorn must feel,o5089-l34335,/iːl/ | /iːl/,full,aabbcc<b>d</b><b>d</b>,pers00185,o5089-w0720
zeal,"She pois'd th' impetuous Warrior's vengeful steel,",o5154-l08630,"Mark'd true Ambition from destructive Zeal,",o5154-l08635,/iːl/ | /iːl/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
ploughman-chiel,"Nae mercy, then, for airn or steel;",cbu86-l01555," The brawnie, banie, ploughman-chiel",cbu86-l01560,/iːl/ | /iːl/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0020
wheel,"Nae mercy, then, for airn or steel;",cbu86-l01555," Brings hard owrehip, wi' sturdy wheel,",cbu86-l01565,/iːl/ | /iːl/,full,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0020
reel,"Nae mercy, then, for airn or steel;",cbu86-l01555, Till block an' studdie ring an' reel,cbu86-l01575,/iːl/ | /iːl/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0020
feel," ""And arms the breast with steel:",o4986-l02190,""" Unknowing wretches feel! ",o4986-l02205,/iːl/ | /iːl/,full,aa<b>b</b>cc<b>b</b>,pers00237,o4986-w0030
wheel,"Nor strikes the flint, nor whirls the steel",o4984-l03165," Of that strange spark-emitting wheel,",o4984-l03170,/iːl/ | /iːl/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
