r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
fears," From East to West, o'er Rocks and Quicksands steers;",o4741-l00640," 'Tis Poverty, and that alone, he fears;",o4741-l00645,/ɪəz/ | /ɪəz/,full,<b>a</b><b>a</b>,pers00091,o4741-w0020
fears," His quicken'd, onward course he steers. ",o4091-l22830, Hush'd were his sorrows and his fears;,o4091-l22820,/ɪəz/ | /ɪəz/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
sears," Where duty bids he confidently steers,",o3794-l32105," He holds no parley with unmanly sears,",o3794-l32100,/ɪəz/ | /ɪəz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0300
fears,"To Padan-aram now his course he steers,",pjo50-l10635, His hopes succeeded by a thousand fears;,pjo50-l10640,/ɪəz/ | /ɪəz/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0430
peers," Praise Him, who your agreeing Council steers,",o4784-l21210, And You Hereditary Peers! ,o4784-l21200,/ɪəz/ | /ɪəz/,full,a<b>b</b>a<b>b</b>b,pers00268,o4784-w0640
spheres," Praise Him, who your agreeing Council steers,",o4784-l21210, Producing sweeter Sounds than the according Spheres. ,o4784-l21215,/ɪəz/ | /ɪəz/,full,aba<b>b</b><b>b</b>,pers00268,o4784-w0640
tears, Let me — where slow meander steers,o5400-l04140," Augment the water with my tears,",o5400-l04150,/ɪəz/ | /ɪəz/,full,abab<b>c</b>d<b>c</b>d,pers00345,o5400-w0010
fears, Rides the bark which virtue steers. ,o4984-l36245," Safe, thro' seas of doubts and fears,",o4984-l36240,/ɪəz/ | /ɪəz/,full,<b>a</b><b>a</b>,pers00090,o4984-w0680
wears, Where by tall groves his foamy flood he steers,o4671-l07705," Through ponderous arches o'er impetuous wears,",o4671-l07710,/ɪəz/ | /eəz/,half-pararhyme,<b>a</b><b>a</b>,pers00337,o4671-w0010
fears," With steady hand th' experienc'd Pilot Steers,",o4299-l01000," And laughs in Northern Waves at Southern Fears,",o4299-l01005,/ɪəz/ | /ɪəz/,full,<b>a</b><b>a</b>,pers00346,o4299-w0010
fears,And as the skilful pilot steers,o5156-l29950,"Wide of the dreadful rocks he fears,",o5156-l29955,/ɪəz/ | /ɪəz/,full,<b>a</b><b>a</b>,pers00108,o5156-w0820
