r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
feel," And hear a Whisper ""Peace, be still."" ",o3900-l17935, My Soul a sudden Calm shall feel,o3900-l17930,/ɪl/ | /iːl/,half-pararhyme,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
mysel," Tho' I maun own, as monie still,",cbu86-l15765,"I winna blaw about mysel,",cbu86-l15745,/ɪl/ | /aɪsəl/,half-pararhyme,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0270
tell," Tho' I maun own, as monie still,",cbu86-l15765, As ill I like my fauts to tell;,cbu86-l15750,/ɪl/ | /el/,half-pararhyme,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0270
well," Tho' I maun own, as monie still,",cbu86-l15765," But friends an' folk that wish me well,",cbu86-l15755,/ɪl/ | /el/,half-pararhyme,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0270
mill, And all Nature lies quiet and still;,o4985-l11185," But, at distance, the clack of a mill:",o4985-l11195,/ɪl/ | /ɪl/,full,a<b>b</b>a<b>b</b>,pers00167,o4985-w0160
will," Conscious of Merit he pursu'd her still,",o5125-l19615, And only thought her Tongue bely'd her Will:,o5125-l19620,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
hill,"Beams not bright beauty brighter still,",o4546-l00735, From the high summit of yon hill? ,o4546-l00740,/ɪl/ | /ɪl/,full,ababcc<b>d</b><b>d</b>ee,pers00304,o4546-w0010
ill,"Concluding wisely, she's in danger still,",ppo24-l05190, From the meer Neighbourhood of industrious Ill;,ppo24-l05195,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0040
gill,"Fortune, if thou'll but gie me still",cbu86-l01855," Hale breeks, a scone, an' whisky gill,",cbu86-l01860,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0020
will,"Fortune, if thou'll but gie me still",cbu86-l01855," An' rowth o' rhyme to rave at will,",cbu86-l01865,/ɪl/ | /ɪl/,full,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0020
skill,"Fortune, if thou'll but gie me still",cbu86-l01855, An' deal't about as thy blind skill,cbu86-l01875,/ɪl/ | /ɪl/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0020
skill,"Aloft in Air she sate, provoking still",sap09-l02565, From thee I learn no more to vaunt my skill. ,sap09-l02560,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00302,sap09-w0050
will," Amidst our Plenty, Something still",pmp18-l13530,Against our Peace We arm our Will:,pmp18-l13525,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0480
hill,"Ah, let the happy court the morning still,",bhw18-l15670," She bids fresh beauty light the vale or hill,",bhw18-l15680,/ɪl/ | /ɪl/,full,abab<b>c</b>d<b>c</b>defefgg,pers00276,bhw18-w0190
fulfil," He notes a Calm; the Winds and Waves were still,",o4784-l09655," And promis'd what the Winds nor Waves fulfill,",o4784-l09660,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00268,o4784-w0230
will,Hence for some Years they ne'er stand still:,pmp18-l32250," Their Legs, You see, direct their Will. ",pmp18-l32255,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
ill, If in your Pocket He lay still. ,pmp18-l34055," T'other would take it wond'rous ill,",pmp18-l34050,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
skill, He lets that Weapon ne'er lie still. ,pmp18-l35055," Pleas'd with his own fantastic Skill,",pmp18-l35050,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
hill, Those seldom move; These ne'er stand still. ,pmp18-l35905,"Of Men born South or North o'th' Hill,",pmp18-l35900,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
mathematic-wheel, His Buildings fall; his Ship stands still. ,pmp18-l37510, Or clog his Mathematic-Wheel;,pmp18-l37505,/ɪl/ | /iːl/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
will," He fac'd Men down, that He stood still. ",pmp18-l37830, Because He walk'd against his Will;,pmp18-l37825,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
ill,May I be so watchful still,o5454-l04110," As to speak and do no Ill,",o5454-l04120,/ɪl/ | /ɪl/,full,<b>a</b>b<b>a</b>b,pers00292,o5454-w0390
ill,"Say why, distrustful still,",o4984-l16510, O'er scenes of future ill. ,o4984-l16520,/ɪl/ | /ɪl/,full,a<b>b</b>a<b>b</b>,pers00045,o4984-w0260
ill,"Say why, distrustful still,",o4984-l16570, O'er scenes of future ill. ,o4984-l16580,/ɪl/ | /ɪl/,full,a<b>b</b>a<b>b</b>,pers00045,o4984-w0260
skill,"Others, like statues, in one posture still,",o4600-l02235, Give great ideas of the workman's skill;,o4600-l02240,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
skill," Confess'd thee great, but find thee greater still. ",o4600-l02670,"OFT have I, PRITCHARD, seen thy wond'rous skill,",o4600-l02665,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
skill," The right hand labours, and the left lies still. ",o4600-l02790," Whilst the mouth measures words with seeming skill,",o4600-l02785,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
will," Whom still with unslack'd hate we view, and still,",o4110-l02145," The pow'r of mischief lost, retain the will;",o4110-l02150,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
ill," These vile injurious taunts, and bear them still,",o4110-l02200," Long have we born this mighty weight of ill,",o4110-l02195,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
smile,"Yet fondly follow your dear image still,",o5154-l24420,"Fancy I hear you speak, I see you smile:",o5154-l24425,/ɪl/ | /aɪl/,half-pararhyme,<b>a</b><b>a</b>,pers00106,o5154-w0380
fill, And Sisyphus's Stone stood still;,pba35-l06190, The Danaids no longer fill;,pba35-l06185,/ɪl/ | /ɪl/,full,<b>a</b><b>a</b>,pers00087,pba35-w0440
