r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
bring,And use can blunt affliction's sting;,o5153-l22910,"Distaste unmingled pleasures bring,",o5153-l22905,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
wing," Despair, as public discourd ceas'd to sting,",yfs88-l00815, Beat the retiring gloom with raven wing;,yfs88-l00820,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
wing, And not the Malice of Thy Sting:,pmp18-l38490," The turns of Thy uncertain Wing,",pmp18-l38485,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
thing," But we that make no honey though we sting,",o3794-l22170," Poets, are sometimes apt to mawl the thing. ",o3794-l22175,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
wing,In vain did Envy point her scorpion sting;,o4985-l10190, In vain did Malice shake her blasting wing:,o4985-l10195,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
wing,"Behold what soon disarms the childish sting,",o4985-l10600, And plucks the wanton plume from Cupid's wing! ,o4985-l10605,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
thing, And in her neck he plung'd his sting. ,o4987-l15505," Enrag'd the little, jealous thing,",o4987-l15500,/ɪŋ/ | /ɪŋ/,full,aa<b>b</b><b>b</b>,pers00202,o4987-w0550
spring, In the draught disappointment will sting. ,pmt18-l18905," Salt mixtures embitter the spring,",pmt18-l18895,/ɪŋ/ | /ɪŋ/,full,a<b>b</b>a<b>b</b>,pers00320,pmt18-w0250
wing," For when grim Death has lost his Sting,",o4672-l01750,Our Souls are rising on the Wing,o4672-l01740,/ɪŋ/ | /ɪŋ/,full,<b>a</b>b<b>a</b>b,pers00292,o4672-w0090
wing," And Death had lost his Sting,",o4672-l01785, And chide his lazy Wing. ,o4672-l01795,/ɪŋ/ | /ɪŋ/,full,a<b>b</b>a<b>b</b>,pers00292,o4672-w0090
ring,"Think what remorse thy maddening thoughts shall sting,",n27tc-l05140," Where shalt thou sink, when ling'ring echoes ring",n27tc-l05150,/ɪŋ/ | /ɪŋ/,full,<b>a</b>b<b>a</b>b,pers00316,n27tc-w0030
bring, And thro' the helpless sleeper dart the sting;,pye85-l06875,"The pois'nous reptiles here their mischiefs bring,",pye85-l06870,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00256,pye85-w0170
spring," But though thy heart the pangs of doubt may sting,",pmt18-l08890, Immortal beauty's never failing spring;,pmt18-l08880,/ɪŋ/ | /ɪŋ/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0023
bring," But though thy heart the pangs of doubt may sting,",pmt18-l08890, Thy faithful knight shall yet thy steps in safety bring. ,pmt18-l08895,/ɪŋ/ | /ɪŋ/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0023
spring,Guard thy best treasure from the venomed sting,pmt18-l14420, With cheerful promise of returning spring,pmt18-l14410,/ɪŋ/ | /ɪŋ/,full,abab<b>c</b>d<b>c</b>dd,pers00320,pmt18-w0025
spring," Repulsed the malice of their deadly sting,",pmt18-l06955," Now rushed before her with resistless spring,",pmt18-l06945,/ɪŋ/ | /ɪŋ/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0022
fling," Repulsed the malice of their deadly sting,",pmt18-l06955, While sparks of wrathful fire from their fierce jaws they fling. ,pmt18-l06960,/ɪŋ/ | /ɪŋ/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0022
wing,Has Venom in its Sting. ,pmc36-l03550, Brings Age upon its Wing:,pmc36-l03540,/ɪŋ/ | /ɪŋ/,full,a<b>b</b>a<b>b</b>,pers00325,pmc36-w0100
fling," Not unallay'd the hov'ring mis'ries sting,",o5137-l00715," And o'er it, joys their downy mantle fling. ",o5137-l00725,/ɪŋ/ | /ɪŋ/,full,a<b>b</b>a<b>b</b>,pers00284,o5137-w0010
spring,"That sharpens malice, and directs her sting,",o5156-l17515,And thence the honey'd streams of flattery spring.,o5156-l17520,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00106,o5156-w0590
sing,And leave their satire's pois'nous sting,o5157-l37485,In plaintive elegies to sing:,o5157-l37490,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00041,o5157-w0830
king," To life's dark ills, and care's corroding sting. ",o4987-l22815,"Subject alike, the peasant and the king,",o4987-l22810,/ɪŋ/ | /ɪŋ/,full,<b>a</b><b>a</b>,pers00220,o4987-w0740
