r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
soul, When from thy eyes the subtle softness stole,bah18-l03855," Into this throbbing breast, and seiz'd my captive soul. ",bah18-l03860,/əʊl/ | /əʊl/,full,aa<b>b</b><b>b</b>,pers00281,bah18-w0180
soul, Polyphon's Image on her Fancy stole,o5125-l19540, With thousand Beauties in his taintless Soul;,o5125-l19545,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00154,o5125-w0510
pole, Or sweep the ground with lazy stole. ,o4546-l00420," That spreads itself from pole to pole,",o4546-l00410,/əʊl/ | /əʊl/,full,a<b>b</b>a<b>b</b>ccddee,pers00304,o4546-w0010
soul,"Or with him to his silent villa stole,",o5154-l08690,"Gilded his ev'ning hours, and harmoniz'd his soul.",o5154-l08695,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
control,"The reins of Empire, or resign'd or stole,",o5154-l10400,Are trusted next to JAMES'S weak controul;,o5154-l10405,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00042,o5154-w0140
soul,"Quick to my Heart the subtle Poison stole,",o5247-l05005," Charm'd all my Senses, and enslav'd my Soul;",o5247-l05010,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00295,o5247-w0260
soul,While the dear Songstress had melodious stole,o4739-l02925," Thy Bard, in silent ecstacy of soul,",o4739-l02935,/əʊl/ | /əʊl/,full,<b>a</b>b<b>a</b>b,pers00285,o4739-w0130
dole, His very soul was not his own; he stole,pcr18-l12350," As others order'd, and without a dole;",pcr18-l12355,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
soul," The pompous strain, the sacredotal stole;",cbu86-l10590," May hear, well pleas'd, the language of the Soul;",cbu86-l10600,/əʊl/ | /əʊl/,full,ababb<b>c</b>b<b>c</b>c,pers00307,cbu86-w0130
enrol," The pompous strain, the sacredotal stole;",cbu86-l10590, And in His Book of Life the Inmates poor enroll. ,cbu86-l10605,/əʊl/ | /əʊl/,full,ababb<b>c</b>bc<b>c</b>,pers00307,cbu86-w0130
control,Hence rose the gloom which oft o'er Psyche stole,pmt18-l09060," Should careless slight affection's soft control,",pmt18-l09070,/əʊl/ | /əʊl/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0023
soul,Hence rose the gloom which oft o'er Psyche stole,pmt18-l09060, Or she long absent lose her influence o'er his soul. ,pmt18-l09075,/əʊl/ | /əʊl/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0023
roll," Changed to a serpent's hideous form, he stole",pmt18-l10810, His poisonous involutions round her roll:,pmt18-l10820,/əʊl/ | /əʊl/,full,abab<b>c</b>d<b>c</b>dd,pers00320,pmt18-w0023
control,O'er all their senses stole.,o5154-l25610,And felt its just controul:,o5154-l25595,/əʊl/ | /əʊl/,full,aa<b>b</b>cc<b>b</b>,pers00085,o5154-w0420
soul,"Where British sighs from dying WYNDHAM stole,",o5154-l00055,And the bright flame was shot thro' MARCHMONT'S soul.,o5154-l00060,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00012,o5154-w0010
control," But with false title, which she artful stole",pmt18-l15280, Persuades her to adore their queen's control;,pmt18-l15270,/əʊl/ | /əʊl/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0025
soul," But with false title, which she artful stole",pmt18-l15280," From fair Philosophy, deludes the erring soul. ",pmt18-l15285,/əʊl/ | /əʊl/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0025
soul,"Wrathful behind the guilty shade I stole,",o4987-l31400," Too late I saw the idol of my soul,",o4987-l31410,/əʊl/ | /əʊl/,full,<b>a</b>b<b>a</b>b,pers00224,o4987-w0860
roll, While melting fondness o'er the bosom stole? ,pmt18-l07390, Abridge the hours which must in absence roll? ,pmt18-l07400,/əʊl/ | /əʊl/,full,abab<b>c</b>d<b>c</b>dd,pers00320,pmt18-w0022
soul,"Whilst I a thousand Kisses stole,",oau90-l03510,"And every Kiss was worth a Soul,",oau90-l03515,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00350,oau90-w0080
soul," Thro' glades and glooms the mingled measure stole,",o4985-l04635, Pour'd thro' the mellow horn her pensive soul:,o4985-l04620,/əʊl/ | /əʊl/,full,aabb<b>c</b>dd<b>c</b>effeghihigkkkllmnomoxqqnrssttr,pers00048,o4985-w0110
soul," A philosophic calmness stole,",o4985-l37035,"While thus I spake, o'er all my soul",o4985-l37030,/əʊl/ | /əʊl/,full,aab<b>c</b><b>c</b>b,pers00038,o4985-w0580
shoal," But they shall nothing lose by what I stole,",pdi12-l01060, For to their Boats I drive a numerous Shoal. ,pdi12-l01065,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00266,pdi12-w0030
soul,Nor ever one good thought but what he stole;,oau90-l17420,"What is his own has neither Plot nor Soul,",oau90-l17415,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00350,oau90-w0580
soul, O'er the cords of my heart so bewitchingly stole. ,pmt18-l20365,And where is the smile that enchanted my soul? ,pmt18-l20350,/əʊl/ | /əʊl/,full,a<b>b</b>ab<b>b</b>,pers00320,pmt18-w0320
control, O'er the cords of my heart so bewitchingly stole. ,pmt18-l20365, Nor meet the soft glance which with magic control,pmt18-l20360,/əʊl/ | /əʊl/,full,aba<b>b</b><b>b</b>,pers00320,pmt18-w0320
pole," ""There in her azure coif and starry stole,",o4671-l02735," Grey TWILIGHT sits, and rules the slumbering Pole;",o4671-l02740,/əʊl/ | /əʊl/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
