r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
hours,"If mindful to increase thy mental stores,",bed98-l19780,Thou diligently caught the flying hours;,bed98-l19785,/ɔːz/ | /æəz/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0620
shores,"And either India speeds her precious stores,",o5152-l25675,'Midst various dangers safe to Britain's shores.,o5152-l25680,/ɔːz/ | /ɔːz/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
pours," Fames courts your grasp, and fortune swells your stores;",yfs88-l00330," Ah! think, for you, what blessings nature pours,",yfs88-l00325,/ɔːz/ | /ɔːz/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
explores, Rescuing from oblivion occult stores:,o4039-l06605, Unheeded by the vulgar mind — explores. ,o4039-l06615,/ɔːz/ | /ɔːz/,full,a<b>b</b>a<b>b</b>,pers00289,o4039-w0220
bowers, And honey'd streams revolve their milky stores;,o4985-l21020, And over-arching form delicious bowers;,o4985-l21010,/ɔːz/ | /aʊəz/,half-pararhyme,ababc<b>d</b>c<b>d</b>ee,pers00058,o4985-w0300
doors,Enjoy her pleasing stores —,o5156-l02500,Temperance should guard the doors;,o5156-l02485,/ɔːz/ | /ɔːz/,full,<b>a</b>bb<b>a</b>,pers00035,o5156-w0050
hours,I spread my little stores;,bed98-l18985,With hopes of happier hours.,bed98-l18995,/ɔːz/ | /æəz/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00340,bed98-w0560
hours,"""From bounteous nature's unexhausted stores",o5154-l01370,"""Averse to her, you waste the joyless hours;",o5154-l01380,/ɔːz/ | /æəz/,half-pararhyme,<b>a</b>b<b>a</b>bcdcdee,pers00031,o5154-w0050
roars,"Old Satan lent them fiery Stores,",o4672-l00715," And all that burns, and all that roars,",o4672-l00725,/ɔːz/ | /ɔːz/,full,<b>a</b>b<b>a</b>b,pers00292,o4672-w0040
doors," All creatures batten o'er their stores,",psm63-l01880, And careful nature all her doors,psm63-l01885,/ɔːz/ | /ɔːz/,full,aab<b>c</b><b>c</b>b,pers00254,psm63-w0010
