r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
life," Amidst a world of follies, flatt'ries, cares, and strife;",o5089-l25695," If conduct blameless, and unblemish'd life,",o5089-l25685,/aɪf/ | /aɪf/,full,<b>a</b>a<b>a</b>,pers00184,o5089-w0570
wife," Amidst a world of follies, flatt'ries, cares, and strife;",o5089-l25695," In every state of virgin, widow, wife;",o5089-l25690,/aɪf/ | /aɪf/,full,a<b>a</b><b>a</b>,pers00184,o5089-w0570
life," From passion's fell, conflicting strife. ",o4091-l26050, Had rais'd his hand against his life;,o4091-l26040,/aɪf/ | /aɪf/,full,x<b>a</b>x<b>a</b>,pers00305,o4091-w0020
life,"Pleasure's and pain's eternal strife,",o5152-l18755,"Ah me! the heats and colds of life,",o5152-l18750,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00101,o5152-w0230
wife,Secure in ignorance from strife.,o5153-l23440,"Or husband trust a faithless wife,",o5153-l23435,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
life, While clashing int'rests urge perpetual strife. ,cac95-l06070," Hunting for fame, they idly sport with life,",cac95-l06065,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
life,"Nor yet for this decline the gen'rous strife,",o5152-l04270,"These ill, brave man, shall quit thee with thy life;",o5152-l04275,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00011,o5152-w0060
life, And thus you may prevent all Strife,pco62-l03745, And lead a Sweet contented life. ,pco62-l03750,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00293,pco62-w0040
life,For vanity's the source of strife.,pro75-l05620,"Amid the throng of busy life,",pro75-l05610,/aɪf/ | /aɪf/,full,a<b>b</b>a<b>b</b>,pers00271,pro75-w0280
life,"Averse to publick noise, ambition's strife,",o5152-l25465,"And all the splendid ills of busy life,",o5152-l25470,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
life," A friend to harmony, a foe to strife. ",pjo50-l07995," Of manners simple, uncorrupt of life,",pjo50-l07990,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0280
life,"Now bloody was the Day, and hard the Strife,",o4784-l23735, Wherein bold Warriors lost neglected Life:,o4784-l23740,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00268,o4784-w0830
life, She mourn'd the ravage of internal strife. ,yfs88-l00920," Yet, as the conquering goddess soar'd to life,",yfs88-l00915,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00317,yfs88-w0010
life," With mental and corporeal strife,",o5089-l25115, And screen me from the ills of life. ,o5089-l25125,/aɪf/ | /aɪf/,full,a<b>b</b>a<b>b</b>,pers00029,o5089-w0540
life," Unknown to stormy passion, or to strife,",o3913-l00120,"Calm and serene thou led thy peaceful life,",o3913-l00110,/aɪf/ | /aɪf/,full,<b>a</b>b<b>a</b>b,pers00304,o3913-w0010
life," Nor stung by Envy, nor annoy'd by Strife;",o4091-l22510,"Bless'd may'st thou be through a long, blameless life,",o4091-l22505,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00305,o4091-w0010
life,Stake his luxurious fortunes in the strife?,o5157-l02720,Durst one in counsels pledge his life?,o5157-l02715,/aɪf/ | /aɪf/,full,aabbccd<b>e</b><b>e</b>d,pers00047,o5157-w0020
wife, With Ease I could compose this Strife:,pmp18-l33865,"Why, Paris took Atrides' Wife —",pmp18-l33860,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
life," And with incessant Toil and Strife,",pmp18-l36905, Would keep Possession during Life. ,pmp18-l36910,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
life," Enter Revenge, Ambition, Strife:",pmp18-l38210, And here begins this Farce of Life;,pmp18-l38205,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
life,"Oaths terminate, as Paul observes, all strife —",o3794-l21000," Some men have surely then a peaceful life,",o3794-l21005,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
life," Though blameless, had incurred perpetual strife,",o3794-l23285," They spake of him they loved, of him whose life",o3794-l23280,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
life," And lips unstained by folly or by strife,",o3794-l23540," Whose wisdom drawn from the deep well of life,",o3794-l23545,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
life, I'll hold with her a generous strife;,bjb18-l18795,Yet be it so! once in my life,bjb18-l18790,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0440
life," We there might see the hidden Seeds of Strife,",ppo24-l07410, And Woes in Embryo rip'ning into Life;,ppo24-l07415,/aɪf/ | /aɪf/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0070
