r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
drive, Yon distant Rain. Shore-ward the Vessels strive;,sap09-l03480," And, see, the Boys their Flocks to Shelter drive. ",sap09-l03485,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>,pers00302,sap09-w0060
thrive,"IN vain, dear Madam, yes in vain you strive;",o5125-l03345, Alas! to make your luckless Mira thrive. ,o5125-l03350,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>,pers00154,o5125-w0120
alive,He shakes with cold — you stir the fire and strive,o3794-l22390, To make a blaze — that's roasting him alive. ,o3794-l22395,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
revive,Yet restless Discord would unconquer'd strive,pdi22-l12365, The dying Sparks of Fury to revive. ,pdi22-l12370,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
alive,"Strive in Joy with Angels strive,",o3900-l12245," Dead She was, but now's alive,",o3900-l12250,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w0660
revive," ""Would men forsake us, and would women strive",pcr18-l11020,""" To help the fall'n, their virtue might revive. "" ",pcr18-l11025,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
thrive,"Others again with crouds contentious strive,",o5089-l04315, And thro' mere dint of opposition thrive;,o5089-l04320,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>,pers00058,o5089-w0050
alive,The laurels with the winter strive;,psm63-l01805, The crocus burnishes alive,psm63-l01810,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>bccb,pers00254,psm63-w0010
half-alive," To make me Sport, as I beheld them strive,",o4784-l04640, And some observ'd (thro' Age) but Half-alive;,o4784-l04645,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>,pers00268,o4784-w0100
alive,"We, who for longer fame with labour strive,",pcr18-l07330, Are pain'd to keep our sickly works alive;,pcr18-l07335,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0030
alive,"While the dull features, big with archness, strive",o5152-l38790,"In vain, the forc'd half-smile to keep alive.",o5152-l38795,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
alive," By your Example struck, to GOD they strive",o3900-l07280," To live, no longer to Themselves alive. ",o3900-l07285,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>,pers00311,o3900-w0440
arrive,Of Happy Souls (since they that earliest strive,oat77-l04085,"To reach that Stage, are late e're they Arrive)",oat77-l04090,/aɪv/ | /aɪv/,full,aabccddeffggehhiijbbjk<b>l</b><b>l</b>kmmk,pers00344,oat77-w0230
revive, Again with penury they're doom'd to strive. ,o3914-l00320," But by her death alas! their woes revive,",o3914-l00315,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>,pers00277,o3914-w0010
alive, Nor can for victory strive;,pma99-l01020, By Christ we're made alive. ,pma99-l01030,/aɪv/ | /aɪv/,full,a<b>b</b>a<b>b</b>,pers00306,pma99-w0040
alive,Yet against this Disorder we all ought to strive:,pba35-l01875," Were I in her Case, I'd been bury'd alive. ",pba35-l01880,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>,pers00087,pba35-w0090
alive,"When on the Stage two doubtful Princes strive,",o4741-l23825," Each seeking Death, to keep his Friend alive:",o4741-l23830,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>,pers00091,o4741-w0460
arrive," Fortune, thy suppliant shall strive",bah18-l03460,"IF ere the moment should arrive,",bah18-l03450,/aɪv/ | /aɪv/,full,<b>a</b>b<b>a</b>b,pers00281,bah18-w0160
drive," Hog-shouther, jundie, stretch an' strive,",cbu86-l16950,"The warly race may drudge an' drive,",cbu86-l16945,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0290
describe," Hog-shouther, jundie, stretch an' strive,",cbu86-l16950," Let me fair NATURE'S face descrive,",cbu86-l16955,/aɪv/ | /aɪv/,full,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0290
hive," Hog-shouther, jundie, stretch an' strive,",cbu86-l16950," Shall let the busy, grumbling hive",cbu86-l16965,/aɪv/ | /aɪv/,full,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0290
five,"At Westminster, where little poets strive",o3794-l02580," To set a distich upon six and five,",o3794-l02585,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
alive," 'Till the fierce Winds, that vainly strive",o4784-l24285," To shock thy Greatness whilst alive,",o4784-l24290,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>,pers00268,o4784-w0850
hive,So the industrious Bees do hourly strive,pco62-l01215, To bring their Loads of Honey to the Hive;,pco62-l01220,/aɪv/ | /aɪv/,full,<b>a</b><b>a</b>,pers00293,pco62-w0010
contrive,"Ah me, I find in vain I strive,",pyl90-l00325," Therefore this method I contrive,",pyl90-l00335,/aɪv/ | /aɪv/,full,abab<b>c</b>d<b>c</b>d,pers00322,pyl90-w0020
