r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
rhyme, My fancy yerket up sublime,cbu86-l05405,"Just now I've taen the fit o' rhyme,",cbu86-l05395,/aɪm/ | /aɪm/,full,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0080
prime, My fancy yerket up sublime,cbu86-l05405," My barmie noddle's working prime,",cbu86-l05400,/aɪm/ | /aɪm/,full,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0080
time, My fancy yerket up sublime,cbu86-l05405, Hae ye a leisure-moment's time,cbu86-l05415,/aɪm/ | /aɪm/,full,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0080
climb,"To make their diction pure, their thoughts sublime.",o5156-l09900,"No more Parnassus, but the Malvern climb,",o5156-l09895,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00120,o5156-w0380
mind," His Shape was faultless and his Brow sublime,",o5125-l19375, Lycander's Form was fairer than his Mind;,o5125-l19370,/aɪm/ | /aɪnd/,half-vowelrhyme,<b>a</b><b>a</b>,pers00154,o5125-w0510
prime,"Now borne upon the wings of truth, sublime,",o3794-l12315, Review thy dim original and prime;,o3794-l12320,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
climb," Of richest poesy, whose strains sublime",o4546-l00395, Already aim'd th' empyreum's height to climb. ,o4546-l00400,/aɪm/ | /aɪm/,full,ababccdd<b>e</b><b>e</b>,pers00304,o4546-w0010
crime, As if in sin we all were so sublime,oae86-l03225, As to monopolize each hainous crime;,oae86-l03230,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
rhyme," Whene'er I aim at heights sublime,",bjb18-l04970, Still downward am I called to seek some stubborn rhyme. ,bjb18-l04975,/aɪm/ | /aɪm/,full,aabb<b>c</b><b>c</b>,pers00287,bjb18-w0040
clime," Where Truth and Valour, simply, yet sublime,",bsb18-l13315, Adorn a Hero in the northern clime;,bsb18-l13320,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0180
clime,"Perhaps your Captive now, on wings sublime,",pjo50-l07840," Once more beholds his friends, and native clime;",pjo50-l07845,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00273,pjo50-w0280
time, Our Voice improving gains a Pitch sublime;,sap09-l02335," Mistrusting then our Skill. Yet, if thro' Time",sap09-l02330,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00302,sap09-w0050
crime, For me to grasp a Subject so sublime:,oar96-l01220,BUt stay 'tis Sedley — and it were a crime,oar96-l01215,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>bbcc,pers00265,oar96-w0090
climb, Boldly to scale his top sublime! ,o4984-l04340,"'Twere glorious now his side to climb,",o4984-l04335,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
mine," Points my once cheerless soul to views sublime,",pye85-l02110,"Hope, lovely phantom! is, and shall be mine,",pye85-l02100,/aɪm/ | /aɪn/,half-vowelrhyme,<b>a</b>b<b>a</b>b,pers00256,pye85-w0050
time, Matched against truths as lasting as sublime? ,o3794-l23465,Well — what are ages and the lapse of time,o3794-l23460,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00269,o3794-w0070
time,"CLOTHED in majesty sublime,",bjb18-l31935," And, through the wreckful course of time,",bjb18-l31945,/aɪm/ | /aɪm/,full,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0930
rhyme,High soars in Pope the true sublime;,o5153-l25240,A Bavius crawls in doggrel rhyme.,o5153-l25250,/aɪm/ | /aɪm/,full,a<b>b</b>a<b>b</b>cc,pers00119,o5153-w0410
clime, The Virtues rose unsullied and sublime;,bhw18-l01260,"Nor less, PERUVIA, for thy favour'd clime,",bhw18-l01255,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
crime,"Yet for such meaner arts too lofty and sublime,",o5154-l02245,Bears unabash'd her front; and glories in her crime.,o5154-l02255,/aɪm/ | /aɪm/,full,aabbccdde<b>f</b>e<b>f</b>,pers00031,o5154-w0060
time," Of sounding chords, and song sublime,",o4987-l02850," Thro' all the lofty tale of time,",o4987-l02840,/aɪm/ | /aɪm/,full,a<b>b</b>a<b>b</b>,pers00057,o4987-w0070
time,"Where Spencer sits among your thrones sublime,",o4987-l03095," Listening ye weep for his ungrateful time,",o4987-l03105,/aɪm/ | /aɪm/,full,<b>a</b>b<b>a</b>b,pers00057,o4987-w0070
time,"The land where Truth, pure, precious, and sublime,",n27tc-l04940," And warriors, matchless since the first of Time,",n27tc-l04950,/aɪm/ | /aɪm/,full,<b>a</b>b<b>a</b>b,pers00316,n27tc-w0030
time," Not one who slowly gain'd the hill sublime,",pcr18-l09220, Then often sipp'd and little at a time;,pcr18-l09225,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
time, When humble Christians died with views sublime;,pcr18-l15765,"There was, 't is said, and I believe, a time,",pcr18-l15760,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
time,"YE towering hills, whose front sublime",pcm93-l08940," Whose summits, braving envious time,",pcm93-l08950,/aɪm/ | /aɪm/,full,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0190
time, In vain unlock that wealth sublime,bhw18-l19240, Immortal genius wrests from time: —,bhw18-l19245,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0480
time," That strikes the soul, with truth sublime,",o4739-l04905, As 'twere the whisp'ring TONGUE of TIME:,o4739-l04910,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00285,o4739-w0190
time,"Like suns, unquench'd, unrival'd and sublime,",o5156-l36360,"They roll, immortal, o'er the wastes of time:",o5156-l36365,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00010,o5156-w1130
chime," Damn'd bad, damn'd good, damn'd low, and damn'd sublime! ",o5089-l15460,"One epithet supplies their constant chime,",o5089-l15455,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00038,o5089-w0240
time, His spells are blessings — witch'ries so sublime,o4739-l04235," They triumph o'er distress, and fate, and time. ",o4739-l04240,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00284,o4739-w0170
prime,"WHerefore was man thus form'd with eye sublime,",o5153-l33680,"But to contemplate nature in her prime,",o5153-l33690,/aɪm/ | /aɪm/,full,<b>a</b>b<b>a</b>bcc,pers00083,o5153-w0630
shine, Seem less sublime. ,bjl92-l10345," Thy brilliant shine,",bjl92-l10335,/aɪm/ | /aɪn/,half-vowelrhyme,aaa<b>b</b>a<b>b</b>,pers00338,bjl92-w0430
dream," Easie in Words thy Style, in Sense sublime:",pmp18-l14190," 'Tis like the Ladder in the Patriarch's Dream,",pmp18-l14200,/aɪm/ | /iːm/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00314,pmp18-w0540
time," I hear a lyre, whose source sublime",bhw18-l08185, Deep in the mystic clouds of time,bhw18-l08175,/aɪm/ | /aɪm/,full,aa<b>b</b>c<b>b</b>cdedeff,pers00276,bhw18-w0050
time, Shall soar on Fame's wide pinions all sublime;,o4039-l02865, Absorbs our little particle of time. ,o4039-l02875,/aɪm/ | /aɪm/,full,a<b>b</b>a<b>b</b>,pers00288,o4039-w0110
climb, Thou'rt there in majesty sublime;,pma99-l03445,"If to the Heav'n of Heavens I climb,",pma99-l03440,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>bb,pers00306,pma99-w0150
time,"For taste decrees what's low, and what's sublime:",o5152-l39025,"To judge aright of persons, place, and time;",o5152-l39020,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
time,"Foremost in Learning's ranks they sit sublime,",o5156-l10620,Honour'd and lov'd thro' every age of time:,o5156-l10625,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00118,o5156-w0420
time," ""How much man errs, whose soul, with thought sublime,",cac95-l02410,""" Looks on tow'rds endless bliss thro' boundless time! ",cac95-l02415,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00301,cac95-w0050
climb," Nor owns a Relish, but for Things sublime:",o4784-l06140," Whose soaring Mind do's to Perfections climb,",o4784-l06135,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00268,o4784-w0130
time,"Friendship alone remains sublime,",bah18-l00965, She rises o'er the wreck of time;,bah18-l00970,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>bbcc,pers00281,bah18-w0040
time," Warm, energic, chaste, sublime! ",o4985-l04845,"Arise, as in that elder time,",o4985-l04840,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00048,o4985-w0110
rhyme," Henceforth I'll strive to raise my Voice sublime,",o4741-l04135, And with her Royal Name adorn my Rhyme;,o4741-l04140,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00091,o4741-w0050
time," Virtue, in all her health sublime;",o4091-l26700," Proof against Fortune's wreck, or Time. ",o4091-l26710,/aɪm/ | /aɪm/,full,a<b>b</b>a<b>b</b>ccdd,pers00305,o4091-w0050
time,"Far be the thought — The pleasures most sublime,",o4986-l03440," The towering wish that scorns the bounds of time,",o4986-l03450,/aɪm/ | /aɪm/,full,<b>a</b>b<b>a</b>b,pers00237,o4986-w0040
time,"Ye venerable bowers, ye seats sublime,",o4984-l24290, Clad in the mossy vest of fleeting time;,o4984-l24295,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00053,o4984-w0440
climb,"But when a Passion's noble and sublime,",ppo24-l04180, And higher still would every Moment climb;,ppo24-l04185,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0030
rhime," Rural, Pathetic, Narrative, Sublime,",pmp18-l26635," We'll write to You, and make You write in Rhime:",pmp18-l26640,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>a,pers00314,pmp18-w0890
time," Rural, Pathetic, Narrative, Sublime,",pmp18-l26635, Female Remarks shall take up all Your Time. ,pmp18-l26645,/aɪm/ | /aɪm/,full,<b>a</b>a<b>a</b>,pers00314,pmp18-w0890
time," Or rocks immense of height sublime,",o5280-l05400," Coaeval they with hoary Time,",o5280-l05405,/aɪm/ | /aɪm/,full,aab<b>c</b><b>c</b>b,pers00277,o5280-w0340
clime, Where Science sits enshrin'd in roofs sublime —,o4984-l26775,"Thine too, majestic bride! the favour'd clime,",o4984-l26770,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00053,o4984-w0470
rhime," To themes more pertinent, if less sublime. ",o3794-l00995,"Vouchsafe, at least, to pitch the key of rhime",o3794-l00990,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
rhyme, Gracefully great and terribly sublime;,o3378-l00130," Now bursting o'er the bounds of vulgar Rhyme,",o3378-l00125,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00337,o3378-w0010
shrine," Her griefs were mortal, but her joys sublime:",bjl92-l08945,A parent's silver hairs bestrew thy shrine;,bjl92-l08940,/aɪm/ | /aɪn/,half-vowelrhyme,<b>a</b><b>a</b>,pers00338,bjl92-w0350
clime," Waved his vast mace in Virtue's cause sublime,",o4671-l01610," ""So mighty HERCULES o'er many a clime",o4671-l01605,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
time,Hence on ROUBILIAC's tomb shall Fame sublime,o4671-l03665," Wave her triumphant wings, and conquer Time;",o4671-l03670,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
climb," Sweep the long street, invest the tower sublime;",o4671-l08090,"XI.  ""From dome to dome when flames infuriate climb,",o4671-l08085,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
clime,"OR in itinerant cohorts, borne sublime",o4671-l09155," On tides of ether, float from clime to clime;",o4671-l09160,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
chime," When rapt CECILIA lifts her eye sublime,",o4671-l10290," Or trill in air the soft symphonious chime,",o4671-l10285,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
clime," Through glades exotic pass with step sublime,",o4671-l11955, Or mark the growths of Britain's happier clime;,o4671-l11960,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
time, The beam of wisdom's light sublime;,bah18-l05085,"Here first arose, in early time,",bah18-l05080,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>bb,pers00281,bah18-w0310
time,"Nor second He, that rode sublime",o5157-l39285,He pass'd the flaming bounds of Place and Time:,o5157-l39300,/aɪm/ | /aɪm/,full,<b>a</b>bb<b>a</b>ccddeeff,pers00039,o5157-w0880
clime,"Or borne on Milton's flight, as heaven sublime,",o4985-l24415," Bless the first pair in Eden's happy clime,",o4985-l24425,/aɪm/ | /aɪm/,full,<b>a</b>b<b>a</b>b,pers00208,o4985-w0350
rhyme,"Thus let me muse on things sublime,",o5155-l06580,"Above the flight of modern rhyme,",o5155-l06585,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00089,o5155-w0040
time,"With Wisdom's voice to print the page sublime,",o4671-l15790, And mark in adamant the steps of Time. ,o4671-l15795,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
crime,"Hear him, ye Senates! hear this truth sublime,",o4671-l19900," ""HE, WHO ALLOWS OPPRESSION, SHARES THE CRIME."" ",o4671-l19905,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
clime," O'er desert-sands, deep gulfs, and hills sublime,",o4671-l20590, Extends her massy wall from clime to clime;,o4671-l20595,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
time,"And actions, vicious or sublime,",bed98-l12860,"Shall live accurs'd, or blest, thro' time.",bed98-l12865,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00340,bed98-w0360
rhyme,"Blest be the Sons of Science, Nymph sublime! ",o4898-l00605," And solves the Problem, and suggests the Rhyme,",o4898-l00615,/aɪm/ | /aɪm/,full,<b>a</b>b<b>a</b>b,pers00330,o4898-w0010
crime,"Her Fancy strong, vivacious, and sublime,",ppo24-l10995, Seldom betrays her Converse to a Crime;,ppo24-l11000,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0130
time,"Nor second he, that rode sublime",tgaen-l07415,He passed the flaming bounds of place and time:,tgaen-l07430,/aɪm/ | /aɪm/,full,<b>a</b>bb<b>a</b>ccddeeff,pers00039,tgaen-wpppo
slime,""" Can you renounce a Fortune so sublime,",o3818-l06330,""" And roll, with vilest Brutes, through Mud and Slime? ",o3818-l06340,/aɪm/ | /aɪm/,full,ababb<b>c</b>b<b>c</b>c,pers00020,o3818-w0010
crime,""" Can you renounce a Fortune so sublime,",o3818-l06330," ""No! No! — Your Heaven-touch'd Hearts disdain the piteous Crime!"" ",o3818-l06345,/aɪm/ | /aɪm/,full,ababb<b>c</b>bc<b>c</b>,pers00020,o3818-w0010
time," ""Then do the Fiends of Hell rule in yon Heaven sublime. ",o3818-l06480,""" We pass'd the harmless Sabbath of our Time,",o3818-l06465,/aɪm/ | /aɪm/,full,ababb<b>c</b>bc<b>c</b>,pers00020,o3818-w0010
crime," ""Then do the Fiends of Hell rule in yon Heaven sublime. ",o3818-l06480,""" Your barbarous Hearts? Is Happiness a Crime? ",o3818-l06475,/aɪm/ | /aɪm/,full,ababbcb<b>c</b><b>c</b>,pers00020,o3818-w0010
time, And only in Destruction are sublime;,o4299-l06190,"They mingle Death with every punct of Time,",o4299-l06185,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00346,o4299-w0010
time,""" Crown'd with eternal fame, they sit sublime,",pcr18-l00575," ""And laugh at all the little strife of time."" ",pcr18-l00580,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0010
time," The stores of memory, and the flights sublime",pcr18-l01515," Of genius, bound by neither space nor time; —",pcr18-l01520,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0010
time," She steers her course with port sublime,",o5280-l03625, And as adown the stream of time,o5280-l03620,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00277,o5280-w0240
climb," That, Truth must give you strength, Truth only is sublime. ",cac95-l14455," Know, while the steep with eager steps ye climb,",cac95-l14450,/aɪm/ | /aɪm/,full,abab<b>c</b><b>c</b>,pers00301,cac95-w0280
time,The FIRM select an illness more sublime;,o4739-l02670," But seek the Sword's swift edge, and spurn at Time. ",o4739-l02680,/aɪm/ | /aɪm/,full,a<b>b</b>a<b>b</b>,pers00284,o4739-w0120
time," There sleeps her muse, there rest her pow'rs sublime;",prc90-l01870,"Biron, for thee — but ah! I'll stop in time;",prc90-l01860,/aɪm/ | /aɪm/,full,<b>a</b>b<b>a</b>b,pers00328,prc90-w0090
time,"TELL me ye bards, whose skill sublime",n27tc-l04800, First charm'd the ear of youthful Time,n27tc-l04805,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00316,n27tc-w0020
rhyme,"In acts of Parliament avoid sublime,",o5152-l32240,Nor e'er address his Majesty in rhyme;,o5152-l32280,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00143,o5152-w0330
time," Lifts the rapt eye, and rears the form sublime. ",bse96-l01160," With smile triumphant over DEATH, and Time,",bse96-l01155,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00282,bse96-w0020
clime," Till, led by thee o'er many a cliff sublime,",n27tc-l00585," He found a warmer world, a milder clime,",n27tc-l00590,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00316,n27tc-w0010
clime," Slow pass the sons of Wisdom, more sublime;",n27tc-l00710," ""Far from the world, in yon sequester'd clime,",n27tc-l00705,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00316,n27tc-w0010
clime,"And Camdeo bright, and Ganesa sublime,",n27tc-l03005, Shall bless with joy their own propitious clime! —,n27tc-l03010,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00316,n27tc-w0010
time," Lur'd his dim eye to deathless hopes sublime,",n27tc-l04345, Beyond the realms of Nature and of Time! ,n27tc-l04350,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00316,n27tc-w0010
time,Eternal Hope! when yonder spheres sublime,n27tc-l04585, Peal'd their first notes to sound the march of Time! ,n27tc-l04590,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00316,n27tc-w0010
climb," For reasoning clear, for flight sublime,",pcr18-l22750," And to what glorious heights we'll climb,",pcr18-l22760,/aɪm/ | /aɪm/,full,<b>a</b>b<b>a</b>b,pers00275,pcr18-w0060
time," From the rent roof, and portico sublime. ",o4984-l12330," And obelisk, and urn, o'erthrown by time;",o4984-l12320,/aɪm/ | /aɪm/,full,a<b>b</b>a<b>b</b>,pers00168,o4984-w0190
time," In vain; and Melody, her song sublime:",o4984-l12440, Would touch the cold unfeeling heart of Time. ,o4984-l12450,/aɪm/ | /aɪm/,full,a<b>b</b>a<b>b</b>,pers00168,o4984-w0190
time," ""Does the fam'd Roman page sublime",bhw18-l06985, Than this lov'd theme of future time? —,bhw18-l07000,/aɪm/ | /aɪm/,full,<b>a</b>bb<b>a</b>cdcdeffeghghjjkkllmm,pers00276,bhw18-w0030
clime," The plains, the mountain peaks, the fanes sublime,",bjb18-l12280, The ruins long revered of Italy's fair clime. ,bjb18-l12285,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0230
divine," Pour from thy breast, in songs sublime,",cac95-l05365,"Then, O, my soul! thy pow'rs divine",cac95-l05355,/aɪm/ | /aɪn/,half-vowelrhyme,abab<b>c</b>d<b>c</b>d,pers00301,cac95-w0110
rhyme,"Breathes all pathetic, lovely, and sublime?",o5157-l06770,"With fabled scenes, or charm the ear with rhyme,",o5157-l06765,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00112,o5157-w0090
time,And point out to the soul its origin sublime.,o5157-l07120,"To form to virtue each degenerate time,",o5157-l07115,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00112,o5157-w0090
time,"The soul requires enjoyments more sublime,",o5157-l08500,"By space unbounded, undestroy'd by time.",o5157-l08505,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00112,o5157-w0090
clime, He'll share of joys extatic and sublime. ,bjl92-l08435, A plant too noble for this noxious clime:,bjl92-l08425,/aɪm/ | /aɪm/,full,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0320
time,Or all in some lone moss-grown tow'r sublime,o5157-l28695,"Explore the choicest rolls of ancient Time,",o5157-l28705,/aɪm/ | /aɪm/,full,<b>a</b>b<b>a</b>b,pers00056,o5157-w0490
prime, His thoughts shall mount to virtue's meed sublime:,o4984-l26985," In life's fresh spring, e'er buds the promis'd prime",o4984-l26980,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00053,o4984-w0480
rhyme," Of subjects vulgar and sublime,",o4899-l04195,"And seeing, Will, I speak in rhyme",o4899-l04190,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
climb," Those dreadful heights where Atheists soar sublime,",o3366-l01580,"Others, whom timid guilt forbids to climb",o3366-l01575,/aɪm/ | /aɪm/,full,<b>a</b><b>a</b>,pers00319,o3366-w0010
