r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
skies,For heroines it may well suffice,o4984-l03655, Once to have left these azure skies. ,o4984-l03660,/aɪs/ | /aɪz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00218,o4984-w0030
flies, Nor can th' appearing Wealth his Mind suffice. ,o4784-l11205," To ransack secret Draw'rs his Phancy flies,",o4784-l11200,/aɪs/ | /aɪz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00268,o4784-w0320
disguise,"Affected passion does no more suffice,",o5156-l23425,And aukward kindness proves a weak disguise.,o5156-l23430,/aɪs/ | /aɪz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00103,o5156-w0690
cries,""" And let it fairely now suffice",o4106-l02945,"From thence, ""Reverse my Charm, he crys,",o4106-l02940,/aɪs/ | /aɪz/,half-vowelrhyme,<b>a</b><b>a</b>bccb,pers00294,o4106-w0070
eyes,"Yet cou'd not These, nor Israel's Throne, suffice",o4784-l06825," Intemp'rate Wishes, drawn thro' wand'ring Eyes. ",o4784-l06830,/aɪs/ | /aɪz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00268,o4784-w0140
replies, His conduct to control. Let this suffice;,pmt18-l10040, And cold averted eye she thus replies:,pmt18-l10030,/aɪs/ | /aɪz/,half-vowelrhyme,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0023
supplies,"Tho' small thy Store, not Millions could suffice,",pba35-l13060, To furnish all thy lib'ral Thought supplies. ,pba35-l13065,/aɪs/ | /aɪz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00262,pba35-w0970
exercise,"Come, Country Goddess, come, nor thou suffice,",o4106-l08035," But bring thy Mountain-Sister, Exercise. ",o4106-l08040,/aɪs/ | /eksəsaɪz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00294,o4106-w0110
prise, Since modern pin-money will scarce suffice,bjb18-l14185,"And wisely too does she forego the prize,",bjb18-l14180,/aɪs/ | /aɪz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00287,bjb18-w0260
abyss,O Height immense! what Words suffice,o3900-l18820,"O GOD, Thou bottomless Abyss,",o3900-l18810,/aɪs/ | /ɪs/,half-pararhyme,<b>a</b>b<b>a</b>bcdcdefef,pers00310,o3900-w1040
prise," This transient life, alas! can ne'er suffice",o5089-l24380," To reach the distant goal, and snatch the prize;",o5089-l24385,/aɪs/ | /aɪz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00137;pers00191,o5089-w0530
wise," And those, without our schools, suffice",ojg27-l00395," To make men moral, good and wise. ",ojg27-l00400,/aɪs/ | /aɪz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00303,ojg27-w0010
rise, At other Times ev'n that will not suffice;,pco62-l01140, Often at Midnight from our Bed we rise,pco62-l01135,/aɪs/ | /aɪz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00293,pco62-w0010
vice,"I am no preacher, let this hint suffice,",o3794-l07015," The cross once seen, is death to ev'ry vice:",o3794-l07020,/aɪs/ | /aɪsi/,half-vowelrhyme,<b>a</b><b>a</b>,pers00269,o3794-w0020
eyes,"Though art and nature mayn't suffice,",bsb18-l22705," Bear cordials in thy hands and eyes,",bsb18-l22710,/aɪs/ | /aɪz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00280,bsb18-w0310
eyes,But for heav'n's sake let it suffice,o5154-l16565,"TOO plain, dear youth, these tell-tale eyes",o5154-l16555,/aɪs/ | /aɪz/,half-vowelrhyme,<b>a</b>b<b>a</b>b,pers00112,o5154-w0260
price, And let them for my sins suffice! ,pcr18-l25920," My fancied charms for wicked price,",pcr18-l25900,/aɪs/ | /aɪs/,full,a<b>b</b>aba<b>b</b>,pers00275,pcr18-w0080
vice, And let them for my sins suffice! ,pcr18-l25920," The slave, but not the friend of vice: —",pcr18-l25910,/aɪs/ | /aɪsi/,half-vowelrhyme,aba<b>b</b>a<b>b</b>,pers00275,pcr18-w0080
lies,"To want no more than may suffice,",o5155-l28660,"In this the art of living lies,",o5155-l28655,/aɪs/ | /aɪz/,half-vowelrhyme,aab<b>c</b><b>c</b>b,pers00025,o5155-w0510
tries, And whom they charm they can alone suffice;,pmt18-l02880," This solace now the lonely Psyche tries,",pmt18-l02890,/aɪs/ | /aɪz/,half-vowelrhyme,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0020
skies,"Could not the winter in my veins suffice,",o3555-l06580, Without the added rage of Scythian skies? ,o3555-l06585,/aɪs/ | /aɪz/,half-vowelrhyme,<b>a</b><b>a</b>,pers00149,o3555-w0200
vice," Reigns sovereign here, one house can well suffice. ",o3366-l02030,Must I attest the fact? To prove how Vice,o3366-l02025,/aɪs/ | /aɪsi/,half-vowelrhyme,<b>a</b><b>a</b>,pers00319,o3366-w0010
