r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
lute, And sounds prophetic are too rough to suit,o3794-l10320, Ears long accustom'd to the pleasing lute;,o3794-l10325,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
fruit, That might with Man's Celestial Nature suit:,oae86-l00070," Fill'd it with Beasts & Birds, Trees hung with Fruit,",oae86-l00065,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
brute,As if superior beings suit,o5153-l23925,Those attributes which sink the brute.,o5153-l23930,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00119,o5153-w0360
lute,"When to sweet sounds your steps you suit,",o4103-l02465," And weave the minuet to the lute,",o4103-l02470,/uːt/ | /uːt/,full,<b>a</b><b>a</b>bb,pers00254,o4103-w0120
salute,Unless my Fancy with the Musick suit?,oat77-l00060,"With Grateful Songs the rising Day salute,",oat77-l00055,/uːt/ | /uːt/,full,aa<b>b</b><b>b</b>addee,pers00344,oat77-w0010
mute, To Mistress Dobson he preferr'd his suit;,pcr18-l13390," Of beauty heedless, with the merry mute,",pcr18-l13385,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
mute, All these were form'd the guiding taste to suit;,pcr18-l17585, The beast well-manner'd and the fishes mute. ,pcr18-l17590,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
dispute," At surly distance spurn'd your eager suit,",o5089-l03055, Some lord hath frown'd; some bishop past dispute,o5089-l03050,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00058,o5089-w0050
mute, For (while his master urged the eager suit),pmt18-l12060,"Mean time his faithful page had not been mute,",pmt18-l12050,/uːt/ | /uːt/,full,<b>a</b>b<b>a</b>bcdcdd,pers00320,pmt18-w0024
brute," Triumphs like these but ill with Manhood suit,",o4111-l00645, And sink the conqueror beneath the brute. ,o4111-l00650,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00155,o4111-w0010
fruit,"May heav'n and Sylvia grant my suit,",o5154-l28385,"That Damon, who can taste the fruit,",o5154-l28395,/uːt/ | /uːt/,full,<b>a</b>b<b>a</b>b,pers00098,o5154-w0480
brute, Names that would best their Natures suit:,psw11-l01025, So men have got from Bird and Brute,psw11-l01020,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00148,psw11-w0050
confute, Reason and arrogance but poorly suit. ,o4198-l01785,"Confute with candour, where you can confute,",o4198-l01780,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00288,o4198-w0120
flute,"With symbols which your genius suit,",o5157-l37535,"The mask, the buskin, and the flute:",o5157-l37540,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00041,o5157-w0830
mute,What words of penitence or suit,bjb18-l28105," The lady wept, a while was mute,",bjb18-l28115,/uːt/ | /uːt/,full,<b>a</b>b<b>a</b>b,pers00287,bjb18-w0650
flute, No more thy love-resounding sonnets suit,o4984-l23620, To notes of pastoral pipe or oaten flute. ,o4984-l23625,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00053,o4984-w0440
minute,"The word and action should conjointly suit,",o5089-l08395, But acting words is labour too minute. ,o5089-l08400,/uːt/ | /ɪnɪt/,half-pararhyme,<b>a</b><b>a</b>,pers00179,o5089-w0100
dispute,"(Had I put on a common suit,)",o5155-l21250,But fearing that you might dispute,o5155-l21245,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00127,o5155-w0290
flute,"So well that thought th' employment seems to suit,",o3794-l04570," Psalt'ry and sackbut, dulcimer, and flute. ",o3794-l04575,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00269,o3794-w0020
boot," The cap and wig succinct, the silken suit,",o4984-l25405," Smit with the love of the laconic boot,",o4984-l25400,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00053,o4984-w0450
dispute, Her's with Cupid's Charms may suit. ,o4784-l08700, This first Point in the Dispute;,o4784-l08690,/uːt/ | /uːt/,full,a<b>b</b>a<b>b</b>,pers00268,o4784-w0180
out,And to their manteaus their complexions suit;,o5152-l10210,"The happier sinners now their charms put out,",o5152-l10205,/uːt/ | /aʊt/,half-pararhyme,<b>a</b><b>a</b>,pers00001,o5152-w0110
boot," But our Actions, You know, with our Duty must suit. ",pmp18-l26890,"That I wou'd, quoth the Father, and thank you to boot;",pmp18-l26885,/uːt/ | /uːt/,full,<b>a</b><b>a</b>bb,pers00314,pmp18-w0900
mute, Forbore to urge his friendly suit:,o5089-l15990,"At this the modest elm struck mute,",o5089-l15985,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00157,o5089-w0250
brute, Whom care and cool deliberation suit,o3795-l30145," Not better much, than spectacles a brute,",o3795-l30150,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00269,o3795-w0080
lute, Turn to the gentler melodies that suit,n27tc-l03855," Thalia's harp, or Pan's Arcadian lute;",n27tc-l03860,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00316,n27tc-w0010
fruit,"Charm'd with the place, almost forgot its suite;",o5154-l02500,Those many trees blush forth with ripen'd fruite;,o5154-l02475,/iːt/ | /uːt/,half-pararhyme,a<b>b</b>abbc<b>b</b>cc,pers00022,o5154-w0070
recruit,"Charm'd with the place, almost forgot its suite;",o5154-l02500,The birds with plenteous feasts their strength recruite;,o5154-l02485,/iːt/ | /uːt/,half-pararhyme,aba<b>b</b>bc<b>b</b>cc,pers00022,o5154-w0070
flute,"Charm'd with the place, almost forgot its suite;",o5154-l02500,And warble songs more sweet than shepherd's flute.,o5154-l02490,/iːt/ | /uːt/,half-pararhyme,abab<b>b</b>c<b>b</b>cc,pers00022,o5154-w0070
brute," Puts off his gen'rous nature, and to suit",o3794-l18295," His manners with his fate, puts on the brute. ",o3794-l18300,/uːt/ | /uːt/,full,<b>a</b><b>a</b>,pers00269,o3794-w0060
