r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
tongue,"Charm'd, as of old when Israel's prophet sung,",o4986-l17400," Whose words distill'd like manna from his tongue,",o4986-l17405,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
tongue, Fond Venus lose was less divinely Sung;,pse03-l11780,"Soft are thy strains as his once moving Tongue,",pse03-l11775,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00272,pse03-w0530
tongue," Be witness — while my Stella sung,",o4987-l28625, Rapt in th' enchantment of her tongue! ,o4987-l28635,/ʌŋ/ | /ʌŋ/,full,a<b>b</b>a<b>b</b>,pers00189,o4987-w0790
flung," And o'er its flinty pavement sweetly sung,",o4985-l27940," For Winter hoar her icy chain has flung,",o4985-l27950,/ʌŋ/ | /ʌŋ/,full,a<b>b</b>a<b>b</b>bcbcc,pers00033,o4985-w0390
tongue," And o'er its flinty pavement sweetly sung,",o4985-l27940, And still'd the babbling music of her tongue. ,o4985-l27955,/ʌŋ/ | /ʌŋ/,full,a<b>b</b>ab<b>b</b>cbcc,pers00033,o4985-w0390
hung," And o'er its flinty pavement sweetly sung,",o4985-l27940, Each mountain head with fleecy snow is hung;,o4985-l27965,/ʌŋ/ | /ʌŋ/,full,a<b>b</b>abbc<b>b</b>cc,pers00033,o4985-w0390
tongue," There scenes of bliss immortal Milton sung,",yfs88-l01945, And notes harmonious issu'd from his tongue;,yfs88-l01950,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
among,Ancient bards their name have sung,o5156-l24400,"Heroes, kings, and gods among,",o5156-l24405,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00146,o5156-w0710
strong," Sweet was his voice whene'er he sung,",o5089-l17595,"For Bryan he was tall and strong,",o5089-l17585,/ʌŋ/ | /ɒŋ/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00099,o5089-w0310
tongue, The failing Mischief on the Buckler sung:,o5125-l21075, Thy coward Heart belies thy daring Tongue;,o5125-l21065,/ʌŋ/ | /ʌŋ/,full,<b>a</b>a<b>a</b>,pers00154,o5125-w0510
along, The failing Mischief on the Buckler sung:,o5125-l21075," He spoke and drove his weighty Spear along,",o5125-l21070,/ʌŋ/ | /ɒŋ/,half-pararhyme,a<b>a</b><b>a</b>,pers00154,o5125-w0510
hung,"On wild-thyme banks the poet sung,",cac95-l11285," Where blooming roses clustering hung,",cac95-l11295,/ʌŋ/ | /ʌŋ/,full,<b>a</b>b<b>a</b>b,pers00301,cac95-w0190
tongue, As energetic strains he sung;,cac95-l11410, Than the wild fervour of his tongue. ,cac95-l11420,/ʌŋ/ | /ʌŋ/,full,a<b>b</b>a<b>b</b>,pers00301,cac95-w0190
tongue," Mus'd on the Bard * who godlike heroes sung,",cac95-l06775, And caught their fire from his inspired tongue;,cac95-l06780,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
sprung,"The chiefs who conquer'd, and the bards who sung.",o5152-l04205,"Low lies each head, whence Blenheim's glory sprung,",o5152-l04200,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00011,o5152-w0060
young,"Of J—y's charms, he in soft concert sung;",bjl92-l13785," J—y the gay, the beauteous, and the young;",bjl92-l13790,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0560
rung,"Thus known, your power of old was sung,",bjb18-l04650, And temples with your praises rung;,bjb18-l04655,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>bbcc,pers00287,bjb18-w0040
tongue, So sings the sweetest Bard that ever sung;,o4987-l05380," Ten thousand blessings on his tuneful tongue,",o4987-l05385,/ʌŋ/ | /ʌŋ/,full,a<b>b</b><b>b</b>aabbacdecde,pers00016,o4987-w0150
hung, So sings the sweetest Bard that ever sung;,o4987-l05380, When on the yielding Fair one's lips you hung;,o4987-l05400,/ʌŋ/ | /ʌŋ/,full,a<b>b</b>baa<b>b</b>bacdecde,pers00016,o4987-w0150
wrung, So sings the sweetest Bard that ever sung;,o4987-l05380, The sorer now your tender heart is wrung,o4987-l05405,/ʌŋ/ | /ʌŋ/,full,a<b>b</b>baab<b>b</b>acdecde,pers00016,o4987-w0150
young,By future poets shall be sung.,o5157-l37710,"Such as she bred when fresh and young,",o5157-l37700,/ʌŋ/ | /ʌŋ/,full,a<b>b</b>a<b>b</b>,pers00079,o5157-w0840
stung,"Then Colin play'd again, and playing Sung. ",sap09-l02790,"She, with the fatal Love of Glory stung,",sap09-l02795,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00302,sap09-w0050
young, For what the Fabling Antients sung,o4106-l09755," Makes Saturn old, when Time was young.) ",o4106-l09760,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00294,o4106-w0150
rung," At which, while kindred furies sung,",o4984-l03065, With hideous joy pale Orcus rung;,o4984-l03070,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00218,o4984-w0030
strung, And in glad Consort all my Sisters Sung;,pse03-l11110," With my own radiant Hair my Harp I strung,",pse03-l11105,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00272,pse03-w0500
young,And thus divinely sung.,pro75-l04640,"To Strephon's, blith and young,",pro75-l04630,/ʌŋ/ | /ʌŋ/,full,a<b>b</b>a<b>b</b>cdcd,pers00271,pro75-w0210
tongue,From all that scorned vice or slavish fear hath sung.,o5157-l01745,"And the fair function of the poet's tongue,",o5157-l01735,/ʌŋ/ | /ʌŋ/,full,a<b>b</b>a<b>b</b>cdcdeeffghghikki,pers00047,o5157-w0020
strung, And o'er THESE plains his Gothic stanzas sung. ,o5280-l06620,"His lyre to strains uncouth HERE Chaucer strung,",o5280-l06615,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00277,o5280-w0390
among,""" By all the prophets, all th' apostles sung,",o4985-l21620,""" Where blest, the six-wing'd seraphims among,",o4985-l21630,/ʌŋ/ | /ʌŋ/,full,ababc<b>d</b>c<b>d</b>ee,pers00058,o4985-w0300
strung," And amorous griefs in sweetest accents sung,",o4987-l20615," Tho' Sappho there her tuneful lyre has strung,",o4987-l20610,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
tongue,"My soul, impatient as he sung,",o5154-l27730,And heavenly accents seiz'd my tongue;,o5154-l27740,/ʌŋ/ | /ʌŋ/,full,a<b>b</b>a<b>b</b>cc,pers00052,o5154-w0450
young, Already has been sung:,o4987-l05985, Immortaliz'd by Young. ,o4987-l06000,/ʌŋ/ | /ʌŋ/,full,aa<b>b</b>cc<b>b</b>,pers00201,o4987-w0220
tongue, And loud hosannas sung;,o3555-l08325, And praise on every tongue. ,o3555-l08335,/ʌŋ/ | /ʌŋ/,full,x<b>a</b>x<b>a</b>,pers00149,o3555-w0280
tongue,"The peasants shouted, and the poets sung.",o5156-l22305,"Transporting pleasure rais'd each drooping tongue,",o5156-l22300,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
strung,Where with divertive Aires I play'd and Sung;,oat77-l06590,"In a cool Jess'mine shade my Lute I strung,",oat77-l06585,/ʌŋ/ | /ʌŋ/,full,<b>a</b><b>a</b>,pers00344,oat77-w0410
young," 'Hence, sweet harmonious BEATTIE sung",cbu86-l07470," 'Hence, FULLARTON, the brave and young;",cbu86-l07460,/ʌŋ/ | /ʌŋ/,full,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0100
tongue," 'Hence, sweet harmonious BEATTIE sung",cbu86-l07470,"' Hence, DEMPSTER'S truth-prevailing tongue;",cbu86-l07465,/ʌŋ/ | /ʌŋ/,full,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0100
stung," 'Hence, sweet harmonious BEATTIE sung",cbu86-l07470,"'Or tore, with noble ardour stung,",cbu86-l07480,/ʌŋ/ | /ʌŋ/,full,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0100
rung,"There cloistered Monks their nightly vespers sung,",o4986-l27010, The hollow vaults responsive echoes rung. ,o4986-l27020,/ʌŋ/ | /ʌŋ/,full,a<b>b</b>a<b>b</b>,pers00196,o4986-w0580
