r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
nose,"Wise Nature likewise, They suppose,",pmp18-l30995, Has drawn two Conduits down our Nose:,pmp18-l31000,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
toes,"If therefore, as We must suppose,",pmp18-l31375," They came from Fingers, and from Toes;",pmp18-l31380,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
toes,"My simple System shall suppose,",pmp18-l32015, That Alma enters at the Toes;,pmp18-l32020,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
those," The Poets, You may well suppose. ",pmp18-l32515,"Love's Advocates, Dick, who are those? —",pmp18-l32510,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
prose,"But let your Friends in Verse suppose,",pmp18-l32930, What ne'er shall be allow'd in Prose:,pmp18-l32935,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
nose," And vex'd, dear Madam, we'll suppose:",o5125-l16340,"WITH aking Fingers, twinging Nose,",o5125-l16335,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0430
arose,Now in the way of Fable we'll suppose,pma99-l02690, Rebellion in the human frame arose;,pma99-l02695,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00306,pma99-w0120
nose, (Whatever stinking Fops suppose),o3665-l00150," And let me tell you, have a Nose,",o3665-l00145,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00012;pers00148,o3665-w0010
shows,"Strange Matters do depend upon suppose,",oau90-l07090,"TRapolin suppos'd a Prince, this humour shows",oau90-l07085,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00350,oau90-w0240
nose,"Not of th' importance you suppose,",ojg27-l12035, Replies a Flea upon his nose:,ojg27-l12040,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0500
shows, Less on exterior things than most suppose. ,o3794-l01285,"Thus happiness depends, as nature shews,",o3794-l01280,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0010
flows,"""For if created, we must sure suppose",o5153-l19605,"""Some other types whence their resemblance flows;",o5153-l19610,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00119,o5153-w0330
shows,"""Is still more equal than the crowd suppose,",o5152-l21075,"""Who judge of happiness by outward shows;",o5152-l21080,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00111,o5152-w0250
woes," 'Tis not as heads that never ach suppose,",o3794-l26880," Forg'ry of fancy and a dream of woes,",o3794-l26885,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0080
nose,Again would your lordship a moment suppose,o3794-l30705," That the visage or countenance had not a Nose,",o3794-l30715,/əʊz/ | /əʊz/,full,<b>a</b>b<b>a</b>b,pers00269,o3794-w0190
those, All Possible Disasters should suppose:,o3488-l00870,"Men that Consult such Weighty Things as those,",o3488-l00865,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00346,o3488-w0010
nose,"Our courtly chaplain, as we may suppose,",o5089-l21190, At such old-fashion'd commons curl'd his nose;,o5089-l21195,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00043,o5089-w0430
foes,SOME of my Friends (for Friends I must suppose,o3886-l00005," All, who, not daring to appear my foes,",o3886-l00010,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00155,o3886-w0010
nose,"' 'Tis all by the Doctor's Advice, I suppose,",o3364-l02595, 'That Nothing is left to be seen but your Nose:,o3364-l02600,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
knows," We may grub on without it thro' Life, I suppose,",o3364-l03605, But then 'tis with People — that Nobody knows. ,o3364-l03610,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
goes," You've read all their Names in the News, I suppose,",o3364-l06860," But, for fear you have not, take the List as it goes:",o3364-l06865,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
flows, What will not argument sometimes suppose),o3794-l19430,"Suppose (when thought is warm and fancy flows,",o3794-l19425,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0060
nose,"That, howsoever you suppose,",o4899-l06295, You do not walk behind your nose;,o4899-l06300,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00330,o4899-w0010
those, These we can reach — and may we not suppose,o5125-l18770, There still are Creatures more minute than those. ,o5125-l18775,/əʊz/ | /əʊz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0500
