r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
chains,His hoary head her hand sustains;,o5157-l33515,"His squalid hair, and galling chains:",o5157-l33505,/eɪnz/ | /eɪnz/,full,aabccbdedeffgghhiikkllmmnnoppoq<b>r</b>q<b>r</b>ssttuuvvwwyyzz,pers00058,o5157-w0670
deigns, And when the swelling Hoop sustains,pmp18-l34750," The rich Brocard, fair Alma deigns",pmp18-l34755,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
strains,"Tho' tuneful Cibber still the Muse sustains,",o4985-l09890," By nature fram'd to pour the moving strains,",o4985-l09895,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
strains,"See! while her hand a solemn lyre sustains,",o4985-l10480, Her trembling fingers wake the languid strains:,o4985-l10485,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00232,o4985-w0150
gains,And he who tott'ring scarce sustains,o5156-l16355,"A century's age, plans future gains,",o5156-l16360,/eɪnz/ | /eɪnz/,full,aab<b>c</b><b>c</b>b,pers00097;pers00044,o5156-w0570
reins," Truth an equal Part sustains,",o4784-l10515, All indulg'd the loosen'd Reins:,o4784-l10520,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0290
weans," Himsel, a wife, he thus sustains,",cbu86-l00395," A smytrie o' wee, duddie weans,",cbu86-l00400,/eɪnz/ | /iːnz/,half-pararhyme,<b>a</b><b>a</b>,pers00307,cbu86-w0010
reigns, His hand the stedfast world sustains. ,bjb18-l31950, And girt with strength th' Almighty reigns;,bjb18-l31940,/eɪnz/ | /eɪnz/,full,a<b>b</b>a<b>b</b>,pers00287,bjb18-w0930
feigns, The pious mistress of the school sustains,pcr18-l11685," Her parents 'part, nor their affection feigns,",pcr18-l11690,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
pains," One who an infant in her arms sustains,",pcr18-l13845, And seems in patience striving with her pains;,pcr18-l13850,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
remains," And some dead neighbour on his bier sustains,",pcr18-l15330," But as he lends the strength that yet remains,",pcr18-l15325,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
plains, And human nature scarce its rage sustains. ,o4984-l29910," The sultry breeze glides faintly o'er the plains,",o4984-l29900,/eɪnz/ | /eɪnz/,full,a<b>b</b>a<b>b</b>,pers00250,o4984-w0520
chains,"Far more the sensible of mind sustains,",o4984-l30115," The hopeless lover, bound in beauty's chains,",o4984-l30125,/eɪnz/ | /eɪnz/,full,<b>a</b>b<b>a</b>b,pers00250,o4984-w0520
gains," With One small Mess himself, and that sustains,",o4784-l06545," And half his Dish it shares, and half his slender Gains. ",o4784-l06550,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00268,o4784-w0140
plains, And scarce her fainting strength the unequal course sustains. ,pmt18-l12660," Through pathless woods, o'er rocks and open plains;",pmt18-l12645,/eɪnz/ | /eɪnz/,full,ababc<b>d</b>cd<b>d</b>,pers00320,pmt18-w0024
gains, And scarce her fainting strength the unequal course sustains. ,pmt18-l12660," Fast on her rapid flight Alpheus gains,",pmt18-l12655,/eɪnz/ | /eɪnz/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0024
maintains," Plunged headlong down his prey he still sustains,",pmt18-l08440, The daring chief: his hold he firm maintains,pmt18-l08430,/eɪnz/ | /eɪnz/,full,ababc<b>d</b>c<b>d</b>d,pers00320,pmt18-w0022
remains," Plunged headlong down his prey he still sustains,",pmt18-l08440, Who in his powerful grasp in death-like swoon remains. ,pmt18-l08445,/eɪnz/ | /eɪnz/,full,ababcdc<b>d</b><b>d</b>,pers00320,pmt18-w0022
plains,"Not all are blest, whom fortune's hand sustains",o5089-l00585," With wealth in courts, nor all that haunt the plains:",o5089-l00590,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00048,o5089-w0020
pains,This cordial still th' incurable sustains:,o5156-l18085,"He triumphs in the sharp instructive pains,",o5156-l18090,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00106,o5156-w0590
remains," And, twining round, the hoary arch sustains;",o4986-l03135," And solemn shade a chapel's sad remains,",o4986-l03125,/eɪnz/ | /eɪnz/,full,a<b>b</b>a<b>b</b>,pers00237,o4986-w0040
pains," Alleviate ev'ry Ill your Soul sustains,",o4741-l22915," Double your Pleasures, and divide your Pains. ",o4741-l22920,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00091,o4741-w0460
remains," The darling, which his drooping life sustains:",cer72-l08125, The youngest with his aged sire remains,cer72-l08120,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00265,cer72-w0010
brains," Upon her knees her weight sustains,",ojg27-l05905, While palsie shook her crazy brains;,ojg27-l05910,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0240
veins,"While yet my steddy steps no staff sustains,",o5152-l22955,And life still vig'rous revels in my veins;,o5152-l22970,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00029,o5152-w0270
complains, And scarce the burning Axletree sustains:,oar96-l05300,"Tyr'd Atlas sweating, of his load complains,",oar96-l05295,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00265,oar96-w0200
reigns,Free from those ills which idle pomp sustains.,pro75-l05540,"Where peace, and innocence for ever reigns,",pro75-l05535,/eɪnz/ | /eɪnz/,full,aabb<b>c</b><b>c</b>,pers00271,pro75-w0270
remains,"New matter still the mould'ring mass sustains,",o5152-l22070,"The mansion chang'd, the tenant still remains;",o5152-l22075,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00073,o5152-w0260
veins," The stubborn brute the blows sustains,",ojg27-l11805, Assaults his leg and tears the veins. ,ojg27-l11810,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0490
strains," Next to that pow'r who form'd thee and sustains,",o3794-l26270, Be thou the great inspirer of my strains. ,o3794-l26275,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0080
plains," Not all are blest, whom Fortune's hand sustains",o4985-l00015," With wealth in courts, nor all that haunt the plains;",o4985-l00020,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00048,o4985-w0010
strains,A mightier grief my heavy heart sustains.,o5152-l11125,Is this the cause of your romantick strains?,o5152-l11120,/eɪnz/ | /eɪnz/,full,<b>a</b><b>a</b>,pers00001,o5152-w0110
plains," This, whilst my Labours LIBERTY sustains,",o3818-l04290, He lik'd the verdant Hills and flowery Plains. ,o3818-l04280,/eɪnz/ | /eɪnz/,full,a<b>b</b>a<b>b</b>bcbcc,pers00020,o3818-w0010
