r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
praise,Oft nobly sways,o5157-l02775,Be thou thy own approver. Honest praise,o5157-l02770,/eɪz/ | /eɪz/,full,ababcdcd<b>e</b><b>e</b>ffghghikki,pers00047,o5157-w0020
plays,"Next, Dick, as Youth and Habit sways,",pmp18-l34900, A hundred Gambols Alma plays. ,pmp18-l34905,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
ways," As passion, humour, int'rest, party sways. ",o4600-l00210,"THE Town divided, each runs sev'ral ways,",o4600-l00205,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
obeys,"Nor prudence, shame, nor pride, nor int'rest sways,",o5155-l08655,The hand implicitly the heart obeys:,o5155-l08660,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00106,o5155-w0100
raise,While with quaint arts the giddy crowd she sways;,o5152-l30550,"To thwart the proud, and the submiss to raise;",o5152-l30525,/eɪz/ | /eɪz/,full,a<b>b</b>abbc<b>b</b>cc,pers00035,o5152-w0320
praise,While with quaint arts the giddy crowd she sways;,o5152-l30550,And some entice with pittance small of praise;,o5152-l30535,/eɪz/ | /eɪz/,full,aba<b>b</b>bc<b>b</b>cc,pers00035,o5152-w0320
'frays,While with quaint arts the giddy crowd she sways;,o5152-l30550,And other some with baleful sprig she 'frays;,o5152-l30540,/eɪz/ | /eɪz/,full,abab<b>b</b>c<b>b</b>cc,pers00035,o5152-w0320
days," When gold, or int'rest all preferment sways,",o5089-l03595,"What can advance, in these degenerate days,",o5089-l03590,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00058,o5089-w0050
obeys,"Not one alone the various judgment sways,",o5154-l05840,But prejudice the general voice obeys:,o5154-l05845,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00022,o5154-w0080
prays," We boast some rich ones whom the gospel sways,",o3794-l08915, And one that wears a coronet and prays;,o3794-l08920,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0030
ways,What clemency his temper sways! ,ojg27-l01955,How uncorrupt are all his ways! ,ojg27-l01960,/eɪz/ | /eɪz/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0080
these,"Yet man, whom still ideal profit sways,",o5154-l23265,"Than those less prudent, and more blind than these,",o5154-l23270,/eɪz/ | /iːz/,half-pararhyme,<b>a</b><b>a</b>a,pers00106,o5154-w0360
seas,"Yet man, whom still ideal profit sways,",o5154-l23265,"Will quit his home, and vent'rous brave the seas.",o5154-l23275,/eɪz/ | /iːz/,half-pararhyme,<b>a</b>a<b>a</b>,pers00106,o5154-w0360
