r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
repel,While yet the red'ning shoots with embryo-blossoms swell.,o5153-l30440,"Alas! with prayers, with tears his rage repel,",o5153-l30435,/el/ | /el/,full,abab<b>c</b><b>c</b>,pers00038,o5153-w0530
excel," That fall in waves, with graceful swell,",bmb97-l04185, The fairest curls of art excel. ,bmb97-l04195,/el/ | /el/,full,a<b>b</b>a<b>b</b>,pers00315,bmb97-w0100
tell, Forgive tho' I forbear to swell,o4546-l00565,"Forgive, tho' I forbear to tell",o4546-l00555,/el/ | /el/,full,<b>a</b>b<b>a</b>bccddee,pers00304,o4546-w0010
tell, Hears all in Pain: Her Heart begins to swell;,sap09-l02800," In piteous Notes she sighs, in Notes which tell",sap09-l02805,/el/ | /el/,full,<b>a</b><b>a</b>,pers00302,sap09-w0050
fell, Tumult'ous passions did her bosom swell;,bjl92-l04715, An awful victim to despair she fell! ,bjl92-l04725,/el/ | /el/,full,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0160
rebel,"But who that saw their treasures swell,",o5156-l16415,"That heard th' insatiate vow rebel,",o5156-l16420,/el/ | /ebl/,half-vowelrhyme,aab<b>c</b><b>c</b>b,pers00097;pers00044,o5156-w0570
tell, Are such as ever seem to swell. ,bjl92-l13180,What force of eloquence can tell? ,bjl92-l13170,/el/ | /el/,full,a<b>b</b>a<b>b</b>,pers00338,bjl92-w0550
excel," Do they sink, or do they swell? ",o4103-l02430,"What can those tumid paps excel,",o4103-l02425,/el/ | /el/,full,<b>a</b><b>a</b>bb,pers00254,o4103-w0120
hell," Her hissing snakes with venom swell,",ojg27-l06935," She calls her venal train from hell,",ojg27-l06940,/el/ | /el/,full,<b>a</b><b>a</b>,pers00303,ojg27-w0290
dwell," ""Which thus th' unpractis'd breast with ardor swell",o4987-l21415," ""What magic powers in Celia's numbers dwell,",o4987-l21410,/el/ | /el/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
fell, And lent its leaves a bolder swell. ,o4987-l19145, With all its weight of glory fell;,o4987-l19135,/el/ | /el/,full,a<b>b</b>a<b>b</b>,pers00178,o4987-w0610
shell," Nor cautious eat, left gorging Food should swell",pdi22-l02280," The tender Flesh, and stop the growing Shell. ",pdi22-l02285,/el/ | /el/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
tell," No Dangers fears, tho' rolling Waters swell,",pdi22-l06340, And angry Hast of coming Monsters tell. ,pdi22-l06345,/el/ | /el/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
tell,"The Parts all bruis'd in racking Torture swell,",pdi22-l09745, And languid Spots declining Vigour tell. ,pdi22-l09750,/el/ | /el/,full,<b>a</b><b>a</b>,pers00266,pdi22-w0010
fell," High o'er their rocky bounds the billows swell,",bhw18-l05805, Then to their deep abyss affrighted fell;,bhw18-l05810,/el/ | /el/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
dwell, Seest thou that lake its heaving bosom swell? ,o4986-l27170, Amidst such beauties well content to dwell? ,o4986-l27180,/el/ | /el/,full,a<b>b</b>a<b>b</b>,pers00196,o4986-w0580
cell,There too the solitary Bird shall swell,o4739-l03025," While distant Echo from responsive cell,",o4739-l03035,/el/ | /el/,full,<b>a</b>b<b>a</b>b,pers00285,o4739-w0130
bell," While, high in air, with buoyant swell,",bjb18-l30335," Sounds like a friendly call, the passing bell. "" ",bjb18-l30340,/el/ | /el/,full,<b>a</b><b>a</b>,pers00287,bjb18-w0790
tell," How rise the Stamens, as the Pistils swell;",pcr18-l11905," Than Peter Pratt, who simpering loves to tell",pcr18-l11900,/el/ | /el/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
tell," With sullen murmurs now begins to swell,",pmt18-l13630," The unlovely surge, and piteous seem to tell",pmt18-l13640,/el/ | /el/,full,a<b>b</b>a<b>b</b>cdcdd,pers00320,pmt18-w0024
cell,"The turf to your light pressure swell,",o5156-l19490,"Nature shall smile, and round this cell",o5156-l19485,/el/ | /el/,full,<b>a</b><b>a</b>,pers00101,o5156-w0640
excel," And voice of heav'n-ascending swell,",psm63-l00020," Which, while its deeper notes excell,",psm63-l00025,/el/ | /el/,full,aab<b>c</b><b>c</b>b,pers00254,psm63-w0010
spell," Lest their force around thee swell,",bse96-l02400," Punishing thy daring spell,",bse96-l02405,/el/ | /el/,full,<b>a</b><b>a</b>,pers00282,bse96-w0040
well,Ne'er heeding what degrees of Nonsence swell;,oau90-l00530,"The guilty Lines, if they but Jingle well.",oau90-l00535,/el/ | /el/,full,<b>a</b><b>a</b>,pers00350,oau90-w0010
