r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
limbs,"Where on the surface Lead, like feathers, swims;",o4110-l00695," There let me bathe my yet unhallow'd limbs,",o4110-l00700,/ɪmz/ | /ɪmz/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
hymns," Of those that fly, while he that swims",psm63-l01030,Iota's tun'd to choral hymns,psm63-l01025,/ɪmz/ | /ɪmz/,full,<b>a</b><b>a</b>bccb,pers00254,psm63-w0010
limbs,"And instant, lo, his dizzy eye-ball swims",o4987-l08080," Pain with strong grasp distorts his writhing limbs,",o4987-l08090,/ɪmz/ | /ɪmz/,full,<b>a</b>b<b>a</b>b,pers00207,o4987-w0260
limbs," Surround the timorous Beauty, as she swims,",o4671-l04415, And gaze enamour'd on her silver limbs. ,o4671-l04420,/ɪmz/ | /ɪmz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
limbs," Wave over wave the driving desert swims,",o4671-l05565," Bursts o'er their heads, inhumes their struggling limbs;",o4671-l05570,/ɪmz/ | /ɪmz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
limbs," Through gaping seams the rushing deluge swims,",o4671-l10175," Chills their pale bosoms, bathes their shuddering limbs,",o4671-l10180,/ɪmz/ | /ɪmz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
limbs, And Frost and Famine follow as he swims. —,o4671-l10730," Spreads o'er the shuddering Line his shadowy limbs,",o4671-l10725,/ɪmz/ | /ɪmz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
limbs," High on the flood with speckled bosom swims,",o4671-l11225," Helm'd with broad tail, and oar'd with giant limbs;",o4671-l11230,/ɪmz/ | /ɪmz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0010
limbs," O'er her warm cheek the blush of beauty swims,",o4671-l13665, And nerves Herculean bend her sinewy limbs;,o4671-l13670,/ɪmz/ | /ɪmz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
limbs," Pleased on the boiling wave old AESON swims,",o4671-l14665, And feels new vigour stretch his swelling limbs;,o4671-l14670,/ɪmz/ | /ɪmz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
limbs," Loose o'er the flood her azure mantle swims,",o4671-l21960, And the clear stream betrays her snowy limbs. ,o4671-l21965,/ɪmz/ | /ɪmz/,full,<b>a</b><b>a</b>,pers00337,o4671-w0020
limbs, The head in wild distraction swims;,o3552-l05745, Cold sweats bedew the trembling limbs;,o3552-l05750,/ɪmz/ | /ɪmz/,full,<b>a</b><b>a</b>,pers00155,o3552-w0010
skims," There from the bowl where cream so coolly swims,",bsb18-l01145," The future butter generously skims,",bsb18-l01150,/ɪmz/ | /ɪmz/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0010
