r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
feast," Not so the Rich, who find their weary'd Taste",o4741-l00750, Pall'd with the Prospect of the cumb'rous Feast;,o4741-l00755,/eɪst/ | /iːst/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0020
traced,And doubt not thy polluted taste,o5153-l30355,Each fairy form we whilom trac'd,o5153-l30365,/eɪst/ | /eɪst/,full,<b>a</b>b<b>a</b>bcc,pers00038,o5153-w0530
haste, Destructive poison to the th'enchanted taste;,yfs88-l02150," They grasp'd the baneful load with fatal haste,",yfs88-l02145,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00318,yfs88-w0020
placed,"Or to be borne by nymphs of taste,",o5154-l31890,"But never in the garden plac'd,",o5154-l31885,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>a,pers00108,o5154-w0570
waste,"Or to be borne by nymphs of taste,",o5154-l31890,"But in a wilderness, or waste:",o5154-l31895,/eɪst/ | /eɪst/,full,a<b>a</b><b>a</b>,pers00108,o5154-w0570
placed," All things pleasant to the Sight or Taste,",oae86-l00060, Then it in Eden's Garden freely plac'd,oae86-l00055,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
haste," Variety doth please my taste,",pco62-l03215," To marry I shall make no haste,",pco62-l03210,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00293,pco62-w0040
feast,"For who like him can various science taste,",o5152-l26070,"His mind shall never want an endless feast,",o5152-l26075,/eɪst/ | /iːst/,half-pararhyme,<b>a</b><b>a</b>,pers00032,o5152-w0290
blessed," ""And, ever lively, joyful taste",o4986-l02950,""" Thy heart shall then confess thee blest,",o4986-l02945,/eɪst/ | /est/,half-pararhyme,aab<b>c</b><b>c</b>b,pers00237,o4986-w0030
waste, But must have ev'ry thing in Taste. ,pba35-l01500,His Wealth Castalio will not waste;,pba35-l01495,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00087,pba35-w0070
passed, A bee of most discerning taste,o3794-l31730," Perceiv'd the fragrance as he pass'd,",o3794-l31735,/eɪst/ | /ɑːst/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0280
placed, She likewise judges of the Taste. ,pmp18-l31060,"By Nerves about our Palate plac'd,",pmp18-l31055,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
past,In Water as You smell and tast,pmp18-l35290," The Soyls, thro' which it rose and past:",pmp18-l35295,/eɪst/ | /ɑːst/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
last,And by changing our dishes we quicken our taste.,o5157-l19465,"'Tis variety only makes appetite last,",o5157-l19460,/eɪst/ | /ɑːst/,half-pararhyme,<b>a</b><b>a</b>,pers00114,o5157-w0270
misplaced, And Inclination fondly took for Taste. ,o4600-l01340,"His walk of parts he fatally misplac'd,",o4600-l01335,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
embraced," At once provoke our mirth, and form our taste. ",o4600-l01720,"French follies, universally embrac'd,",o4600-l01715,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00155,o4600-w0010
graced, And passes current with the stamp of TASTE. ,o4110-l00230," NONSENSE with Classic ornaments is grac'd,",o4110-l00225,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
waste," Of toil, which critics now mistake for taste,",o4110-l00510,"Sick of those pomps, those vanities, that waste",o4110-l00505,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00155,o4110-w0010
chaste," A feast so dear to polish'd taste,",o4739-l07115, A bliss so exquisite and chaste —,o4739-l07110,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00284,o4739-w0240
waste," Lost to the Muses and to Taste,",o4739-l07190, Each torpid hour will joyless waste. ,o4739-l07195,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00284,o4739-w0240
repast,"Will snatch with talons foul, or sour its grateful taste.",o5156-l27190," Fell Death, like brooding Harpy, the repast",o5156-l27185,/eɪst/ | /ɑːst/,half-pararhyme,ababcdcd<b>e</b><b>e</b>,pers00050,o5156-w0780
fate,"The plant-like foetus quits its senseless taste,",o5156-l27905,See man by varied periods fixt by fate,o5156-l27895,/eɪst/ | /eɪt/,half-vowelrhyme,<b>a</b>b<b>a</b>bcdcdee,pers00050,o5156-w0780
rest," Twelve various fruits of sweetly-vary'd taste,",o4985-l21830," The tree of life superior o'er the rest,",o4985-l21820,/eɪst/ | /est/,half-pararhyme,ababc<b>d</b>c<b>d</b>ee,pers00058,o4985-w0300
traced,"In nervous strains, lo! Madan's polish'd taste",o4987-l21070," Has poetry's successive progress trac'd,",o4987-l21075,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00055,o4987-w0700
rest," A choicer Meat, than Fruits, indulge your Taste. ",o4741-l08735," A softer Bed, than Flow'rs, shall give you Rest;",o4741-l08730,/eɪst/ | /est/,half-pararhyme,<b>a</b><b>a</b>,pers00091,o4741-w0100
placed,May censure joys which they despair to taste;,o5156-l23260,"Tho' tongues obscure, at humble distance plac'd,",o5156-l23255,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00103,o5156-w0690
placed," Which, wov'n with myrtles by the hands of Taste,",n22cs-l01445,For high in Fame's bright fane has Judgment plac'd,n22cs-l01435,/eɪst/ | /eɪst/,full,ababcdcd<b>e</b>f<b>e</b>fgg,pers00290,n22cs-w0190
repast, Such as the Royal Pair may deign to tast. ,pdi22-l00430,"For an Imperial Treat, or choice Repast,",pdi22-l00425,/eɪst/ | /ɑːst/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
fast, Forbids the noxious Pleasures of the Tast. ,pdi22-l02335," The prudent Leech prescribes a wholesome Fast,",pdi22-l02330,/eɪst/ | /ɑːst/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
hast," View clearer Skies, and the pure Welkin tast. ",pdi22-l02665," Now wanton to the changing Surface hast,",pdi22-l02660,/eɪst/ | /æst/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
wast," The Throat to tickle, and indulge the Tast. ",pdi22-l08670,"Like him luxurious Men their Vigour wast,",pdi22-l08665,/eɪst/ | /ɒst/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi22-w0010
defaced, With Walpole's mental taste. ,o4039-l03695," Ag'd, wrinkl'd, and defac'd:",o4039-l03680,/eɪst/ | /eɪst/,full,aa<b>b</b>cc<b>b</b>,pers00288,o4039-w0160
graced," Or if Pitholeon suits your taste,",o4039-l03805," His muse with tatter'd fragments grac'd,",o4039-l03810,/eɪst/ | /eɪst/,full,aab<b>c</b><b>c</b>b,pers00288,o4039-w0160
haste, And the pure juice that swells the fruitage taste;,bhw18-l03890," They quaff the limpid stream with eager haste,",bhw18-l03885,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
haste," And whilst the proffer'd Draught I boldly taste,",o4784-l08350,But Philip to my aid repair'd in haste;,o4784-l08345,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00268,o4784-w0170
breast,"O thou, whose Bounty all things taste,",o5125-l25345," Revive the melancholy Breast,",o5125-l25355,/eɪst/ | /est/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00154,o5125-w0660
best,And fruits of dainty taste.,bed98-l07150,Of fare he gave his best:,bed98-l07140,/eɪst/ | /est/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00340,bed98-w0160
vest,"Mechanic Honour, vicious Taste,",o5156-l32550,And Fashion in her changing vest.,o5156-l32555,/eɪst/ | /est/,half-pararhyme,<b>a</b><b>a</b>,pers00108,o5156-w0890
graced, Luxuriant Fancy yielding but to Taste. ,o4985-l18055," This little spot in gay profusion grac'd,",o4985-l18045,/eɪst/ | /eɪst/,full,a<b>b</b>a<b>b</b>,pers00217,o4985-w0280
blast," To shoot its sweetness o'er the taste,",o4987-l19915, And chilling scorne the fruite dothe blaste. ,o4987-l19925,/eɪst/ | /æst/,half-pararhyme,a<b>b</b>a<b>b</b>cc,pers00229,o4987-w0680
disgraced, With what a foppish Organist calls Taste. ,o3587-l00690," And lift the mind to Heaven, are disgrac'd",o3587-l00685,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00155,o3587-w0010
repast," And herbs of potent smell and pungent taste,",pcr18-l09440, Give a warm relish to the night's repast. ,pcr18-l09445,/eɪst/ | /ɑːst/,half-pararhyme,<b>a</b><b>a</b>,pers00275,pcr18-w0040
waste, In the vain ramblings of a vulgar taste;,pcr18-l13115," Thy doubtful soul; — thy money she will waste,",pcr18-l13110,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
chaste," His bailiff's daughter suited much his taste,",pcr18-l15410, For Fanny Price was lovely and was chaste;,pcr18-l15415,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00275,pcr18-w0040
placed,May no bold Briton's riper age e'er taste!,o5152-l29965,A lifeless phantom near a garden plac'd:,o5152-l29940,/eɪst/ | /eɪst/,full,a<b>b</b>abbc<b>b</b>cc,pers00035,o5152-w0320
repast,May no bold Briton's riper age e'er taste!,o5152-l29965,"Of sport, of song, of pleasure, of repast;",o5152-l29950,/eɪst/ | /ɑːst/,half-pararhyme,aba<b>b</b>bc<b>b</b>cc,pers00035,o5152-w0320
aghast,May no bold Briton's riper age e'er taste!,o5152-l29965,"They start, they stare, they wheel, they look aghast:",o5152-l29955,/eɪst/ | /ɑːst/,half-pararhyme,abab<b>b</b>c<b>b</b>cc,pers00035,o5152-w0320
waste,Nor interrupt those joys she cannot taste.,o5157-l10705,And deem it spleen one moment thus to waste;,o5157-l10695,/eɪst/ | /eɪst/,full,a<b>b</b>a<b>b</b>,pers00088,o5157-w0100
haste, For visits of friendship are quite out of taste;,pma99-l09780," And straight to the Ball-room or Play-house I haste,",pma99-l09775,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00306,pma99-w0510
placed, This bower so cultur'd by the hand of Taste. ,bsb18-l09030," On which this happy bower so sweet was plac'd,",bsb18-l09025,/eɪst/ | /eɪst/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0090
possessed,"As high in wisdom and refin'd in taste,",bed98-l06495,All seem'd a wonder that the sage possest;,bed98-l06500,/eɪst/ | /est/,half-pararhyme,<b>a</b><b>a</b>,pers00340,bed98-w0150
waste," Finish'd with Judgment, furnish'd with a Taste. ",pmc36-l05075,"No costly Folly, no expensive Waste;",pmc36-l05065,/eɪst/ | /eɪst/,full,<b>a</b>a<b>a</b>,pers00325,pmc36-w0170
vast," Finish'd with Judgment, furnish'd with a Taste. ",pmc36-l05075," Strong, but not heavy; noble, but not vast;",pmc36-l05070,/eɪst/ | /ɑːst/,half-pararhyme,a<b>a</b><b>a</b>,pers00325,pmc36-w0170
feast, Give us with Joy our Food to taste,o3900-l25270,Thy Love provides the sober Feast:,o3900-l25260,/eɪst/ | /iːst/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00309,o3900-w1340
repast,"With calm dependence ev'ry good they taste,",o5157-l15120,"Nor cheer themselves alone, (a mean repast!)",o5157-l15130,/eɪst/ | /ɑːst/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00132,o5157-w0140
