r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
redeem," Their Substitute, He died for Them. ",o3900-l10820," Sinners from Suffering to redeem,",o3900-l10810,/em/ | /iːm/,half-pararhyme,a<b>b</b>a<b>b</b>cdcd,pers00309,o3900-w0580
freedom,Apologies for those who need 'em! ,bjb18-l20590,"An Album is a thing of freedom,",bjb18-l20595,/əm/ | /iːdəm/,half-pararhyme,<b>a</b><b>a</b>,pers00287,bjb18-w0470
gem, Of his just praise to lavish it on them? ,o3794-l11730," Proud of thy fleets and armies, stol'n the gem",o3794-l11725,/em/ | /em/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
stem," Are more intelligent at least, try them:",o3794-l12290,"The rich, the produce of a nobler stem,",o3794-l12285,/em/ | /em/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
deum, 'Till now no Umpire can agree 'em:,pmp18-l12935," So both draw off, and sing Te Deum. ",pmp18-l12940,/əm/ | /iːəm/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0480
madam," And sure, as You already had 'em,",pmp18-l13370,"Form then Three Wishes, You and Madam:",pmp18-l13365,/əm/ | /ædəm/,half-vowelrhyme,<b>a</b><b>a</b>,pers00314,pmp18-w0480
proclaim, Comes ab Origine from them. ,pmp18-l31320,"Ev'n what You hear the Tongue proclaim,",pmp18-l31315,/em/ | /eɪm/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
system," May 'rise, perhaps, and I have mist them:",pmp18-l34310,Objections to my general System,pmp18-l34305,/em/ | /ɪstəm/,half-pararhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
condemn, Our selves both cut and shuffl'd them. ,pmp18-l34540,We sure in vain the Cards condemn:,pmp18-l34535,/em/ | /em/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1100
them, 'Till their own Dreams at length deceive 'em;,pmp18-l36170," And oft repeating, they believe 'em. ",pmp18-l36175,/əm/ | /əm/,identical,<b>a</b><b>a</b>,pers00314,pmp18-w1100
them," And oft repeating, they believe 'em. ",pmp18-l36175, 'Till their own Dreams at length deceive 'em;,pmp18-l36170,/əm/ | /əm/,identical,<b>a</b><b>a</b>,pers00314,pmp18-w1100
cerebellum,"Surprise My Readers, whilst I tell 'em",pmp18-l36875," Of Cerebrum, and Cerebellum? ",pmp18-l36880,/əm/ | /eləm/,half-vowelrhyme,<b>a</b><b>a</b>,pers00314,pmp18-w1100
