r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
swear," Had BEDFORD's self appear'd delinquent there,",o4986-l17085,"Degenerate nobles! Yes, by Heaven I swear,",o4986-l17080,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00210,o4986-w0400
prayer," So speaks my heart, for all is rapture there. ",o4986-l18335,"'Tis done, my CA'NDISH, Heaven has heard my prayer;",o4986-l18330,/eə/ | /eɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00210,o4986-w0400
fair,And only think on thee — who art not there.,o5155-l07915,"Unmov'd I hear them speak, or see them fair,",o5155-l07910,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00102,o5155-w0080
repair, And with Your Presence crown the Blessings there;,pmp18-l00720,"When to Your Native Heav'n You shall repair,",pmp18-l00715,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0020
dare," They cannot harm, for GOD is there! ",o3900-l17815, Fearless their Violence I dare:,o3900-l17810,/eə/ | /eə/,full,abab<b>c</b><b>c</b>,pers00309,o3900-w1000
where,Whilst I — but I shall haud me there —,cbu86-l06145, Wi' you I'll scarce gang ony where —,cbu86-l06150,/eə/ | /eə/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0080
more,Whilst I — but I shall haud me there —,cbu86-l06145," Then Jamie, I shall say nae mair,",cbu86-l06155,/eə/ | /eə/,full,<b>a</b>a<b>a</b>bab,pers00307,cbu86-w0080
pair,Whilst I — but I shall haud me there —,cbu86-l06145," Content with YOU to mak a pair,",cbu86-l06165,/eə/ | /eə/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0080
war,And sheds her mildest influence there:,o5153-l30190,With hostile scenes of imag'd war;,o5153-l30180,/eə/ | /ɔː/,half-pararhyme,a<b>b</b>a<b>b</b>cc,pers00038,o5153-w0530
appear," Love in a thousand fond Endearments there,",o4784-l23360, And lively Images of You appear. ,o4784-l23365,/eə/ | /ɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00268,o4784-w0800
hair, But droop and wither there. ,pma99-l00610," Or twine in Delia's hair,",pma99-l00600,/eə/ | /eə/,full,x<b>a</b>x<b>a</b>,pers00306,pma99-w0030
care, The Root Divine shall flourish there! ,o3900-l10280," And cherish'd by JEHOVAH's Care,",o3900-l10270,/eə/ | /eə/,full,ababc<b>d</b>c<b>d</b>,pers00309,o3900-w0580
fair, I should be proud to meet you there;,cbu86-l15810,"But MAUCHLINE Race or MAUCHLINE Fair,",cbu86-l15805,/eə/ | /eə/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0270
care, I should be proud to meet you there;,cbu86-l15810," We'se gie ae night's discharge to care,",cbu86-l15815,/eə/ | /eə/,full,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0270
rhymin-ware, I should be proud to meet you there;,cbu86-l15810," An' hae a swap o' rhymin-ware,",cbu86-l15825,/eə/ | /eə/,full,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0270
fair, Unless I met my bright Redeemer there;,oar96-l06390,"And yet the Climes of Light would not seem fair,",oar96-l06385,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00265,oar96-w0250
hare," Each hound he summons, they attend him there,",bjl92-l04220, With eager steps pursue the timid hare. ,bjl92-l04225,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0150
bare,"She stood as she was planted there,",oau90-l05480,Sometimes with Neck and Breasts all bare,oau90-l05475,/eə/ | /eə/,full,aab<b>c</b><b>c</b>b,pers00350,oau90-w0140
prayer,"Before it had got half way there,",oau90-l05570,"Yet when to Heaven I sent my Pray'r,",oau90-l05565,/eə/ | /eɪə/,half-pararhyme,aab<b>c</b><b>c</b>b,pers00350,oau90-w0140
despair, More fragrant roses there;,ojg27-l11040, With envy and despair! ,ojg27-l11050,/eə/ | /eə/,full,a<b>b</b>a<b>b</b>cc,pers00303,ojg27-w0460
prayer, And the dull service of the lip were there. ,o3794-l10205," Hypocrisy, formality in pray'r,",o3794-l10200,/eə/ | /eɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0040
were,"Such when the teacher of his church was there,",o3794-l10600," People and priest, the sons of Israel were,",o3794-l10605,/eə/ | /ɜː/,half-pararhyme,<b>a</b><b>a</b>,pers00269,o3794-w0040
fair," How often have I witness'd there,",o4546-l00610, From lovely eyes of British fair! ,o4546-l00620,/eə/ | /eə/,full,a<b>b</b>a<b>b</b>ccddee,pers00304,o4546-w0010
near," For had they seen, they'd kept you there. ",oae86-l01595,"But I suppose you never was so near,",oae86-l01585,/eə/ | /ɪə/,half-pararhyme,<b>a</b>a<b>a</b>,pers00272,oae86-w0010
here," For had they seen, they'd kept you there. ",oae86-l01595," For if you had, you scarce would have been here,",oae86-l01590,/eə/ | /ɪə/,half-pararhyme,a<b>a</b><b>a</b>,pers00272,oae86-w0010
here," And he perhaps at last may read it there,",oae86-l02625," Written in flames, fierce as his own whilst here. ",oae86-l02630,/eə/ | /ɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00272,oae86-w0010
care," No love, or Harriot more remember'd there. ",pyl90-l00800," An end to every grief, and every care,",pyl90-l00795,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00322,pyl90-w0040
despair," And toil and seek Salvation there,",o4672-l06480," And shrink, and tremble, and despair. ",o4672-l06490,/eə/ | /eə/,full,a<b>b</b>a<b>b</b>,pers00292,o4672-w0340
bear,And leave New-Hall to be a Viceroy there?,oau90-l16545,"Or who but he the hot Fatigue would bear,",oau90-l16540,/eə/ | /eə/,full,aabbcc<b>d</b><b>d</b>,pers00350,oau90-w0570
rare,"No Artist sent from Italy comes there,",oau90-l16680,"And yet no Eunuch ever sung so rare,",oau90-l16685,/eə/ | /eə/,full,aa<b>b</b><b>b</b>ccdd,pers00350,oau90-w0570
sphere,"For calm Content, and smiling Ease are there,",o5157-l06070,"Happy for thee, whose less distinguished sphere",o5157-l06060,/eə/ | /ɪə/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00038,o5157-w0075
fair, Lov'd D—h sweeten'd all the pleasures there. ,bjl92-l13720," With hearts elate, to view the Scottish fair,",bjl92-l13715,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00338,bjl92-w0560
share," Had I been Paris, and my Delia there:",ppo24-l05060," The Apple had not fall'n to Venus share,",ppo24-l05055,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00257,ppo24-w0040
air," And chanc'd to meet his Neighbour there,",pco62-l02970," Walk'd in the Fields to take the Air,",pco62-l02965,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00293,pco62-w0040
air, And view ten thousand Empires there;,pba35-l06630," Behold what Worlds are hung in Air,",pba35-l06625,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00087,pba35-w0470
bear,"Had broke into our Fold, and slaughter'd there;",oat77-l08125,I dreamt (said she) a ruthfull Bear,oat77-l08120,/eə/ | /eə/,full,abbaccdddeefgfgfh<b>i</b><b>i</b>hjjkkj,pers00344,oat77-w0530
wear,Thy philosophic Train be there,o5155-l00855,"Thy form benign, oh Goddess, wear,",o5155-l00845,/eə/ | /eə/,full,<b>a</b>b<b>a</b>bccdd,pers00039,o5155-w0020
care,Just what is elegantly useful's there;,o5152-l25325,Of aught beyond he scorns th' unworthy care;,o5152-l25330,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00032,o5152-w0290
fare," Thou, to incourage our appearance there,",pse03-l03440, Hast kindly given us a Bill of Fare. ,pse03-l03445,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00272,pse03-w0100
hear, That when we read thy Lines we almost think we're there. ,pse03-l03560," All this in pure and pregnant Elegance we hear,",pse03-l03550,/eə/ | /ɪə/,half-pararhyme,<b>a</b>a<b>a</b>,pers00272,pse03-w0100
declare, That when we read thy Lines we almost think we're there. ,pse03-l03560," Plain as Corporeal Organs can declare,",pse03-l03555,/eə/ | /eə/,full,a<b>a</b><b>a</b>,pers00272,pse03-w0100
near, She seeks for Henry there. ,pcm93-l07095, To see if Henry's near:,pcm93-l07085,/eə/ | /ɪə/,half-pararhyme,a<b>b</b>a<b>b</b>,pers00313,pcm93-w0080
fear, And hits imperfect Accents here and there. ,sap09-l02785,"She warbles diffident, 'twixt Hope and Fear,",sap09-l02780,/eə/ | /ɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00302,sap09-w0050
spare,To operas now — they'll want them there;,o5153-l29325,Such idle trash we'll kindly spare,o5153-l29320,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00038,o5153-w0500
fair,Were mention'd to their credit there.,o5153-l29615,"And many a chief, and many a fair,",o5153-l29610,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00038,o5153-w0500
ear,"Imbibe the precepts, living there.",o5153-l29685,But every young attentive ear,o5153-l29680,/eə/ | /ɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00038,o5153-w0500
prayer," No forc'd devotion found acceptance there,",yfs88-l00725, No grateful incense issu'd from her pray'r. ,yfs88-l00730,/eə/ | /eɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00317,yfs88-w0010
fair,Observe what ills attend you there.,o5156-l25375,"The town's your choice — yet, charming fair,",o5156-l25370,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00083,o5156-w0720
are,"For all is restless, and unsettled there;",pdi12-l02585," The Waves, and Winds alike inconstant are. ",pdi12-l02590,/eə/ | /ɑː/,half-pararhyme,<b>a</b><b>a</b>,pers00266,pdi12-w0070
beer," 'I stood a faithful Centry there,",o5125-l12055,'To guard the choice inspiring Beer,o5125-l12060,/eə/ | /ɪə/,half-pararhyme,<b>a</b><b>a</b>,pers00154,o5125-w0340
repair, And — strange to think! are all the Fashion there. ,pba35-l10905,"The Muses, exil'd long, to Court repair;",pba35-l10900,/eə/ | /eə/,full,<b>a</b><b>a</b>,pers00087,pba35-w0880
