r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
light,"While healths gae round to him wha, tight,",cbu86-l01605,"When skirlin weanies see the light,",cbu86-l01585,/aɪt/ | /aɪt/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0020
bright,"While healths gae round to him wha, tight,",cbu86-l01605," Thou maks the gossips clatter bright,",cbu86-l01590,/aɪt/ | /aɪt/,full,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0020
slight,"While healths gae round to him wha, tight,",cbu86-l01605," How fumbling coofs their dearies slight,",cbu86-l01595,/aɪt/ | /aɪt/,full,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0020
light," But still in vain, the frame was tight",o3794-l31760, And only pervious to the light. ,o3794-l31765,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00269,o3794-w0280
daylight,"Yet the auld gudewife and her mays sae tight,",bjb18-l22600," For a chap at the door in braid day-light,",bjb18-l22610,/aɪt/ | /eɪlaɪt/,half-pararhyme,abba<b>c</b>d<b>c</b>d,pers00287,bjb18-w0510
light,But the auld gudewife and her mays sae tight,bjb18-l22800," For a wooer that comes in braid day light,",bjb18-l22810,/aɪt/ | /aɪt/,full,abba<b>c</b>d<b>c</b>d,pers00287,bjb18-w0510
polite," Yet stretching out his words sae tight,",bsb18-l30690,"Then Colin, too, although polite,",bsb18-l30680,/aɪt/ | /aɪt/,full,<b>a</b>b<b>a</b>bcdcd,pers00280,bsb18-w0730
write," Confine these culprits (holding up his hands) bind'em tight,",o5089-l15015, Nor Girls can scratch nor Fools can write. ,o5089-l15020,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>,pers00098,o5089-w0220
sight," Below the fatt'rels, snug and tight,",cbu86-l15150,"Now haud you there, ye're out o' sight,",cbu86-l15145,/aɪt/ | /aɪt/,full,<b>a</b><b>a</b>abab,pers00307,cbu86-w0260
right," Below the fatt'rels, snug and tight,",cbu86-l15150," Na faith ye yet! ye'll no be right,",cbu86-l15155,/aɪt/ | /aɪt/,full,a<b>a</b><b>a</b>bab,pers00307,cbu86-w0260
height," Below the fatt'rels, snug and tight,",cbu86-l15150," The vera tapmost, towrin height",cbu86-l15165,/aɪt/ | /aɪt/,full,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0260
wight," There's some sark-necks I wad draw tight,",cbu86-l02185,"Alas! I'm but a nameless wight,",cbu86-l02165,/aɪt/ | /aɪt/,full,<b>a</b>aab<b>a</b>b,pers00307,cbu86-w0030
sight," There's some sark-necks I wad draw tight,",cbu86-l02185, Trode i' the mire out o' sight! ,cbu86-l02170,/aɪt/ | /aɪt/,full,a<b>a</b>ab<b>a</b>b,pers00307,cbu86-w0030
fight," There's some sark-necks I wad draw tight,",cbu86-l02185,"But could I like MONTGOMERIES fight,",cbu86-l02175,/aɪt/ | /aɪt/,full,aa<b>a</b>b<b>a</b>b,pers00307,cbu86-w0030
