r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
rhymes, Shall live and brighten through succeeding Times:,o5125-l13525,But thou whose Name (immortal as thy Rhymes),o5125-l13520,/aɪmz/ | /aɪmz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0370
rhymes, To purchase Credit with succeeding Times! ,sap09-l03415,"O that, like Colin, I had Skill in Rhymes:",sap09-l03410,/aɪmz/ | /aɪmz/,full,<b>a</b><b>a</b>,pers00302,sap09-w0060
crimes, Uplifted hands that at convenient times,o3794-l10720," Could act extortion and the worst of crimes,",o3794-l10725,/aɪmz/ | /aɪmz/,full,<b>a</b><b>a</b>,pers00269,o3794-w0040
crimes, Wherewith they could debauch the willing times. ,oae86-l01635,"They knew you Rival'd them in all their Crimes,",oae86-l01630,/aɪmz/ | /aɪmz/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
crimes," There's so many apparent in these times,",oae86-l02410," For to search out their strange and unknown crimes,",oae86-l02405,/aɪmz/ | /aɪmz/,full,<b>a</b><b>a</b>,pers00272,oae86-w0010
crimes," A victim fell to those tyrannic times,",cac95-l05985," Accus'd by priests of supernat'ral crimes,",cac95-l05990,/aɪmz/ | /aɪmz/,full,<b>a</b><b>a</b>,pers00301,cac95-w0130
crimes, To share the Follies of succeeding Times,o5125-l03625, With more Vexations and with deeper Crimes:,o5125-l03630,/aɪmz/ | /aɪmz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0120
rhymes," 'But, Mira, these are dang'rous Times,",o5125-l12185,'I'd have you fasten up your Rhymes;,o5125-l12190,/aɪmz/ | /aɪmz/,full,<b>a</b><b>a</b>,pers00154,o5125-w0340
climes,"Thus modell'd, we may hope for happier Times;",pba35-l11100, Our Isle will be rever'd by distant Climes:,pba35-l11105,/aɪmz/ | /aɪmz/,full,<b>a</b><b>a</b>,pers00087,pba35-w0880
crimes,"He swore ten thousand times,",pse03-l04555," Wish'd they would revenge his Crimes,",pse03-l04565,/aɪmz/ | /aɪmz/,full,abab<b>c</b>d<b>c</b>d,pers00272,pse03-w0190
