r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
ever-gay,"The same to-morrow as to-day,",o5153-l23590,"Hence gentle Anna ever-gay,",o5153-l23585,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00119,o5153-w0350
away,"NAY, nay, Censor Time, I'll be happy to-day,",bsb18-l24305," Then preach not to me, as my life steals away,",bsb18-l24315,/eɪ/ | /eɪ/,full,<b>a</b>b<b>a</b>b,pers00280,bsb18-w0370
display, A balm for the griefs which afflict us to-day! ,bsb18-l10170, When Hope's fairy pictures bright colours display;,bsb18-l10160,/eɪ/ | /eɪ/,full,a<b>b</b>a<b>b</b>,pers00280,bsb18-w0110
away, That his joys and his life must expire with to-day! ,bsb18-l10270, Yet he knows that his moments must hasten away;,bsb18-l10260,/eɪ/ | /eɪ/,full,a<b>b</b>a<b>b</b>,pers00280,bsb18-w0110
play," While free and sportive they enjoy today,",n22cs-l01975,SIGHING I see you little troop at play;,n22cs-l01965,/eɪ/ | /eɪ/,full,<b>a</b>b<b>a</b>bcdcdefefgg,pers00290,n22cs-w0270
play,Nor care beyond today:,tgaen-l03820,The little victims play!,tgaen-l03810,/eɪ/ | /eɪ/,full,a<b>b</b>a<b>b</b>ccdeed,pers00039,tgaen-wodec
sway, But reason too puts in a claim to-day. ,pcc86-l03870,"Folly and youth in all will have their sway,",pcc86-l03865,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00323,pcc86-w0320
play," Are you, poor Boys! at School To-day,",pba35-l08075, Whilst others are allow'd to play? ,pba35-l08080,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00087,pba35-w0580
stray, Love and Life are for To-day. ,pmp18-l19795, England may change; or Cloe stray:,pmp18-l19790,/eɪ/ | /eɪ/,full,aa<b>b</b><b>b</b>,pers00314,pmp18-w0710
away, Nor cloud with false fear the sunshine of to-day;,bsb18-l25245, Or waft from the eye one moist sorrow away? ,bsb18-l25255,/eɪ/ | /eɪ/,full,a<b>b</b>a<b>b</b>cdcd,pers00280,bsb18-w0440
nay,""" Come, Sir, youdine with me to-day. "" ",o4257-l00140," ""POH! Poh! this idle trifling! nay,",o4257-l00135,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00304,o4257-w0010
away, I envy you To-day. ,pba35-l09665, (How Pleasures fleet away!) ,pba35-l09655,/eɪ/ | /eɪ/,full,a<b>b</b>a<b>b</b>,pers00087,pba35-w0740
away,"The slow reluctant grain, procur'd to-day,",o5154-l05320,His less industrious neighbour steals away:,o5154-l05325,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00022,o5154-w0080
way,What prosp'rous villain hast thou met to-day?,o5156-l17060,Or hath afflicted Virtue cross'd thy way?,o5156-l17065,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00106,o5156-w0590
away, A hand unknown presents a flower to-day;,pcc86-l00010,"TO fair Maria bear this gift away,",pcc86-l00005,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>bb,pers00323,pcc86-w0010
away,"The light leaves of summer that fan us to-day,",bsb18-l24645," One breath of cold winter shall waft them away,",bsb18-l24655,/eɪ/ | /eɪ/,full,<b>a</b>b<b>a</b>b,pers00280,bsb18-w0390
pray," Lest I should be cut off to-day,",o5454-l01355,"Then will I read and pray,",o5454-l01345,/eɪ/ | /eɪ/,full,<b>a</b>b<b>a</b>b,pers00292,o5454-w0110
play,No care beyond to-day:,o5153-l31040,The little victims play!,o5153-l31030,/eɪ/ | /eɪ/,full,a<b>b</b>a<b>b</b>ccdeed,pers00039,o5153-w0560
lay,WHEN Parthenissa talk'd to-day,o5125-l10980," Of Profits and of Mira's Lay,",o5125-l10985,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00154,o5125-w0310
pray," The wicked Knot — 'twas new to-day,",o5125-l11060," The Knot — what Colour was it, pray? ",o5125-l11065,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00154,o5125-w0310
say, Taken from our Head To-day;,o3900-l24965,"Master, (will we ever say)",o3900-l24960,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>bb,pers00309,o3900-w1320
stray,"Know ye, my sons, your brother's rout to-day?",o5157-l22060,"And where, said she, does little Zephyr stray?",o5157-l22055,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00114,o5157-w0330
away," ""Rude Nature's State had been our State To-day;",o3818-l05785,""" But in loose Joy their Time to wear away;",o3818-l05770,/eɪ/ | /eɪ/,full,a<b>b</b>ab<b>b</b>cbcc,pers00020,o3818-w0010
lay," ""Rude Nature's State had been our State To-day;",o3818-l05785,""" Pleas'd on her Pillow their dull Heads to lay:",o3818-l05780,/eɪ/ | /eɪ/,full,aba<b>b</b><b>b</b>cbcc,pers00020,o3818-w0010
gay," ""Rude Nature's State had been our State To-day;",o3818-l05785," ""No Arts had made us opulent and gay;",o3818-l05795,/eɪ/ | /eɪ/,full,abab<b>b</b>c<b>b</b>cc,pers00020,o3818-w0010
sway," (As Rome felt once, and Britain feels to-day)",o4987-l07410," But where the people feel a father's sway,",o4987-l07405,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00235,o4987-w0240
say,What was a lye last night is truth to-day.,o5152-l31860,"Wrap up your poison well, nor fear to say",o5152-l31855,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00143,o5152-w0330
say,"I am a member, and I spoke to-day.",o5152-l35405,"Nor speaks he for no reason but to say,",o5152-l35400,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00143,o5152-w0330
betray,"Two great examples have been shown to-day,",o5152-l13360,To what sure ruin passion does betray;,o5152-l13365,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00001,o5152-w0160
convey," The deathless thought, as if just breath'd to-day! ",bsb18-l04550,"Hail! heaven-taught letters, that through years convey",bsb18-l04545,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00280,bsb18-w0010
gae, The same as 'tis to-day. ,bsb18-l25715," Time through the world may gae,",bsb18-l25705,/eɪ/ | /e/,half-pararhyme,x<b>a</b>x<b>a</b>xbxb,pers00280,bsb18-w0480
say," ""How d'ye do dear Miss to-day?"" ",o3364-l04090," And to hear the Captain say,",o3364-l04085,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00205,o3364-w0010
sway,"That I, who make the Triumph of To-day,",pmp18-l49640,O impotent Desire of Worldly Sway! ,pmp18-l49635,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00314,pmp18-w1110
lay,"First, tell me, Damon, why to-day",o5153-l05860,At Belvidera's feet you lay?,o5153-l05865,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00030,o5153-w0120
obey," Look up to Him from day to-day,",pma99-l00355,"'Tis our's to praise Him and obey,",pma99-l00350,/eɪ/ | /eɪ/,full,aab<b>c</b><b>c</b>b,pers00306,pma99-w0020
sway, Since I am free to-day. ,o4987-l10095, I scorn his coward sway;,o4987-l10080,/eɪ/ | /eɪ/,full,aa<b>b</b>cc<b>b</b>,pers00209,o4987-w0310
away, And next sun may destroy what has pleas'd us to-day;,bsb18-l30995," While each breeze steals some odour or soft tint away,",bsb18-l30990,/eɪ/ | /eɪ/,full,aa<b>b</b><b>b</b>cc,pers00280,bsb18-w0750
stay," Yesterday's face twin image of to-day,",o3794-l14165," A dull rotation never at a stay,",o3794-l14160,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00269,o3794-w0050
away,"See, Delia, on my roof your guests to-day;",o5156-l08395,"Ere yet 'tis night, with haste they wing away,",o5156-l08405,/eɪ/ | /eɪ/,full,<b>a</b>b<b>a</b>b,pers00037,o5156-w0330
obey," ""In vain you call on me To-day;",pba35-l10030,"""Here Wainwright only I obey. ",pba35-l10035,/eɪ/ | /eɪ/,full,<b>a</b><b>a</b>,pers00087,pba35-w0800
