r_word,line_1,line_1_id,line_2,line_2_id,r_sounds,r_degree,r_scheme,authors_id,poem_id
smiles," And boast their ancient sires, whose warlike toils",pcm93-l00075,"Each day, to win the young Cecilia's smiles,",pcm93-l00065,/ɔɪlz/ | /aɪlz/,half-pararhyme,<b>a</b>b<b>a</b>b,pers00313,pcm93-w0010
oyls,"Ere yet the pencil tries her nicer toils,",o5152-l04110,"Or on the palette lie the blended oyls,",o5152-l04115,/ɔɪlz/ | /ɔɪlz/,full,<b>a</b><b>a</b>,pers00011,o5152-w0050
smiles, And evening shades reward the toils,o4987-l06235," For him the morn benignly smiles,",o4987-l06230,/ɔɪlz/ | /aɪlz/,half-pararhyme,aab<b>c</b><b>c</b>b,pers00201,o4987-w0220
spoils," Cheer'd with the festal song her rural toils,",bhw18-l01275, While in the lap of age she pour'd the spoils;,bhw18-l01280,/ɔɪlz/ | /ɔɪlz/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
spoils,"Now the stern partner of PIZARRO'S toils,",bhw18-l03235," ALMAGRO, lur'd by hope of golden spoils,",bhw18-l03240,/ɔɪlz/ | /ɔɪlz/,full,<b>a</b><b>a</b>,pers00276,bhw18-w0020
spoils, And loud applause repay successful toils! ,bmb97-l00070,"Bring back my hero, crown'd with glorious spoils! ",bmb97-l00060,/ɔɪlz/ | /ɔɪlz/,full,a<b>b</b>a<b>b</b>,pers00315,bmb97-w0010
spoils,"By thought, by dangers, and by toils,",o3776-l02340, Nor will ambition's awful spoils,o3776-l02350,/ɔɪlz/ | /ɔɪlz/,full,<b>a</b>b<b>a</b>bccc,pers00047,o3776-w0070
spoils,"Together will we share the harvest toils,",o5153-l01755,"Together press the vine's autumnal spoils,",o5153-l01760,/ɔɪlz/ | /ɔɪlz/,full,<b>a</b><b>a</b>,pers00030,o5153-w0010
beguiles, Urged by his suit: hope o'er his amorous toils,pmt18-l13070, But chief when Jove her innocence beguiles;,pmt18-l13060,/ɔɪlz/ | /aɪlz/,half-pararhyme,abab<b>c</b>d<b>c</b>dd,pers00320,pmt18-w0024
spoils,"Rewards even Worthy of thy Toils,",o4090-l00760,Thy Trophies and thy Spoils;,o4090-l00755,/ɔɪlz/ | /ɔɪlz/,full,ababcdcdeef<b>g</b><b>g</b>f,pers00339,o4090-w0010
spoils,"See how the skilful lover spreads his toils,",o5152-l38340,When eager in pursuit of beauty's spoils!,o5152-l38345,/ɔɪlz/ | /ɔɪlz/,full,<b>a</b><b>a</b>,pers00130,o5152-w0350
spoils," To recollect unweary'd Marlbrô's Toils,",pmp18-l23525, Old Rufus' Hall unequal to his Spoils;,pmp18-l23530,/ɔɪlz/ | /ɔɪlz/,full,<b>a</b><b>a</b>,pers00314,pmp18-w0720
spoils,"Mourn'd the companions of his toils,",o5153-l16910,Mock'd with false glory and fantastic spoils.,o5153-l16915,/ɔɪlz/ | /ɔɪlz/,full,<b>a</b><b>a</b>,pers00024,o5153-w0320
